,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,791.5698605489764,1165.1685537767678,925.6474240455989,74.91781007324629,2.4719999999999995
1,A-n33-k5,661,685.8562898026232,885.6223637758254,773.0421151689868,50.571297297989894,2.275
2,A-n33-k6,742,762.9811802435618,1017.9635417089679,860.4842733219695,54.89603104337883,2.4663333333333326
3,A-n34-k5,778,800.19804064158,1100.195847884698,928.5029489221583,68.86769402368466,2.292666666666667
4,A-n36-k5,799,826.5613374161693,1002.4935478516529,907.6707456738043,42.27203475565891,2.316333333333333
5,A-n37-k5,669,724.7965943167493,1037.771776728092,793.4000348865065,59.128933807543916,2.3593333333333333
6,A-n37-k6,949,1022.290662843003,1238.3431634983394,1098.4669052432985,53.036213002785814,2.5426666666666664
7,A-n38-k5,730,799.1514220669164,1016.7610257332486,885.5795842258378,47.08984341320115,2.439
8,A-n39-k5,822,889.7678512862628,1138.9936250080516,1004.7127452614683,66.1836050170259,2.3999999999999995
9,A-n39-k6,831,879.9393386297456,1051.4764039782995,958.4355207882538,50.25791363339076,2.604
10,A-n44-k6,937,1014.1484345042052,1309.5633251950592,1128.221597087598,67.93356477498733,2.6839999999999993
11,A-n45-k6,944,1016.9841263617393,1387.1919856531156,1143.7928818025125,70.30946203417825,2.8239999999999994
12,A-n45-k7,1146,1229.481876268701,1413.7282441763095,1323.4871188290094,45.07299690487527,2.7816666666666667
13,A-n46-k7,914,1007.7133118343081,1353.6956250531657,1122.4044434288312,77.59024961832786,2.783666666666667
14,A-n48-k7,1073,1176.2848910176224,1446.7949463532061,1273.3569588618582,57.972413467855844,2.851666666666666
15,A-n53-k7,1010,1127.7365862149607,1379.8406165960557,1241.0956902249345,62.12741379055155,2.9526666666666666
16,A-n54-k7,1167,1318.6414251170931,1555.7414581395587,1417.8834984454018,63.86675432811626,2.9850000000000003
17,A-n55-k9,1073,1216.513043637622,1607.6997408533803,1332.7439118331647,99.66009657450283,3.3386666666666667
18,A-n60-k9,1408,1523.3005948050195,1823.0058207321133,1627.4397218066383,60.099159310083095,3.3680000000000008
19,A-n61-k9,1035,1135.6700216857944,1464.043500328551,1273.8612143763892,72.24798989311009,3.4500000000000006
20,A-n62-k8,1290,1443.493438833821,1740.2135008060097,1548.1883318459425,67.25709028130524,3.1716666666666664
21,A-n63-k10,1315,1468.898257492775,1739.3581001638593,1594.334242073518,69.06583720823429,3.5236666666666667
22,A-n63-k9,1634,1794.8759355723016,2014.1436094282237,1900.1086707748675,50.143432511880256,3.467666666666667
23,A-n64-k9,1402,1558.9262043674266,1777.9930637243,1670.147369655632,50.82778949453661,3.441666666666666
24,A-n65-k9,1177,1364.8845266383519,1662.194727845882,1474.4384238365144,64.43639156502147,3.5580000000000003
25,A-n69-k9,1168,1299.0762053587746,1768.1373614590566,1449.6537522680417,94.36257094399333,3.4953333333333343
26,A-n80-k10,1764,2049.3010566676394,2377.9515236940283,2186.3616001570927,69.54453849642137,3.892
27,B-n31-k5,672,693.3848677102035,855.3889215366148,742.3660894301289,48.17787552294531,2.2833333333333337
28,B-n34-k5,788,816.2591392131787,1088.7773929471848,931.2116349138159,60.38186071320124,2.3316666666666666
29,B-n35-k5,955,987.7199008753578,1207.680721427329,1080.6992773597024,58.41113824803482,2.338333333333334
30,B-n38-k6,805,830.5535730729603,1012.3609405917546,892.3793344896228,46.47452233704125,2.5356666666666663
31,B-n39-k5,549,565.8001183492541,768.0657245415537,655.3534293824271,57.154020480229995,2.425
32,B-n41-k6,829,872.2404906978388,1183.6316182951264,1021.2364082888024,80.74002291407797,2.5796666666666668
33,B-n43-k6,742,794.7704884097095,926.0300585015331,854.6974998056455,34.80516855311723,2.6109999999999998
34,B-n44-k7,909,994.0125463240813,1238.7772163542695,1090.3417932328127,61.61765934444668,2.8313333333333337
35,B-n45-k5,751,774.3378170816856,1068.000266209149,879.8477981879407,77.35403614887815,2.6053333333333337
36,B-n45-k6,678,743.4902926033092,968.7940076300305,837.0940353880719,53.1969562704694,2.7376666666666662
37,B-n50-k7,741,772.1882586658701,1092.015499565932,892.0866802636764,73.86332304542454,2.8743333333333334
38,B-n50-k8,1313,1380.8021135102179,1657.7211087211617,1478.1903305723367,68.59133674427937,3.0193333333333334
39,B-n51-k7,1032,1104.4285093780795,1633.877688219138,1289.0484551001102,102.22607820111209,3.048333333333333
40,B-n52-k7,747,769.127432018661,1039.4355681961706,912.6110907126184,70.89442460147458,2.889
41,B-n56-k7,707,764.8914242679907,1035.552538209914,846.041483940518,60.690141326945685,2.998666666666666
42,B-n57-k7,1153,1264.7435423151726,1667.735020783635,1425.4030861109945,102.24782211647543,3.0759999999999996
43,B-n57-k9,1598,1721.4312828904085,1961.594944856429,1805.494070204163,50.98972791496221,3.233
44,B-n63-k10,1537,1682.0450803692931,2001.5010983852587,1810.3309399197392,84.1708167862092,3.5716666666666668
45,B-n64-k9,861,989.9742529457386,1231.546799157867,1114.2427024248784,57.27076343753085,3.530666666666667
46,B-n66-k9,1374,1486.741592403137,1754.6285036893119,1586.9444836448988,71.89918385069083,3.48
47,B-n67-k10,1033,1169.6630207566134,1450.346579601218,1292.753313072659,77.28091748104788,3.572666666666667
48,B-n68-k9,1304,1430.54377187915,1729.807691947185,1524.9087182397022,72.7148478231585,3.449
49,B-n78-k10,1266,1434.5559188469745,1848.7939469988225,1572.345624618854,95.75168787592374,3.822
50,P-n101-k4,681,861.0266542829735,1106.545705123954,990.0563583225901,47.42326821694315,3.463666666666667
51,P-n16-k8,435,451.335080208618,477.03451272312685,459.99199624651726,7.419591604347169,2.21
52,P-n19-k2,212,219.75413715136335,286.63083162289547,242.22489585044016,17.64736691146207,1.4636666666666664
53, P-n20-k2,220,217.41558334616656,288.09901266150206,237.57440329734766,15.882023545410904,1.4363333333333335
54,P-n21-k2,211,212.71153970290385,264.0767821470798,230.0181966782551,16.12364896438403,1.505333333333333
55,P-n22-k2,216,217.8521507402297,289.3911683251522,244.01681177051904,17.905633810627844,1.4969999999999999
56,P-n22-k8,603,630.7482572826594,722.8176022270289,674.3640327241628,25.62536641260719,2.5960000000000005
57,P-n23-k8,554,538.3056057202476,637.7051427188103,592.2346672764501,22.698433911311767,2.6156666666666664
58,P-n40-k5.vrp,458,482.4527400924629,629.204308348786,539.84155394259,32.41287691067292,2.3886666666666665
59,P-n45-k5,510,553.897397429639,689.4634214758036,606.2956605209743,32.59336514551966,2.479333333333334
60,P-n50-k10,696,748.852445067819,911.4193079339149,808.4874749109647,35.08480015638668,3.412
61, P-n50-k7,554,598.851491468472,745.9653313576528,671.0041219095741,37.607825986090496,2.8030000000000004
62,P-n50-k8,649,675.9386816778858,793.7252628677635,729.5278496775321,27.8202869113551,3.0813333333333333
63,P-n51-k10,745,826.0227412472224,990.2021765113291,876.6200576637295,41.596948138675955,3.5006666666666666
64,P-n55-k10,669,761.9083129413606,913.1766040953996,816.0778288464663,35.10071590940383,3.320333333333333
65,P-n55-k15,856,1033.7935092017533,1144.5711400930672,1089.1567998763207,28.0314524730975,4.562
66,P-n55-k7,524,610.2817382644588,761.564767705276,665.2738201617351,37.3901376030214,2.997
67,P-n55-k8,576,651.7394391234803,799.591552332805,706.3307221102812,32.543207100654364,2.8866666666666663
68,P-n60-k10,706,826.0351285113715,981.999363094087,896.1281251983406,40.29294091775697,3.517
69,P-n60-k15,905,1050.3082695602504,1203.8153714190862,1129.8952136817725,46.41561969857885,4.452333333333334
