,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,803.2737761180535,936.5119421551017,866.9614910080442,28.972839640229804,2.3043333333333327
1,A-n33-k5,661,672.9085826223724,797.7282278675733,717.8034314846224,34.37129857319879,2.3473333333333333
2,A-n33-k6,742,757.4682185237257,896.9190142895933,812.1693625393111,33.83847952938367,2.341333333333334
3,A-n34-k5,778,794.2616561658559,925.5371841212861,853.0021163913278,33.60212121889812,2.237
4,A-n36-k5,799,834.663843001206,936.2342176720941,877.1367476222589,28.48431976761811,2.2819999999999996
5,A-n37-k5,669,691.6170620861644,810.2282711262245,754.7624384093166,32.33053840968913,2.3343333333333334
6,A-n37-k6,949,1010.1084821878471,1098.0366768415702,1056.223306265468,24.049913571947442,2.4703333333333335
7,A-n38-k5,730,756.2521812389134,908.2588944657684,830.9469926022356,32.563842966186634,2.613
8,A-n39-k5,822,844.0527493026763,972.5607546063843,922.2028608775222,35.433979142680926,2.374666666666667
9,A-n39-k6,831,864.7994155150471,993.3462662965974,924.3459135354711,34.46563306893345,2.4826666666666664
10,A-n44-k6,937,994.5114044593206,1122.590351100523,1055.7837546087987,34.04372223588995,2.5940000000000003
11,A-n45-k6,944,991.1021668001498,1151.263606786455,1072.1350562829787,40.907639921227094,2.774333333333333
12,A-n45-k7,1146,1190.5884193938411,1322.7960858152233,1258.0762253960395,33.145499773771526,2.736333333333333
13,A-n46-k7,914,992.545772320816,1138.0852725955924,1047.823794357314,35.56621895074607,2.9583333333333335
14,A-n48-k7,1073,1126.4065478110579,1272.168252795215,1205.7714903003864,35.73896974011773,2.7336666666666662
15,A-n53-k7,1010,1082.5588200351808,1279.0757497871757,1192.7180897783314,47.943465289259095,2.8903333333333334
16,A-n54-k7,1167,1254.7974994188144,1450.6129017614965,1336.7594582316738,42.38549739239145,2.8826666666666663
17,A-n55-k9,1073,1161.311295523408,1358.626587764002,1243.3576783999276,48.914426622746944,3.248666666666667
18,A-n60-k9,1408,1465.6449225587683,1640.4914198141987,1552.4733300135485,41.15949668449851,3.142333333333333
19,A-n61-k9,1035,1135.3133601587322,1309.4093452020202,1210.313385237607,40.89002112809538,3.274333333333333
20,A-n62-k8,1290,1406.1031584562493,1575.9922699952062,1487.5958028723815,42.47223327300182,2.9946666666666664
21,A-n63-k10,1315,1423.4639973754986,1661.5010153281448,1513.889775051871,55.428212943254316,3.4673333333333343
22,A-n63-k9,1634,1743.516320940497,1937.8800788371752,1838.9035710420444,45.36843316481418,3.406
23,A-n64-k9,1402,1553.5785329766684,1711.736202111653,1624.6170508201583,42.21994137316393,3.305333333333333
24,A-n65-k9,1177,1300.7891202701344,1468.459053423715,1400.7716224446804,46.85590838028643,3.3543333333333334
25,A-n69-k9,1168,1300.5104843573424,1497.6652129742274,1380.5670100391037,44.399296790358484,3.283
26,A-n80-k10,1764,2016.9594133811875,2211.9548727555557,2112.0823880209127,55.14723418454724,3.6326666666666663
27,B-n31-k5,672,684.3323468308599,831.9737710881199,708.2785689549071,24.9906619295443,2.1360000000000006
28,B-n34-k5,788,793.5713825207373,971.2593597642053,864.5717281582542,47.28006068233879,2.2656666666666663
29,B-n35-k5,955,961.0289714293457,1081.9746502926046,1014.4414010547805,26.50163274953277,2.436333333333333
30,B-n38-k6,805,810.3952175026144,893.0727630476401,844.4970987300014,17.544082756951468,2.512666666666667
31,B-n39-k5,549,566.3085713618941,769.198895001819,628.7377234040245,49.03444340931905,2.42
