,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,847.4010290893232,990.225145799564,916.6174405819579,43.77764713106575,2.3753333333333333
1,A-n33-k5,661,701.2219618154526,862.1166561080593,750.0228376378235,32.80601741713677,2.28
2,A-n33-k6,742,768.5328479290864,899.0075079601944,826.9774540241655,35.62588972904839,2.4163333333333337
3,A-n34-k5,778,841.9508573857559,999.3143764458246,904.7539093794495,43.24985805790956,2.2659999999999996
4,A-n36-k5,799,875.6047932260252,1091.2751207949316,942.5800545254602,44.519831232802645,2.317
5,A-n37-k5,669,718.7620438660842,882.5284735116322,797.5375752048393,36.15618739710242,2.433333333333333
6,A-n37-k6,949,1035.9004051511422,1247.7237352619177,1134.0368581320856,48.62457021404888,2.5033333333333334
7,A-n38-k5,730,810.3346824208874,1256.7035498381267,976.3254189352828,121.1667404310497,2.416
8,A-n39-k5,822,905.9865195625543,1266.2212957874603,1041.8024277079,94.5744494257269,2.415
9,A-n39-k6,831,914.5718589255902,1073.1990211392722,987.3212513263232,36.80498223448,2.473
10,A-n44-k6,937,1090.5187814794508,1322.5413097400199,1174.499516401062,60.500858134350025,2.5729999999999995
11,A-n45-k6,944,1059.2049657571033,1234.255654241165,1150.7867031150456,51.60401805626288,2.780666666666667
12,A-n45-k7,1146,1251.8263816803108,1393.0400097908619,1318.460681581743,36.28648848648921,2.7249999999999996
13,A-n46-k7,914,1025.717607342064,1237.955210287389,1104.1596078683435,52.31492492702917,2.778333333333333
14,A-n48-k7,1073,1217.8392623785026,1438.5049039805688,1300.1945445466383,45.68575100089301,2.8026666666666666
15,A-n53-k7,1010,1162.9463356186516,1642.7942918393392,1329.2426605360185,119.54118847705232,2.9163333333333337
16,A-n54-k7,1167,1333.043854315559,1789.0288904671902,1453.0442833677625,99.43939429248795,2.8983333333333325
17,A-n55-k9,1073,1179.4796008273556,1428.3598307031737,1311.042403555933,66.43141007549832,3.196
18,A-n60-k9,1408,1520.6254486620694,1782.940727481458,1631.1566355644072,68.85276068818106,3.360666666666666
19,A-n61-k9,1035,1197.9101195189492,1398.0994233559768,1277.9138794880478,44.7698231531167,3.4159999999999995
20,A-n62-k8,1290,1473.8638251990672,1729.0763869758698,1592.1782943078217,57.3826769062233,3.14
21,A-n63-k10,1315,1452.762421080938,1718.9116749539837,1592.2487636552194,65.63179845749552,3.414
22,A-n63-k9,1634,1825.4773713560262,2257.530790994634,2009.9785729104583,98.8100002945252,3.396
23,A-n64-k9,1402,1630.9185651768503,1969.7881329533734,1722.7815491992476,70.06596594514467,3.3749999999999996
24,A-n65-k9,1177,1360.2671883037656,1644.0150668723368,1477.7125703690795,60.1756595851549,3.5500000000000003
25,A-n69-k9,1168,1337.6568638336933,1588.0126746811302,1464.2385942999101,60.72131321712882,3.454999999999999
26,A-n80-k10,1764,2031.4422044797047,2361.908849347203,2188.9796098424395,69.3034441454446,3.685666666666667
27,B-n31-k5,672,691.1770136528189,828.3291855641867,723.8215449589137,35.52107774857206,2.3183333333333334
28,B-n34-k5,788,822.3553627172739,967.0265315145004,881.6932372600494,42.97211392653817,2.31
29,B-n35-k5,955,1008.9209069116778,1134.5794391804204,1054.8563276317714,34.07868212972492,2.355666666666666
30,B-n38-k6,805,832.301965884941,944.6581066115757,874.0010587482906,25.93754843810079,2.522
31,B-n39-k5,549,578.8442760688782,753.1414070939085,655.1401726886046,40.93596681864465,2.3920000000000003
32,B-n41-k6,829,890.1454641449716,1171.3599137166195,982.6933709438711,64.79227307202176,2.6126666666666662
33,B-n43-k6,742,783.2530151345999,887.105065922802,846.4864415255723,27.741587302806874,2.6853333333333333
34,B-n44-k7,909,976.1324897917199,1138.3467908259836,1050.5952083568077,30.615300952187606,2.703
35,B-n45-k5,751,793.807761704379,1222.616202227741,901.9928135564932,99.65874643831293,2.7513333333333327
36,B-n45-k6,678,762.0720566603799,893.510343448326,807.0597822157308,34.534995500270554,2.8316666666666666
37,B-n50-k7,741,801.7666105342672,984.097208178484,879.5204147873293,41.64208414600797,2.8343333333333334
38,B-n50-k8,1313,1369.785192564789,1528.6767801299554,1460.5903180657763,43.625579170842656,2.9480000000000004
39,B-n51-k7,1032,1097.558490252243,1692.0924268528433,1225.4106783635036,114.91182590702519,2.9946666666666664
