,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,828.626043541245,986.4156424751873,904.5844100021277,43.76499343069737,2.2086666666666663
1,A-n33-k5,661,703.261462388291,821.6152622332975,752.3191830603976,34.16501410265886,2.217333333333334
2,A-n33-k6,742,763.4111670853387,938.3046067952982,833.4725866408102,42.01931474659952,2.441666666666667
3,A-n34-k5,778,816.7255231799566,982.1465665697804,875.2676628609164,41.87632701544385,2.163666666666667
4,A-n36-k5,799,852.8474021315194,1016.149073022149,925.3093506124109,39.21246630100145,2.834333333333334
5,A-n37-k5,669,712.5833185137336,857.1515969916611,784.1569316328008,35.03692340744817,2.8529999999999998
6,A-n37-k6,949,1045.658193656174,1235.2276040160655,1119.6112141670806,44.783377517778405,2.9026666666666667
7,A-n38-k5,730,823.0697596918412,1136.8331059963855,942.6602180370115,88.81440502582082,2.7323333333333335
8,A-n39-k5,822,912.9429246031737,1090.2140678498313,1004.895464062572,41.36878524868628,2.5946666666666665
9,A-n39-k6,831,891.420154961985,1055.9318168232542,964.3600647189311,35.75949279208648,2.7063333333333333
10,A-n44-k6,937,986.1117304366319,1282.6391399389927,1142.974553639594,54.26268700645996,2.9480000000000004
11,A-n45-k6,944,1021.7023149379762,1212.7717440596618,1125.355147324909,39.794280005961134,3.3633333333333337
12,A-n45-k7,1146,1259.9521348419191,1356.5584873228586,1310.5665855088857,27.006520229013862,3.2399999999999998
13,A-n46-k7,914,1033.9221851049908,1188.1037577938846,1085.8168145552881,36.87892914781929,3.216
14,A-n48-k7,1073,1220.1794115820335,1350.5794865309672,1264.003296139475,31.31234574167133,3.137333333333333
15,A-n53-k7,1010,1158.5515468377357,1487.4295616222566,1269.3534636441038,68.99220543134896,3.4066666666666667
16,A-n54-k7,1167,1304.3460266144752,1540.5601272720512,1414.8116921145743,56.01387388136671,3.161333333333333
17,A-n55-k9,1073,1179.881300189283,1427.065398806637,1282.3387435280858,53.18481418649402,3.466666666666667
18,A-n60-k9,1408,1494.7070343199102,1789.4274504423306,1608.9470332090268,64.21307438211974,3.7640000000000002
19,A-n61-k9,1035,1186.9475967996825,1363.6524841691453,1263.7944256055878,42.63899096241059,3.877333333333333
20,A-n62-k8,1290,1473.6883877460077,1672.6952046866732,1571.410517578572,55.501034955264906,3.9606666666666666
21,A-n63-k10,1315,1476.3130292244452,1727.6466133626677,1595.158977630331,62.89903715200862,4.309666666666667
22,A-n63-k9,1634,1834.0173561807935,2055.9840043920058,1945.3816985964077,58.05548749547609,4.239
23,A-n64-k9,1402,1562.8848394723043,1806.2186456509257,1686.5841757516666,59.35566741458934,4.089
24,A-n65-k9,1177,1365.6123057451837,1595.6313656149405,1461.7780006903631,54.159331206956175,4.204666666666666
25,A-n69-k9,1168,1356.3897397292578,1509.0909324966974,1430.2490816222446,38.16245730988683,3.784333333333334
26,A-n80-k10,1764,2032.7796507437008,2356.4070114484975,2181.7264981925305,66.06245709472832,4.494666666666666
27,B-n31-k5,672,694.4660505380044,751.542750655599,709.1620214219274,11.810896565717826,2.447
28,B-n34-k5,788,810.0943750188163,959.2023009561456,854.7213895392825,33.6543206621987,2.4883333333333337
29,B-n35-k5,955,993.134600317209,1111.922388510101,1029.6708823537986,29.980136839944375,2.3409999999999997
30,B-n38-k6,805,842.710264357365,914.9423241643516,875.2100629404138,20.506825971793944,2.8873333333333333
31,B-n39-k5,549,587.2522072594875,716.709536148192,636.1332350603944,27.05248644826237,2.4900000000000007
32,B-n41-k6,829,874.6656868017171,1095.0618651649456,960.7467892186346,58.37045211340893,2.921333333333334
33,B-n43-k6,742,792.9608623931479,880.1312911124292,835.6525839350173,26.533241342874554,2.8203333333333327
34,B-n44-k7,909,961.8267618590424,1098.1653703742718,1043.4752285588254,28.98116799506389,2.812333333333333
35,B-n45-k5,751,783.3052739999241,1063.7696882702076,906.1611663772369,76.43075861494627,2.9803333333333333
36,B-n45-k6,678,756.9597426545924,851.0441153773163,786.3599788614763,28.880042504821034,3.333333333333334
37,B-n50-k7,741,797.9279497463613,994.8434234217274,874.4063290932521,45.81541082905665,3.0266666666666664
38,B-n50-k8,1313,1355.9260409220458,1580.5611854958227,1422.5288094287919,53.760447500025585,3.327
39,B-n51-k7,1032,1079.5611724378414,1297.4223197509295,1184.6028467875608,49.7983642448717,3.5073333333333334
40,B-n52-k7,747,800.3400484796593,995.7695949339311,881.1909414520344,48.14470087659675,2.9543333333333335
41,B-n56-k7,707,770.93624772774,927.48568001677,826.9986306695375,36.953846174053204,3.259333333333333
42,B-n57-k7,1153,1182.7833464589316,1481.1148785923683,1318.7181730757777,66.77236220514799,3.751
43,B-n57-k9,1598,1701.9870046120357,1875.808752981773,1782.4775881283822,47.26264861190388,3.7246666666666663
44,B-n63-k10,1537,1646.1409901219429,1993.077029146361,1752.172914212347,64.57106399108613,4.226333333333334
45,B-n64-k9,861,962.9804908770391,1104.8307122695005,1031.0668846797262,39.13247902053382,4.625333333333334
46,B-n66-k9,1374,1454.290377365948,1684.639353429765,1568.7366168763472,53.93485595565937,4.519
47,B-n67-k10,1033,1155.94177713208,1353.660574658084,1217.7854379326761,51.49828283136547,3.9406666666666665
48,B-n68-k9,1304,1416.2391924627627,1577.6301929365313,1498.8032548832869,47.32660904419031,4.2589999999999995
49,B-n78-k10,1266,1412.7174157474974,1603.8929703744845,1500.326975103249,53.77230440536158,4.804666666666666
50,P-n101-k4,681,976.0857197117653,1168.6145287650256,1053.2160359639413,45.103063969031695,3.7660000000000005
51,P-n16-k8,435,451.335080208618,480.01807871831085,461.0145860269064,8.070883968480913,2.7416666666666667
