,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,817.0524570294958,1054.7871066839884,920.4461190737018,46.1818558728384,2.744666666666667
1,A-n33-k5,661,719.2015556300743,897.4928790562499,798.4616372982873,52.53398558101224,2.3563333333333336
2,A-n33-k6,742,800.1913358400321,959.6668827424987,864.4522705528968,47.18559620040325,2.563
3,A-n34-k5,778,803.5340476851233,969.4642760905681,900.5156598954575,37.31455567576271,2.3819999999999997
4,A-n36-k5,799,874.1512053931054,1095.3180901463882,936.1148683463161,43.73316825868854,2.419333333333334
5,A-n37-k5,669,749.1341070986128,955.311357197794,815.4081695675718,50.999287448305715,2.4873333333333334
6,A-n37-k6,949,1019.4933922063562,1221.6041953886347,1115.6701179227568,45.16051987651833,2.741
7,A-n38-k5,730,789.4640614587607,1015.08852078615,891.5935376265909,56.32793467162276,2.5923333333333334
8,A-n39-k5,822,900.29425448147,1128.9817100073888,1005.8969277876043,60.60299815450803,2.5570000000000004
9,A-n39-k6,831,901.1007339540934,1131.1359103081395,993.7687045081311,57.76105301630047,2.6769999999999996
10,A-n44-k6,937,1001.2495500487482,1294.2683725486472,1133.7947898486163,62.103775633356655,2.803
11,A-n45-k6,944,1041.1194590420955,1296.9972111457714,1175.4966725362415,52.80824511104827,2.8593333333333333
12,A-n45-k7,1146,1276.7794873375756,1447.769834376957,1342.1760820573393,40.311049358748974,2.803
13,A-n46-k7,914,1002.9239936957206,1302.7516261563987,1127.0673471775167,62.79844780278747,2.8626666666666667
14,A-n48-k7,1073,1194.4662926844546,1395.364134512521,1306.1983614841215,50.408653445222214,2.870333333333334
15,A-n53-k7,1010,1143.6487944060634,1445.12444098912,1301.8771654081427,63.987271783321454,3.0449999999999995
16,A-n54-k7,1167,1329.5812108822372,1673.1894458055017,1468.8919090288875,71.13672097100708,3.413666666666666
17,A-n55-k9,1073,1211.2268486952185,1474.3954383922874,1336.9120275132884,68.04375946475037,3.3546666666666662
18,A-n60-k9,1408,1507.2288935954173,1798.5664626988382,1649.103706231674,56.39728188572659,3.3916666666666666
19,A-n61-k9,1035,1205.7658541957853,1456.4098942635997,1328.5551740957897,54.563638869350974,3.5760000000000005
20,A-n62-k8,1290,1494.6281657133584,1783.9883627820516,1656.0884248168657,74.79537978639166,3.258666666666667
21,A-n63-k10,1315,1554.2448343750807,1823.4713256920506,1661.0931421813534,61.44897808381795,3.6710000000000003
22,A-n63-k9,1634,1899.4818875045678,2139.3682691626686,2000.3008252531486,58.23940028991168,3.6270000000000007
23,A-n64-k9,1402,1669.334847915976,1889.3283224108936,1761.3233305072745,58.54232876404734,3.5909999999999997
24,A-n65-k9,1177,1416.5148045192163,1721.2940311944872,1568.875901117512,75.34566534979729,3.6076666666666664
25,A-n69-k9,1168,1444.1982401751338,1697.695824936105,1543.3065520246007,67.62785972248129,3.5833333333333335
26,A-n80-k10,1764,2174.9289371657346,2435.9523091416518,2301.330023895876,74.0878738576586,3.929666666666667
27,B-n31-k5,672,685.5969806800631,815.9384911900171,715.1512151654313,25.193879554749554,2.399333333333333
28,B-n34-k5,788,821.3126255486746,981.4413237535185,899.4530466296458,45.58007523989709,2.4386666666666668
29,B-n35-k5,955,991.3050705306982,1210.9917127271456,1079.1928137437076,56.57572263472067,2.4643333333333337
30,B-n38-k6,805,834.312690836742,988.8532535679446,889.6101931768477,41.41808743671087,2.618333333333333
31,B-n39-k5,549,595.7975070725938,808.81647450792,682.4849704321027,48.98852406672745,2.4946666666666664
32,B-n41-k6,829,854.8171741572733,1151.4120243575326,1023.5804495137114,69.73291930277215,2.6643333333333334
33,B-n43-k6,742,802.0867836531918,957.6065862813547,870.0197388490747,39.349162973463386,2.7449999999999997
34,B-n44-k7,909,1019.5976630509849,1197.4047155936116,1084.4518924922372,46.056178808801796,2.842666666666667
35,B-n45-k5,751,802.7814117334514,1136.2705531602116,894.3169404805851,78.3445206746837,2.829333333333334
36,B-n45-k6,678,764.7588215537244,940.8351956240675,825.8742127472212,42.7047210366785,2.919333333333333
37,B-n50-k7,741,825.8394347798267,1026.1866271360273,942.9418619276227,58.2445613385524,2.966
38,B-n50-k8,1313,1367.2081008269427,1558.705063325633,1458.1120961492386,41.73769806784271,3.1143333333333336
39,B-n51-k7,1032,1189.834377499659,1470.3239028077132,1294.984029335341,66.63089339302822,3.152333333333333
40,B-n52-k7,747,822.6136958447338,1111.2120029703767,962.9748563038435,68.06443202920094,3.000333333333333
41,B-n56-k7,707,810.3417407185387,1027.6528566780844,888.4304023843501,56.02031039766343,3.073666666666666
42,B-n57-k7,1153,1252.3867148852692,1525.48735527688,1426.9883718648343,71.25800537653838,3.1953333333333327
43,B-n57-k9,1598,1758.6104258444927,1961.1738784886866,1845.8527556366162,59.02020936893841,3.353333333333334
44,B-n63-k10,1537,1723.026665424952,2092.8727629058203,1872.1673131944578,78.78132225261085,3.592333333333334
45,B-n64-k9,861,982.720355972373,1215.0277014342673,1101.3922159263498,72.40204829677455,3.587
46,B-n66-k9,1374,1560.2661126363648,1842.5353106485431,1682.0530389339997,70.21937679236467,3.6073333333333335
47,B-n67-k10,1033,1222.5458431237362,1504.512238115108,1343.8142648848755,78.61905250541206,3.654666666666667
48,B-n68-k9,1304,1494.3429875314237,1712.5517211645317,1606.701173730998,62.40962375225982,3.539
49,B-n78-k10,1266,1563.8102088694136,1796.2559591078605,1684.2513006805389,67.4039920334311,3.903666666666667
50,P-n101-k4,681,1101.8845239305172,1280.6925665202575,1201.4413541237552,46.27668312537441,3.6913333333333327
51,P-n16-k8,435,451.33508020861797,473.78211236451153,458.5205132425098,8.413241252056647,3.4540000000000006
52,P-n19-k2,212,212.6569041858923,274.9864000980616,243.24973989226177,14.643383633003292,1.7496666666666663
53, P-n20-k2,220,217.41558334616656,275.8157259016509,243.15186244951528,16.78582960171213,1.8153333333333335
54,P-n21-k2,211,212.71153970290385,257.1535982017333,235.7552031901696,12.45985580571438,1.8339999999999999
55,P-n22-k2,216,223.52864412416284,296.01520761189835,246.54061634680562,16.85796222172622,1.8086666666666666
56,P-n22-k8,603,588.7935242586069,650.9905607339961,620.640917824358,18.61793560970077,3.3976666666666664
57,P-n23-k8,554,537.9392434797479,608.8465200513264,563.7317642669642,19.143758438834688,3.3033333333333332
58,P-n40-k5.vrp,458,504.46345439380445,606.8714566200007,557.7097399610458,23.058804245965845,2.5196666666666667
59,P-n45-k5,510,579.027007290581,723.7257717734414,646.8984321932569,35.38050188472748,2.6043333333333334
60,P-n50-k10,696,778.8218427718177,926.9168993298086,833.8422279997556,36.54613148986122,3.4493333333333336
61, P-n50-k7,554,623.8799965408456,756.2904873007966,686.2632737371728,32.70278865733194,2.9106666666666667
62,P-n50-k8,649,691.0696964033735,880.0195989402196,755.1328684415333,40.487011823580765,3.183
63,P-n51-k10,745,791.5945160184409,1011.0523649419551,879.9287453535491,42.20401332871495,3.5060000000000007
64,P-n55-k10,669,778.8658222319746,1013.9262458411008,850.2790028318544,40.582368245412816,3.4313333333333333
65,P-n55-k15,856,1036.7851705798562,1204.4843412533733,1095.3161875324809,35.785785048062365,4.632333333333333
66,P-n55-k7,524,650.6870737587932,877.0245396758384,712.5281159669685,44.20587953175429,3.0223333333333335
67,P-n55-k8,576,673.6979211647488,823.8921077366748,737.5249973785777,38.4779188038201,3.040666666666666
68,P-n60-k10,706,855.3327691715375,1047.1658745916332,939.0788802231768,38.67146812877409,3.649
69,P-n60-k15,905,1067.0620177993892,1233.593594370837,1146.6455497331567,41.25752812389978,4.576333333333334
70,P-n65-k10,792,933.2471225760721,1157.3684712585477,1017.0334740725101,38.33341105988167,3.633666666666667
71,P-n70-k10,834,987.4845802586344,1263.0722928886903,1060.49754914844,52.79178474179055,3.774666666666667
72,P-n76-k4,589,825.2267815013415,1021.319337751584,929.5743334921841,45.31875356861587,3.083
73,P-n76-k5,631,823.5662885311635,1121.8519274247576,953.2921244929853,62.73843275135517,3.2563333333333335
