,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,879.3262699103389,1031.714028811656,949.7629320040415,43.442719478256194,2.3553333333333337
1,A-n33-k5,661,734.4410615443171,892.3380039259009,804.2385259759518,41.82866767115192,2.2706666666666666
2,A-n33-k6,742,788.5033415038505,955.925466866359,877.8171340910666,50.196500433492595,2.3669999999999995
3,A-n34-k5,778,891.1051750045924,1112.6812197482664,966.5136547305497,52.051155871218675,2.219666666666667
4,A-n36-k5,799,874.3104360440601,1039.2293325344351,973.2580993983578,40.25850075633539,2.348
5,A-n37-k5,669,779.5208605458972,932.369716251601,845.6878765960132,35.77016891110734,2.4369999999999994
6,A-n37-k6,949,1073.5430038088282,1299.4946904196427,1173.9446498787377,59.60395399285493,2.5290000000000004
7,A-n38-k5,730,813.6275827810783,1101.3198741740512,948.6094924489634,67.15092425550013,2.4606666666666666
8,A-n39-k5,822,952.4893279057295,1182.0776612068614,1061.0617031066993,52.690750530952634,2.3726666666666674
9,A-n39-k6,831,941.6050267013952,1120.1187588574483,1028.1139703587157,42.424452199245415,2.6703333333333332
10,A-n44-k6,937,1078.9118060937476,1337.8175559247418,1189.129339941903,60.612570873441335,2.6579999999999995
11,A-n45-k6,944,1114.190891940214,1323.2834249232087,1195.3719640780514,47.42408521873628,2.8006666666666664
12,A-n45-k7,1146,1296.4585194177275,1451.3589770556953,1369.5866166597878,40.36742391774234,2.7253333333333325
13,A-n46-k7,914,1026.7395655130126,1259.671317981869,1121.6678312071003,45.95293406171818,2.839333333333333
14,A-n48-k7,1073,1190.370481954203,1407.977405410691,1322.6759389470983,50.360247134950676,2.911999999999999
15,A-n53-k7,1010,1235.3826158947143,1452.9452366465741,1322.1506434675953,53.19809674420024,2.9710000000000005
16,A-n54-k7,1167,1400.7030110614064,1675.7653204270691,1486.2868752644338,59.22312985605045,3.0253333333333337
17,A-n55-k9,1073,1302.3731511736733,1488.2971578242177,1383.4745524742445,55.564586810524474,3.113666666666667
18,A-n60-k9,1408,1560.0942814288917,1843.2125199369762,1711.3157969002723,63.647751071142864,3.222
19,A-n61-k9,1035,1232.5071595924528,1466.6252538566823,1334.0907569110257,52.999183671290226,3.4353333333333333
20,A-n62-k8,1290,1506.0924760896924,1842.4163265336601,1676.8571404124605,65.12148587662787,3.157333333333333
21,A-n63-k10,1315,1575.9063556595163,1798.5904098192432,1700.8075505228803,57.06980157463733,3.421333333333334
22,A-n63-k9,1634,1916.1676449711467,2142.6445246706085,2029.5681150427542,49.50779371464439,3.534333333333333
23,A-n64-k9,1402,1704.8297271825202,1904.2473270836217,1785.9249165430526,54.76181220295997,3.29
24,A-n65-k9,1177,1467.1890124598106,1712.7000551997814,1558.3873614369797,63.30841926938722,3.5196666666666663
25,A-n69-k9,1168,1442.0286489108178,1674.937088485326,1552.7423979219946,65.00524399140998,3.5020000000000002
26,A-n80-k10,1764,2204.5352541950006,2437.7233110724555,2334.2099339155884,55.00994315582273,3.7079999999999997
27,B-n31-k5,672,691.3432948060895,742.8250468830983,715.538330668473,14.291444157786632,2.3713333333333333
28,B-n34-k5,788,825.4259714249704,990.0817442713397,873.9176032304324,34.86849557214731,2.305
29,B-n35-k5,955,1010.733809101878,1150.879292007776,1047.4958682658948,31.942755141784655,2.3833333333333333
30,B-n38-k6,805,852.994960913695,950.4910528547393,885.8157841190356,24.54736097531342,2.5679999999999996
31,B-n39-k5,549,596.6486622620919,736.8366621754012,666.6991737382216,33.44211994876372,2.443
32,B-n41-k6,829,906.9834626367101,1171.0337043062927,1030.9555725624164,61.40213754311724,2.4936666666666674
33,B-n43-k6,742,813.5252610870642,980.8613296691032,868.5863934559985,40.13967415211181,2.674333333333333
34,B-n44-k7,909,1012.4008846172201,1162.311263965671,1074.3401233298277,36.5590014232571,2.686333333333333
35,B-n45-k5,751,844.3079129348567,1165.8306533903726,930.3759937767882,76.63750497225452,2.7233333333333336
36,B-n45-k6,678,752.7312635518008,866.0017733596901,807.3703132156478,28.792750282364793,2.850333333333333
37,B-n50-k7,741,795.9359437440758,979.3835446102662,877.0531420656476,49.744971085490576,2.923666666666667
38,B-n50-k8,1313,1374.009989324732,1543.954681529403,1462.2597426569866,48.16592375018177,2.9219999999999997
39,B-n51-k7,1032,1063.1659335692088,1330.1506830890132,1190.317021038534,66.66069818441257,3.087666666666667
40,B-n52-k7,747,832.4272881939684,1027.4635505494539,894.3310407367902,42.1366829756711,2.958
41,B-n56-k7,707,790.021442111699,964.5461329142379,852.7028422516796,44.91666693765845,3.0120000000000005
42,B-n57-k7,1153,1233.4050778166875,1535.0779410087334,1379.2461994925898,67.85379430979725,3.150333333333333
43,B-n57-k9,1598,1709.2266572890928,1911.8250117548653,1801.3363792187884,50.89178234632113,3.2303333333333333
44,B-n63-k10,1537,1725.5478921896297,1984.4583451857966,1851.9324428117473,60.978131886089294,3.4146666666666663
45,B-n64-k9,861,975.6431699596822,1210.8467784046445,1085.3651144257162,54.84457952268502,3.5689999999999995
46,B-n66-k9,1374,1462.0446105972283,1794.6113918748995,1623.5675515972644,67.5684600130963,3.5576666666666674
47,B-n67-k10,1033,1192.3710169990336,1441.6227900278693,1298.0004260671692,60.46520738367744,3.5486666666666666
48,B-n68-k9,1304,1417.5141277606829,1699.0537042102208,1567.3389678172434,57.039225231403044,3.3923333333333336
49,B-n78-k10,1266,1479.402479860961,1715.425398589645,1617.646473592168,62.38218491056801,3.752666666666667
50,P-n101-k4,681,1084.1369107559976,1225.4804918376506,1149.221127446374,31.16631139779921,3.7790000000000004
51,P-n16-k8,435,451.9470921298185,476.2333630392913,460.40708005189055,6.986035283083722,3.2070000000000003
52,P-n19-k2,212,256.5930532768321,318.08705339471567,292.0768314292513,16.404947405588953,1.6633333333333333
53, P-n20-k2,220,253.97386950090856,330.5168922502892,297.0073966203161,17.734460082369804,1.6400000000000001
54,P-n21-k2,211,256.3947169048849,333.90293710817343,283.7244705639604,18.92133404894366,1.7516666666666665
55,P-n22-k2,216,268.8035554196363,351.6750271067958,303.70915399862054,17.1132700495575,1.6949999999999998
56,P-n22-k8,603,598.9436092239067,676.2711048775866,632.3767972543576,16.64990874381362,3.181333333333334
57,P-n23-k8,554,542.208485311129,603.9691930661602,567.1445626530575,18.78188655531395,2.9519999999999995
58,P-n40-k5.vrp,458,512.4649355627593,645.8986996593558,580.1119950937565,28.445569875106116,2.476666666666667
59,P-n45-k5,510,586.789805674194,766.8734346358567,663.7068916186684,42.84026300689438,2.509666666666667
60,P-n50-k10,696,784.8528932068883,971.3498317379681,846.8201638371164,42.57484745362662,3.3953333333333338
61, P-n50-k7,554,635.9385914345307,766.3504862156677,703.8160163099874,30.267080804530817,2.825333333333333
62,P-n50-k8,649,723.8983460963401,842.8516982294402,779.1286592404743,28.827064134437368,3.1563333333333334
63,P-n51-k10,745,834.7223222137972,959.6176932717633,897.3211577589025,30.20904265330112,3.426
64,P-n55-k10,669,777.584300028039,915.6823335385443,856.4893656830144,32.86395508598933,3.3143333333333325
65,P-n55-k15,856,1055.8925803374264,1213.9662074821197,1119.5181189812547,39.78484169604934,4.355333333333333
66,P-n55-k7,524,647.6466408480961,768.3645148487014,713.8378550121312,33.133242991638866,3.0426666666666673
67,P-n55-k8,576,711.1653726338486,829.3180580332048,763.9563788793209,29.167085635636226,2.8569999999999998
68,P-n60-k10,706,886.8567355670134,1100.7750662553085,968.5145542758675,57.861082501649136,3.482
69,P-n60-k15,905,1092.7068764913522,1324.710262607811,1168.5953701652527,52.17633804463758,4.126333333333333
70,P-n65-k10,792,953.9635553575692,1118.3260257580878,1031.8502835787297,42.65034925914754,3.5813333333333333
71,P-n70-k10,834,1002.9854669277356,1162.300909208087,1066.6822262791736,38.04609854296724,3.774333333333333
72,P-n76-k4,589,915.5809264033614,1127.8983792781844,1013.3148317622419,50.734251519279596,2.9423333333333326
73,P-n76-k5,631,859.911765449275,1148.9240898652242,1004.1870529488828,81.16814224362982,3.15
