,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,906.7082146724764,1132.310142942083,985.1325032282825,45.19928250371428,2.430333333333334
1,A-n33-k5,661,759.3833277684589,927.1192714722349,830.5771451736164,42.01189008803401,2.3669999999999995
2,A-n33-k6,742,845.1926710200077,1025.6753832665372,898.904082135427,38.80822758770108,2.507
3,A-n34-k5,778,864.1678630619105,1061.6664640872343,962.3953692085839,43.12397496610519,2.3723333333333327
4,A-n36-k5,799,901.7791890779977,1072.1180203563988,985.6068056405363,41.431973841260906,2.4250000000000003
5,A-n37-k5,669,818.6630891533777,995.6642713322947,889.067544389482,45.6818175554713,2.508
6,A-n37-k6,949,1080.8120847301795,1221.4862401664197,1145.6238284405865,35.02913769549777,2.6073333333333335
7,A-n38-k5,730,878.4907904410454,1052.1538896783263,938.7468451201235,42.72734044217615,2.569
8,A-n39-k5,822,979.999693916013,1238.456576180208,1061.6269337853162,58.460693192586085,2.5033333333333325
9,A-n39-k6,831,959.3213862421458,1109.3120250054303,1032.8171242580333,46.11956225153966,2.635
10,A-n44-k6,937,1081.8812587778084,1253.527146311029,1169.5588849748383,43.95616769837254,2.743
11,A-n45-k6,944,1086.743892914348,1355.928336171978,1196.9599060116104,66.16110737784838,2.853333333333334
12,A-n45-k7,1146,1260.189475154165,1437.1554639238477,1351.348717064043,46.596938158166886,2.760666666666667
13,A-n46-k7,914,1080.0389796136433,1252.9640431149107,1153.0106549355478,44.18189910734719,2.841
14,A-n48-k7,1073,1259.8231240709229,1455.8342498172615,1331.753584925116,52.19518196125241,2.833333333333333
15,A-n53-k7,1010,1240.7037424909606,1672.5865514799314,1317.9709144397352,74.40173007176843,3.0606666666666666
16,A-n54-k7,1167,1382.684127649329,1589.42669677832,1455.8856835672307,41.63456658773256,3.0583333333333327
17,A-n55-k9,1073,1261.3832659736463,1474.3057940915317,1353.250855799871,56.64084219810239,3.324333333333334
18,A-n60-k9,1408,1533.57948453576,1815.7515392632947,1650.6458062325896,57.66974293871497,3.3306666666666667
19,A-n61-k9,1035,1245.3985446772092,1498.398134267341,1344.6170286915103,56.98330103296385,3.4806666666666666
20,A-n62-k8,1290,1547.022079734596,1746.1126231309174,1634.2543579727696,46.93475017952527,3.1680000000000006
21,A-n63-k10,1315,1556.857369330924,1763.9514769610405,1638.4352005859062,55.218171940107176,3.580999999999999
22,A-n63-k9,1634,1867.5389168404768,2101.7692187302764,1994.8749057595737,52.63953892820982,3.5060000000000002
23,A-n64-k9,1402,1688.150419748952,1844.5722823368337,1767.7584945420303,34.70068906531007,3.494666666666667
24,A-n65-k9,1177,1446.8262609362578,1653.0289429498528,1548.8238683685215,56.07480152206012,3.583
25,A-n69-k9,1168,1433.7566752931402,1639.7637324144514,1533.514447482768,51.37767952220574,3.5626666666666664
26,A-n80-k10,1764,2165.967073873111,2409.635442399049,2289.018125102709,65.37253449291738,3.838
27,B-n31-k5,672,710.0419692037921,812.9479795618091,747.4203307558095,27.392353586749195,2.4323333333333332
28,B-n34-k5,788,832.9697052456688,1007.5724875942227,908.5126238515276,38.52310895058358,2.421666666666667
29,B-n35-k5,955,1024.500473041532,1193.224859712383,1100.1600591052404,50.19648406269331,2.439
30,B-n38-k6,805,846.8654045482444,1003.4223125128201,901.104388809918,31.841314355420003,2.6529999999999996
31,B-n39-k5,549,585.7581663853397,802.1199183198302,675.9447018129571,54.17644330421313,2.5269999999999997
32,B-n41-k6,829,887.9096793852638,1164.9297469903502,999.7236572850961,59.751984895643055,2.663666666666667
33,B-n43-k6,742,834.3501656192384,981.2048754060283,886.1116752676094,38.331905302194706,2.711666666666667
34,B-n44-k7,909,1033.0394312219737,1150.9038341674795,1090.1210911850253,31.391833937146036,2.804
35,B-n45-k5,751,828.7704743405302,1068.4758312361305,938.3298904544971,50.786466707783376,2.7299999999999995
36,B-n45-k6,678,791.5929784032276,922.6257315870313,839.1802629111264,33.63592140949393,2.8796666666666666
37,B-n50-k7,741,836.4706279494706,1019.3226088218245,938.9499257646096,43.58619428777446,2.9496666666666664
38,B-n50-k8,1313,1398.5081640731223,1546.1610505645529,1470.4841845641135,39.908837964829154,2.9923333333333337
39,B-n51-k7,1032,1152.4306068138746,1380.0947937385108,1265.0458298874137,61.92734627355531,3.075666666666666
40,B-n52-k7,747,852.9573786389938,1068.2927282734,954.3791880931094,52.56900945166924,2.963333333333334
41,B-n56-k7,707,809.4325844543594,1101.0985437292275,888.8048857548775,61.03071360443895,3.0293333333333337
42,B-n57-k7,1153,1275.785406747706,1593.875559046579,1405.3201557982309,73.78349935551847,3.1526666666666663
43,B-n57-k9,1598,1714.8175437356153,1887.8869700492796,1807.9143550658223,39.70312700213317,3.2373333333333334
44,B-n63-k10,1537,1714.0144048805312,2048.2551051791747,1835.6421891461828,77.2201810063501,3.4960000000000004
45,B-n64-k9,861,1003.7893142541704,1186.1643291200335,1082.9631782472463,48.13054170666467,3.531333333333333
46,B-n66-k9,1374,1500.3287095467613,1755.7101921339197,1617.9455971490022,62.13398653122495,3.5363333333333333
47,B-n67-k10,1033,1210.2562329411119,1484.0140308188763,1308.6580556781018,62.439502287517406,3.5529999999999995
