,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,919.403762894496,1417.0126077403008,1083.7279514567463,94.3036251045247,3.182
1,A-n33-k5,661,788.4311437470299,995.519202000675,870.1599594621397,47.00506322053171,3.0013333333333336
2,A-n33-k6,742,864.2822330770563,1051.8296914477564,954.0670912391165,54.3742232296443,3.0023333333333335
3,A-n34-k5,778,910.3073615964804,1164.395311857513,1009.5055131666692,60.15117850918967,2.9720000000000004
4,A-n36-k5,799,923.1484357475509,1168.128159855733,1046.2185292832403,61.25501627766545,3.0096666666666674
5,A-n37-k5,669,852.7742345620563,1090.4462125721252,945.3198938194829,55.209394833949915,3.016666666666667
6,A-n37-k6,949,1092.7436663931676,1369.9551749895174,1192.677358922935,60.947467258773365,3.1679999999999993
7,A-n38-k5,730,896.8401854075632,1163.6825045239168,1007.9979166356263,58.70388903280766,3.074
8,A-n39-k5,822,983.0886845639657,1250.8622468267645,1109.8070238777843,62.90333448506793,3.058333333333333
9,A-n39-k6,831,995.8169098836013,1256.8026942266436,1135.8036928812546,62.420510961885284,3.1526666666666663
10,A-n44-k6,937,1138.9073900877913,1364.5305656341989,1257.3680558398119,56.644605382630544,3.2563333333333335
11,A-n45-k6,944,1151.507184398038,1499.0415755290865,1305.6871111815801,78.82720592857909,3.3843333333333336
12,A-n45-k7,1146,1292.1231185293407,1462.899370725652,1379.8781434068221,40.33448950273979,3.3756666666666675
13,A-n46-k7,914,1101.2292077764203,1567.5230683962272,1228.4581876327622,82.8007095936522,3.4066666666666663
14,A-n48-k7,1073,1291.2205296987618,1616.9244061930763,1415.8294500804614,82.55747354641797,3.44
15,A-n53-k7,1010,1309.330197984184,1566.2198068604223,1442.0723819884922,56.640287903332705,3.5583333333333327
16,A-n54-k7,1167,1414.7336673835503,1702.1988889099398,1551.4093007343806,68.16451021069044,3.589333333333333
17,A-n55-k9,1073,1306.0649074570779,1632.1689016934008,1468.4259266451518,74.96337913719265,3.8256666666666663
18,A-n60-k9,1408,1663.2545213953235,1934.5074509983017,1747.5486319172037,65.21455833978176,3.8673333333333333
19,A-n61-k9,1035,1363.1287948843797,1592.2912537130524,1427.9545285974732,56.808741305443554,4.009666666666667
20,A-n62-k8,1290,1593.9668526833016,1876.7357663824937,1728.8442005152547,69.05881954368711,3.7766666666666664
21,A-n63-k10,1315,1612.6137852799645,1863.4401978958833,1717.642077733136,68.27118910880809,4.0793333333333335
22,A-n63-k9,1634,1938.1510651544518,2201.495529357079,2061.020088488429,69.22482825361266,4.042666666666666
23,A-n64-k9,1402,1734.9076388742171,1951.0770583527665,1831.4507975921754,56.915163017831695,3.962666666666667
24,A-n65-k9,1177,1573.510318122018,1833.316850342304,1686.284495149436,65.52206715525236,4.0920000000000005
25,A-n69-k9,1168,1561.2997854010866,1958.5229648857166,1693.2589504906641,90.98360195098748,4.02
26,A-n80-k10,1764,2242.1731340725178,2544.8261147389862,2388.0032716737996,77.1637429459181,4.351
27,B-n31-k5,672,706.2426682520447,884.3363738194525,767.5021112981401,36.670215386515345,2.9323333333333337
28,B-n34-k5,788,875.2849887333734,1079.2435908351688,988.7936437927375,52.066544567948576,2.8966666666666665
29,B-n35-k5,955,1098.6481632394816,1400.9833521703968,1235.9235878581708,70.40089800108407,2.9669999999999996
30,B-n38-k6,805,899.1941141341308,1097.0395492948107,974.6906633816373,53.719467358566845,3.208
31,B-n39-k5,549,668.1907630826711,977.8200151565893,806.2628494916919,66.40246738295242,3.170666666666666
32,B-n41-k6,829,920.6985532823164,1336.7194017578074,1101.3445186878307,79.64749054094122,3.3080000000000003
33,B-n43-k6,742,882.226876334762,1130.0050233987315,968.399936585341,61.59792835048195,3.320666666666667
34,B-n44-k7,909,1076.366310581799,1264.3245789326193,1163.7711122332014,53.730123673155866,3.379
35,B-n45-k5,751,961.4122659690812,1219.9319623475583,1082.1370247706734,72.11081180061207,3.328
36,B-n45-k6,678,823.3452645802773,1081.0369586956558,907.4544345246271,55.47294849686293,3.4843333333333333
37,B-n50-k7,741,977.8356940624483,1243.9772902098414,1091.2037859410623,74.26313175211902,3.522
38,B-n50-k8,1313,1388.3617057971926,1647.592754307304,1513.6914740717425,62.84770763554562,3.5940000000000003
39,B-n51-k7,1032,1221.3694232065354,1601.172186214113,1461.9902602739269,100.6131330197142,3.692666666666667
40,B-n52-k7,747,948.6246095071388,1353.1533281629993,1117.0098334698675,110.16436090716621,3.606666666666666
41,B-n56-k7,707,911.6618785664273,1197.2443650832993,1031.0202892350999,79.81134374140545,3.671
42,B-n57-k7,1153,1460.360779911314,1817.1144474899115,1621.631043149392,100.6875229743948,3.7629999999999995
43,B-n57-k9,1598,1788.8677956415622,2068.259882071545,1906.4313289106503,72.40353142334524,3.889333333333333
44,B-n63-k10,1537,1752.2659533970557,2156.441789687938,1962.205713260092,93.61708082504717,4.246
45,B-n64-k9,861,1098.236514146392,1401.2803794788756,1275.0267983906808,61.07009990899974,4.2683333333333335
46,B-n66-k9,1374,1589.930410610394,1990.240186138757,1762.2515941378592,87.87029785203669,4.263999999999999
47,B-n67-k10,1033,1253.752388978027,1573.2363620551441,1427.8711009587619,78.2348409497238,4.151
48,B-n68-k9,1304,1623.859717507196,1882.7492162872816,1731.777802430046,68.60222346239617,4.037333333333333
49,B-n78-k10,1266,1572.5445641202764,2129.8164934835518,1792.065663869924,116.22299387363596,4.434333333333333
50,P-n101-k4,681,1254.9908092038434,1492.2324245383948,1336.4646440239644,44.30605606795094,4.822333333333334
51,P-n16-k8,435,451.9470921298185,483.95369110464515,460.2575486496992,8.528329473882991,2.895000000000001
52,P-n19-k2,212,249.40655012726444,331.21323612924584,279.78979288358886,17.498824914368626,2.3980000000000006
53, P-n20-k2,220,259.81432003207004,324.7053022468036,298.39622052994105,18.789585334688702,2.3920000000000003
54,P-n21-k2,211,242.7466355052644,311.41338961831684,274.0057465928461,14.33066776675207,2.679333333333334
55,P-n22-k2,216,254.08010510446746,341.7259048275106,298.19573149113745,23.326244291808035,2.595666666666667
56,P-n22-k8,603,599.4465095265664,690.4880167761335,648.4483667829342,22.705941834953332,3.2976666666666667
57,P-n23-k8,554,549.270170465853,611.1980488776973,577.3678018523804,17.30859587704155,3.3006666666666664
58,P-n40-k5.vrp,458,572.5711666675571,701.0250491579335,646.6467771594198,38.06855619549526,3.2753333333333337
59,P-n45-k5,510,678.2783017912407,837.0589697546224,742.5906685823956,35.60958054595224,3.2790000000000004
60,P-n50-k10,696,813.0827781007821,941.3218643814196,861.1433885045184,30.67225723154225,4.050000000000001
61, P-n50-k7,554,681.2181249234316,835.4088479433308,756.6562349958493,39.241523462547846,3.607
62,P-n50-k8,649,742.471943233697,914.9892092551784,811.7980827428851,39.915352833485954,3.786
63,P-n51-k10,745,874.5755215069478,1063.0308764135941,950.639260824429,41.41162127736574,4.045666666666667
64,P-n55-k10,669,812.6903015662658,944.9829250228235,875.6886346222956,40.17605567029163,4.051999999999999
65,P-n55-k15,856,1034.6172662441725,1131.8654588842996,1094.1575540748277,24.588398015322703,5.132333333333334
66,P-n55-k7,524,734.4589527513913,952.9920905449369,816.4517780470186,47.71851811151405,3.696
67,P-n55-k8,576,696.2516988870927,910.5930670714879,809.78674958142,46.54849161981263,3.6699999999999995
68,P-n60-k10,706,929.5698837941895,1083.0443110404744,988.8884547712665,45.036081818498936,4.181
69,P-n60-k15,905,1106.1208983523322,1219.2398865525304,1168.6634235095942,29.622811336409164,5.056
70,P-n65-k10,792,932.8897187967967,1118.5620141219629,1047.897820232337,47.45392541166802,4.2219999999999995
71,P-n70-k10,834,1024.4284454895578,1247.4709687031823,1122.4009910806506,51.86281041423286,4.417666666666666
72,P-n76-k4,589,887.6430288870531,1242.3324146670795,1043.6055233335678,65.1874010199016,4.115666666666667
73,P-n76-k5,631,998.8563293737254,1184.40800912224,1077.0994481183827,48.70052307148215,4.0376666666666665
