,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,859.7404972430801,1057.1436782908727,940.9393981556459,51.55280728242854,2.454333333333333
1,A-n33-k5,661,713.2100064420467,884.2696542760693,796.487787960479,44.86831918509177,2.304
2,A-n33-k6,742,811.7615772383999,1063.893006577529,890.8377437184656,50.97661867808223,2.4576666666666664
3,A-n34-k5,778,826.4394416671735,1055.18560464474,935.6387504987061,53.264046630092025,2.2296666666666667
4,A-n36-k5,799,898.1844280466181,1116.4360824218043,972.9532004019044,48.614970023402485,2.2756666666666665
5,A-n37-k5,669,760.3305878699075,954.0094963171788,852.325021589347,50.80721979019608,2.304666666666667
6,A-n37-k6,949,1053.1502530588052,1260.301750709735,1143.6117341827187,54.705521675313335,2.529333333333333
7,A-n38-k5,730,861.8648155959721,1060.4108717291606,946.6976666725263,54.49798039477479,2.3729999999999998
8,A-n39-k5,822,907.8844792206941,1154.0071044169504,1013.8788695970725,54.932959342798,2.376333333333333
9,A-n39-k6,831,908.0382860638891,1208.3023831695664,1024.4770979644795,62.64232176493944,2.4743333333333335
10,A-n44-k6,937,1056.0873288550174,1270.1108533422257,1170.4447704316365,64.53987155053447,2.5796666666666668
11,A-n45-k6,944,1100.060855609526,1492.3869943016155,1219.3822646579347,90.588665533999,2.6796666666666673
12,A-n45-k7,1146,1260.6509288885425,1434.9904524186281,1337.2445356976948,36.11012369337966,2.688
13,A-n46-k7,914,1053.2768688072983,1296.9034313677623,1170.3627549187047,53.6811528771492,2.757333333333333
14,A-n48-k7,1073,1219.0160037116448,1416.1389253851407,1324.4855160854997,50.15144637790825,2.676333333333333
15,A-n53-k7,1010,1247.0886713434568,1494.3400523378164,1347.0052221044903,52.73218591410754,2.9066666666666663
16,A-n54-k7,1167,1371.3982829835056,1702.9715543105979,1507.0933329739896,69.3554965341468,2.9556666666666676
17,A-n55-k9,1073,1238.387357494138,1664.6794393070363,1398.4622994342851,86.1646788542106,3.2536666666666663
18,A-n60-k9,1408,1605.2277220839653,1891.491566319574,1712.6157842621394,66.10167407139846,3.2850000000000006
19,A-n61-k9,1035,1245.6857042140311,1548.6232533504494,1362.2441800712525,69.87039076699963,3.418
20,A-n62-k8,1290,1533.2485403455428,1878.8517621824353,1699.8410658134599,69.93915487273574,3.091999999999999
21,A-n63-k10,1315,1585.3554928686444,1873.0223506685293,1700.2867586281259,68.53221101432011,3.570333333333333
