,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,885.4503166908738,1165.9186987970436,1008.5356052835973,66.60705991245428,2.3676666666666666
1,A-n33-k5,661,758.9587719767178,964.4313075575739,851.6625214776086,50.986103657716164,2.403
2,A-n33-k6,742,788.9037754102222,986.3497475025597,915.5884243145782,42.94859722790029,2.542666666666667
3,A-n34-k5,778,847.5046362895283,1069.6726621384507,959.4076595673879,47.88893017564689,2.4123333333333337
4,A-n36-k5,799,903.3495240279256,1085.4315673548128,1002.7646235064935,51.75259766050377,2.4679999999999995
5,A-n37-k5,669,805.3022608289676,998.2661185879726,898.2140301660643,50.360246355703566,2.457666666666667
6,A-n37-k6,949,996.6860933117746,1241.431714509301,1137.6227319716988,47.530554898728276,2.662666666666667
7,A-n38-k5,730,875.5304539458124,1095.4649685987404,970.5161279239015,55.25271223682425,2.567
8,A-n39-k5,822,965.3877696659542,1120.1727068636228,1048.49248636761,35.559651927019324,2.502333333333333
9,A-n39-k6,831,963.4720298210954,1154.5766942200305,1073.419246123686,49.25784802441944,2.642333333333333
10,A-n44-k6,937,1139.6263258158435,1327.2332465832455,1203.9908570063321,46.80976929052093,2.699666666666667
11,A-n45-k6,944,1170.690490054406,1391.7799127194703,1264.439879870159,58.988753404903136,2.875
12,A-n45-k7,1146,1310.5849817211215,1470.4738468300252,1365.635648381151,40.36494185751668,2.8563333333333336
13,A-n46-k7,914,1080.8940238420482,1376.7807392645732,1198.1830785566049,69.88328229955692,2.8793333333333337
14,A-n48-k7,1073,1229.524817272258,1501.357342101785,1364.7098082416146,56.8815831751467,2.912
15,A-n53-k7,1010,1248.0389018383069,1495.7512099193457,1400.8645707133387,65.82684790267514,3.051666666666667
16,A-n54-k7,1167,1397.6431024235237,1666.8835608798986,1524.5354003230393,59.32155154925239,3.048
17,A-n55-k9,1073,1312.1413260872216,1610.277657340593,1453.4154926267868,74.45554571278878,3.366
18,A-n60-k9,1408,1604.6211831254832,1888.8935771509484,1746.9650057382344,75.11024006668106,3.3706666666666667
19,A-n61-k9,1035,1314.960101711229,1624.3715885750742,1441.999752953095,75.80170523834578,3.4879999999999995
20,A-n62-k8,1290,1610.2357949451152,1907.5228029116229,1741.0648190001546,62.946406134931706,3.2426666666666666
21,A-n63-k10,1315,1644.636627223009,1870.1065583255731,1748.076106592379,59.82966882876479,3.6526666666666667
22,A-n63-k9,1634,1975.9321962670938,2222.356502523947,2105.9381793310895,53.415769348511205,3.500666666666667
23,A-n64-k9,1402,1723.1937529850518,2078.5997441619984,1854.2236641610632,65.60834964656561,3.466
24,A-n65-k9,1177,1564.2590827255783,1849.046523575233,1727.6272664658027,83.09247373825762,3.5463333333333327
25,A-n69-k9,1168,1485.4264233010592,1862.9669126303593,1692.446952656587,79.21913232178656,3.5213333333333336
26,A-n80-k10,1764,2281.378432467968,2575.0014191220466,2411.9507142066204,78.0909340569934,3.818333333333333
27,B-n31-k5,672,698.8833546848923,864.7786884335156,762.4249723313692,49.56234331539972,2.3579999999999997
28,B-n34-k5,788,860.643150895114,1045.2336511027538,940.7921262038875,43.867890325004964,2.369999999999999
29,B-n35-k5,955,1016.7188104578531,1294.5675634689487,1161.5689058924138,82.20397878437502,2.4183333333333334
30,B-n38-k6,805,867.3044810669297,1147.0135467435337,984.9463019060809,80.34621030692692,2.605
31,B-n39-k5,549,654.4439611391089,954.4107903270698,792.4397200369681,76.51536532512922,2.509333333333333
32,B-n41-k6,829,957.11029530759,1225.4260614728723,1072.3891163671242,64.16513966752711,2.6873333333333336
33,B-n43-k6,742,818.2457055269387,1056.2029967386447,915.6097233206541,56.72951941161749,2.7043333333333335
34,B-n44-k7,909,1041.053682278401,1263.1314154358965,1134.5899347150662,52.94252574810176,2.8510000000000004
35,B-n45-k5,751,946.6893138997686,1189.7970830653094,1060.6017107810328,68.14872501684881,2.6620000000000004
36,B-n45-k6,678,811.8302131507368,1005.7057188316778,891.2670641094181,46.591122823462484,2.8376666666666663
37,B-n50-k7,741,939.1242329435962,1235.1153386691853,1093.929628506915,63.839584406684494,2.9309999999999996
38,B-n50-k8,1313,1371.9560892735378,1691.1721100337816,1499.4744885661903,67.92391728111153,3.0646666666666667
39,B-n51-k7,1032,1260.6251618250992,1736.7448749144714,1509.6945951774783,110.85696461161965,3.0696666666666657
40,B-n52-k7,747,949.3849188959036,1268.5201758682015,1133.8561957267589,74.44238853168535,2.9709999999999996
41,B-n56-k7,707,905.5635200127052,1244.0982028918468,1076.7872983269945,75.6745097664798,3.015999999999999
42,B-n57-k7,1153,1449.822582493802,1832.953937026806,1618.5765906595896,91.7877669511838,3.137000000000001
43,B-n57-k9,1598,1793.4922356232432,2040.2180511952934,1913.580899598568,58.84387019349594,3.305333333333334
44,B-n63-k10,1537,1851.5244739880752,2139.5628967750904,2006.388086219693,77.49796592148768,3.583666666666667
45,B-n64-k9,861,1177.706912836358,1450.8018311590765,1304.6733915269313,71.91533263860514,3.5639999999999996
46,B-n66-k9,1374,1621.0311441136362,1911.7912935746099,1771.130082743953,67.0644608140526,3.5613333333333332
47,B-n67-k10,1033,1290.3285665733306,1635.2880509419574,1486.4419283220543,88.77056641181292,3.618
48,B-n68-k9,1304,1605.15450821271,1912.9629003100845,1741.5241238560411,73.56601980635872,3.4820000000000007
49,B-n78-k10,1266,1640.796700148046,2011.5482779195806,1833.535004847541,80.74199441495209,3.805666666666667
50,P-n101-k4,681,1147.105941368417,1322.505047234313,1227.6007200068345,41.48810798982157,3.5820000000000003
51,P-n16-k8,435,451.335080208618,481.63905527394894,460.0704625167978,8.681968786154728,2.3640000000000003
52,P-n19-k2,212,236.6127758150201,275.90499363398374,253.79806387655395,12.12120578627814,1.7436666666666665
53, P-n20-k2,220,235.01042414337502,293.18441108240177,263.1862422491315,12.680987098297733,1.7596666666666667
54,P-n21-k2,211,231.8149505736275,279.1677653584542,252.67301749087943,12.542598847671522,1.9086666666666667
55,P-n22-k2,216,231.71886104962897,301.3593003742819,260.8988947450303,14.889101323604546,1.8539999999999999
56,P-n22-k8,603,603.7514097524911,675.245608696062,641.4057530513614,17.779488653526922,2.7079999999999993
57,P-n23-k8,554,543.3887107902914,603.3729623452217,570.3978426010234,15.931026312115334,2.6969999999999996
58,P-n40-k5.vrp,458,551.6339853507113,704.6445504219198,628.1282817564365,35.724507039257055,2.503333333333333
59,P-n45-k5,510,609.3451858039217,764.8253096649686,692.4765373608752,38.58416452931826,2.599333333333333
60,P-n50-k10,696,799.4146531275635,987.3525474988438,857.8580519721479,40.7925578624743,3.5076666666666663
61, P-n50-k7,554,686.5755394151935,848.5935694922799,734.2135290440812,38.69064986723392,2.937333333333334
62,P-n50-k8,649,700.4340455487904,905.5437159745453,791.4682935887735,47.48313314684032,3.244
63,P-n51-k10,745,848.7200643605727,1049.6821146503478,940.18847294368,44.527048137781506,3.511333333333333
64,P-n55-k10,669,804.4495303091105,943.4642451294502,876.2468047934095,35.05599017428129,3.4633333333333334
65,P-n55-k15,856,1055.6571743269415,1169.7377452876335,1107.833309841044,30.725272370932274,4.536333333333333
66,P-n55-k7,524,724.5425760169873,884.1243821154444,783.6879624094106,39.64230778486363,3.019
67,P-n55-k8,576,719.8518828077932,888.4819356307332,795.4865812399795,41.78310993196465,3.0309999999999997
68,P-n60-k10,706,925.9090371465755,1081.5037636966072,979.3667062443898,37.14441921236366,3.624000000000001
69,P-n60-k15,905,1102.2770977277764,1243.066298386184,1159.867976451242,35.59151129157556,4.477
70,P-n65-k10,792,1011.2346053305229,1139.5472600883706,1073.8673898560096,35.358278123038104,3.641
71,P-n70-k10,834,1066.5859678437398,1262.2409147903775,1135.531833321165,40.40159700106834,3.7903333333333333
72,P-n76-k4,589,884.7959139600591,1011.0739382580196,946.7846161113179,30.232717821237333,3.0916666666666672
73,P-n76-k5,631,915.6087385366997,1089.8323954792797,1009.4364521499774,39.68005552538756,3.121333333333333
