,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,900.1301280900626,1158.776209799721,1007.3952409136476,64.04258321245511,2.2506666666666666
1,A-n33-k5,661,727.677915872373,985.6818703867366,832.6973540121926,64.29982149252899,2.032333333333333
2,A-n33-k6,742,754.4881390200297,1036.626150988365,908.8924620496316,62.672266137856056,2.204333333333333
3,A-n34-k5,778,879.2052173494612,1005.3807609506238,943.9067244598629,40.340832726602116,2.0260000000000002
4,A-n36-k5,799,894.3299824432859,1077.2773707079914,996.4785845792042,47.183428892653936,2.078
5,A-n37-k5,669,775.2487136729831,972.3016232584794,880.1820773632145,51.67406500575165,2.082333333333333
6,A-n37-k6,949,1027.7016423855598,1240.904176680362,1129.3907379654408,56.56653071194113,2.2663333333333338
7,A-n38-k5,730,826.168352670858,1061.301101057475,965.4007239318433,63.610720485652976,2.1753333333333336
8,A-n39-k5,822,960.2521736600434,1118.1369968138915,1020.8858380772724,42.88302893250041,2.182
9,A-n39-k6,831,960.3236712339728,1186.0073295561851,1064.1940224382663,58.06141036111504,2.2986666666666666
10,A-n44-k6,937,1072.0093356733707,1317.7350008011658,1172.2980326881554,56.752506007641244,2.3853333333333335
11,A-n45-k6,944,1161.5558084793267,1446.797812007063,1286.687807985,77.75917918018182,2.472
12,A-n45-k7,1146,1249.6321812050905,1429.3914702205402,1335.2624228179172,46.17095183670713,2.5300000000000002
13,A-n46-k7,914,1087.1564065921161,1338.025503433176,1190.0711068640478,65.37178137487359,2.4866666666666664
14,A-n48-k7,1073,1278.113101314398,1471.5134346473747,1364.449366331065,53.39130656133663,2.4349999999999996
15,A-n53-k7,1010,1282.4297881023979,1553.8764223166072,1373.0697192706366,65.61709510667464,2.6403333333333325
16,A-n54-k7,1167,1345.319089866816,1626.7324860960405,1489.1623207584876,51.10563100953532,2.622
17,A-n55-k9,1073,1331.5467198773592,1575.157148434548,1438.63860725471,69.48934831396419,2.947
18,A-n60-k9,1408,1611.1705226675635,1926.5517392019053,1756.1108704477606,78.1165914624795,2.8896666666666664
19,A-n61-k9,1035,1247.6798253698278,1589.8684489996215,1431.0169500918516,81.49761891993758,3.084333333333334
