,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,845.9518537462388,1013.0986204852824,900.4449744369467,43.38034319815342,2.091333333333333
1,A-n33-k5,661,683.1079732076487,884.0203844678683,749.6634808437146,44.1693571954326,2.1306666666666665
2,A-n33-k6,742,771.6104127113856,869.6402386464116,826.363936968195,29.998564244425825,2.211666666666667
3,A-n34-k5,778,802.2866354179585,968.9439074536836,873.3706171670583,36.16528245611607,2.0776666666666666
4,A-n36-k5,799,849.4905584854222,992.5637968859517,920.6229333803657,38.79801893521639,2.1533333333333333
5,A-n37-k5,669,725.7275272539018,944.0734175864907,821.1141457794643,52.7710459166088,2.156333333333334
6,A-n37-k6,949,1011.3158945665157,1162.7721441277024,1080.0241900934222,38.850437157254355,2.271
7,A-n38-k5,730,811.3452378777472,1031.0486506987645,919.2024820640574,60.71595633281355,2.1673333333333336
8,A-n39-k5,822,886.4898595831731,1090.8994965765078,982.4103886475631,43.878472536894506,2.1306666666666665
9,A-n39-k6,831,949.1732896489408,1174.396662377682,1020.0916491538347,58.55054689843345,2.3293333333333335
10,A-n44-k6,937,1060.3056339027564,1223.9839920716654,1134.5859745539758,39.91378222144327,2.3516666666666666
11,A-n45-k6,944,1023.5203269738581,1277.7801409800911,1152.0334500507336,63.36820415490767,2.585333333333333
12,A-n45-k7,1146,1223.6996379524892,1367.0189963663356,1291.0790944567843,33.65072484857692,2.595666666666667
13,A-n46-k7,914,1016.0490413598112,1224.2510731162106,1088.5269393587569,48.87396706959248,2.615999999999999
14,A-n48-k7,1073,1189.3349342848185,1349.2389991305172,1265.0137367490902,37.05676962177097,2.6053333333333333
15,A-n53-k7,1010,1147.716546849245,1471.0216567913574,1270.0220439415323,65.52001479339395,2.7170000000000005
16,A-n54-k7,1167,1332.904550085851,1536.8609723435902,1424.6289504372323,39.20756124854367,2.666333333333333
17,A-n55-k9,1073,1195.8038016546557,1388.1381394024797,1283.4934202683492,53.15293038551757,2.963666666666667
18,A-n60-k9,1408,1565.1259387016073,1706.334209073007,1620.1108967548023,42.40992633698874,3.045333333333333
19,A-n61-k9,1035,1181.3505769156832,1430.7281977038901,1291.8372027384457,66.22049967113787,3.2383333333333337
20,A-n62-k8,1290,1516.2667599242454,1784.4518972139153,1602.1939501579106,53.92869603463302,3.0083333333333337
21,A-n63-k10,1315,1479.2858931193527,1690.7567606309563,1583.5684614352715,51.59474138471919,3.2583333333333337
22,A-n63-k9,1634,1828.047364902626,2147.2711598653977,1961.752925083759,76.19782332937673,3.2096666666666662
23,A-n64-k9,1402,1580.8688074728495,1850.0979761815997,1704.2839672795235,56.33186601969967,3.1270000000000002
24,A-n65-k9,1177,1432.7709720367843,1727.2569695850884,1527.035531388983,70.99411199870076,3.330333333333334
25,A-n69-k9,1168,1418.8677622545401,1658.5229160837612,1503.664453758743,60.074017047617126,3.226000000000001
26,A-n80-k10,1764,2101.693323785852,2419.6352172566617,2200.831660399862,65.82711919150977,3.5403333333333338
27,B-n31-k5,672,694.1976667473978,817.4941793216262,727.7153265607697,35.05937253342322,2.137
28,B-n34-k5,788,800.6986065059637,939.8171573576258,863.8108457203598,35.76357696079388,2.159666666666667
29,B-n35-k5,955,992.8139645119286,1121.4784953135854,1045.0866371445884,32.14501225040131,2.167666666666667
30,B-n38-k6,805,826.4383379535186,945.07018445301,877.4536686383922,29.488056528316083,2.364
31,B-n39-k5,549,584.7885952224576,790.0577032744211,676.0597001208378,54.8275527819197,2.2460000000000004
32,B-n41-k6,829,867.9252960324554,1159.6374895335252,972.2670837904102,66.5117905143247,2.387333333333333
33,B-n43-k6,742,782.9768082336184,970.6946890841058,848.4999616331082,39.289929406063,2.4356666666666666
34,B-n44-k7,909,966.8711695354906,1124.8040582426802,1036.8603971995437,31.84917841682341,2.590666666666666
35,B-n45-k5,751,815.5012995995581,1021.0321070590176,935.8237733171708,50.78326869505946,2.3320000000000003
36,B-n45-k6,678,749.09858473675,900.5015392199062,806.2255740262929,40.18526319378003,2.9393333333333347
37,B-n50-k7,741,847.4489603014554,1077.39201580474,941.2510716985759,54.688383150352905,2.802666666666667
38,B-n50-k8,1313,1355.1634515473156,1488.819111937309,1400.5245805997235,36.79316938768202,2.9883333333333337
39,B-n51-k7,1032,1080.237095861497,1669.8962701459836,1239.7563783075566,105.29762784826075,2.8473333333333333
40,B-n52-k7,747,825.4828727619698,1051.8661287561756,931.6034229961165,48.35480090747933,2.745666666666667
41,B-n56-k7,707,780.6172376822993,993.6990981234088,895.8880658415518,50.04774264467362,2.8143333333333325
42,B-n57-k7,1153,1237.8027417255234,1517.674357229621,1405.142459300608,71.86679727777874,2.9043333333333328
43,B-n57-k9,1598,1702.8178903463952,1904.2718065687177,1789.4179189020315,45.34096404205983,3.069333333333333
44,B-n63-k10,1537,1688.7127495049037,1879.2645319835592,1767.4881201868498,52.24500221941673,3.308
45,B-n64-k9,861,969.1462373190825,1240.625693167486,1094.1375653367245,64.06467324396783,3.337666666666667
46,B-n66-k9,1374,1467.6209585729507,1707.5305033402808,1590.0292720460668,68.74765094617891,3.2646666666666664
47,B-n67-k10,1033,1162.0901814355582,1410.095670455262,1282.2627893847846,66.62086528713934,3.367
48,B-n68-k9,1304,1423.1060834733369,1672.5107194648472,1533.9883296898095,53.89481601325872,3.2199999999999998
49,B-n78-k10,1266,1450.2036343744824,1761.8349299281492,1585.3858648035273,77.36575901809016,3.548666666666667
50,P-n101-k4,681,1090.288022304007,1278.1614354920328,1172.3624728973102,44.145229605188895,3.305333333333333
51,P-n16-k8,435,451.33508020861797,466.8833345940581,455.5986673372435,4.821472806435758,2.1853333333333333
52,P-n19-k2,212,243.891153533848,327.3621809755208,282.13431006227637,21.10657072735541,1.4353333333333333
53, P-n20-k2,220,256.0759569891127,328.88287522254956,292.60412306774975,17.7551870828075,1.4456666666666667
54,P-n21-k2,211,225.1644135518066,289.3588404321079,251.13562693995053,14.996091096502498,1.6210000000000002
55,P-n22-k2,216,257.0939567801354,332.6399402444846,290.56657283063635,21.338190531693094,1.536333333333333
56,P-n22-k8,603,588.7935242586069,657.6807281342017,613.2937533889465,18.14424263492281,2.477666666666667
57,P-n23-k8,554,531.1738035458811,584.3759646346635,551.801352504402,11.726867701361071,2.438666666666667
58,P-n40-k5.vrp,458,487.9501646069485,610.4785134408532,553.4266460563631,28.542315282626376,2.262
59,P-n45-k5,510,560.7245086098106,715.5811274004462,626.5126559925488,39.71636789511679,2.3160000000000003
60,P-n50-k10,696,752.2649367191561,863.1720641050894,786.4294335948937,21.171180758962905,3.2143333333333333
61, P-n50-k7,554,614.0071061566081,721.4127850984573,659.6647580556237,30.19171433415576,2.7133333333333334
62,P-n50-k8,649,691.5211972996298,787.8404471466513,722.5073015381968,23.548337419458125,3.000333333333334
63,P-n51-k10,745,804.4334079487263,933.1002449213937,865.5689898907506,33.36571873841716,3.2493333333333334
64,P-n55-k10,669,732.517014922899,845.0386363541252,789.5720000425604,29.54911367522088,3.227333333333333
65,P-n55-k15,856,993.3845850093971,1088.3315345272756,1025.7123100845222,23.176513515168512,4.208
66,P-n55-k7,524,633.6592667260661,746.192466888394,696.4358368253852,25.714384381633003,2.848333333333334
67,P-n55-k8,576,644.7352809439333,769.0782008242746,695.8953569140784,30.030103033715267,2.807666666666667
68,P-n60-k10,706,832.9225360229782,1006.2951227800307,893.9213124276991,40.98735370422196,3.23
69,P-n60-k15,905,1034.8003601199546,1159.0298158900355,1083.6344011068677,28.791859730331172,4.154999999999999
70,P-n65-k10,792,879.309392286425,984.75195738161,935.8855771958387,27.04215557533959,3.3986666666666663
71,P-n70-k10,834,955.0569898510561,1112.2721061699535,1023.3878008153156,33.15483535055066,3.628333333333332
72,P-n76-k4,589,843.0288915805289,1011.4273624274178,906.6176794665187,40.99088322847193,2.737666666666667
73,P-n76-k5,631,881.9337307594219,1031.7699800252983,946.7375338890226,38.777997185568346,2.8583333333333334
