,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,862.5983226262522,1096.7370292944695,953.1023568777606,54.284393909137506,2.5606666666666666
1,A-n33-k5,661,706.4401591997624,908.7665641501483,791.2536254055075,45.55625614483423,2.3316666666666666
2,A-n33-k6,742,779.9879157407325,1009.3118206647412,878.6372455656732,47.95916779053228,2.385333333333333
3,A-n34-k5,778,846.2284721059757,1048.4607703675551,940.2096201874768,50.85393945162954,2.289333333333333
4,A-n36-k5,799,880.6857770604471,1023.8411810518592,960.5676425181138,33.755947126042514,2.369666666666667
5,A-n37-k5,669,767.6997181952609,917.306096812506,822.58699652535,37.52423784349896,2.516
6,A-n37-k6,949,1058.4168273611012,1274.19395492048,1166.05608689383,50.45886083442805,2.530666666666667
7,A-n38-k5,730,833.4054037566854,1132.2349170247849,934.0648475264974,75.29913308290345,2.554666666666667
8,A-n39-k5,822,973.9821283277257,1166.2046298527744,1070.0829579564102,55.10387518526636,2.419333333333334
9,A-n39-k6,831,904.4631571270028,1139.0755135673166,1008.032626291281,52.776173844175716,2.566333333333333
10,A-n44-k6,937,1091.5611692238683,1443.5516368721894,1200.557383925233,68.33692284776353,2.596333333333334
11,A-n45-k6,944,1089.8775931702949,1368.943640452128,1167.2349826474733,62.58266421052642,2.8999999999999995
12,A-n45-k7,1146,1252.5243240851305,1449.457139302015,1324.3140396348942,42.97315562564031,2.752666666666667
13,A-n46-k7,914,1034.6898684401374,1164.7068245765797,1087.533101488934,34.16825302316246,2.858333333333333
14,A-n48-k7,1073,1228.5841774527228,1407.767278618739,1309.434712491099,51.84671941465527,2.8463333333333334
15,A-n53-k7,1010,1181.0561952962757,1494.1783022681955,1326.1341750394924,89.08170202041545,2.8986666666666667
16,A-n54-k7,1167,1365.3288339885366,1621.5382129980937,1466.4008855936174,60.40888150786045,3.089
17,A-n55-k9,1073,1233.9723203235083,1398.3699477382884,1336.9801920510013,44.91972880349948,3.2486666666666664
18,A-n60-k9,1408,1521.4244180113453,1768.4621280969295,1645.5750423822853,54.28680549463217,3.289
19,A-n61-k9,1035,1229.772423172189,1395.9906439535202,1292.4397599221827,36.73424026372524,3.536000000000001
20,A-n62-k8,1290,1524.3088706872372,1757.5214394588165,1650.11797708633,58.76209621341982,3.204
21,A-n63-k10,1315,1506.2644489485626,1755.4995656283868,1636.8669834725827,65.1122649968403,3.5300000000000002
22,A-n63-k9,1634,1881.2428149928805,2203.755715421182,2008.2821539472095,72.01383549698593,3.4933333333333336
23,A-n64-k9,1402,1648.7942571192675,1842.160089453705,1746.112295371307,48.19730355434166,3.3789999999999996
24,A-n65-k9,1177,1419.9010177388257,1660.6935034026828,1533.4187986793047,55.49899316068483,3.5873333333333326
25,A-n69-k9,1168,1429.5192182124447,1689.374333853226,1537.6285591087885,63.750234728191906,3.506666666666667
26,A-n80-k10,1764,2134.779599973347,2476.0091445915614,2281.5415540403087,90.81779246747068,3.7800000000000002
27,B-n31-k5,672,689.9191337593761,765.3176970492414,716.9068008164248,14.752593680457245,2.471333333333333
28,B-n34-k5,788,821.1003803414288,959.2819945707616,873.0626621655069,34.054627207650476,2.323333333333333
29,B-n35-k5,955,1004.4471726748668,1201.7234697064853,1061.6200147139366,49.05385055652193,2.4306666666666668
30,B-n38-k6,805,827.563435594473,967.416092699712,868.6953843796599,26.475922616821794,2.7766666666666664
31,B-n39-k5,549,599.8717072058894,766.6074464299114,661.9336039930645,41.532956196382386,2.495333333333333
32,B-n41-k6,829,947.7556869309077,1247.0252827961995,1055.838203038424,75.85447308832119,2.5973333333333333
33,B-n43-k6,742,795.5077869635156,933.1783845127311,865.05123653163,36.84680369796832,2.6933333333333334
34,B-n44-k7,909,998.7357653978826,1217.7140645841528,1067.6284945843784,44.24235413771547,2.7753333333333337
35,B-n45-k5,751,833.7008092075948,1214.4859869342276,950.5840829525368,82.75699209633127,2.720666666666667
36,B-n45-k6,678,754.1190667480234,877.9866631405773,807.1190243646178,36.03013590542778,2.975333333333333
37,B-n50-k7,741,817.6311360573766,1026.7315530914123,909.9723897294595,57.86259449519763,2.9269999999999996
38,B-n50-k8,1313,1367.1639242806361,1552.0164600669714,1430.2167067497164,45.178422534938576,3.0176666666666665
39,B-n51-k7,1032,1106.8081088875394,1740.0160229251335,1274.4011747957948,118.50749298682534,3.0949999999999998
40,B-n52-k7,747,803.6305738243279,1056.3653763587754,911.5551519733602,51.976953907387625,3.0149999999999997
41,B-n56-k7,707,775.1035128662214,1028.9736512935044,858.8746062434446,55.39545714677483,3.061333333333333
