,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,876.262123518238,1042.746525324127,950.3745785821537,39.288481474796754,2.8573333333333335
1,A-n33-k5,661,721.6067788192677,907.9895998402967,799.3715169917801,45.63856934028972,2.712333333333333
2,A-n33-k6,742,784.7861022177507,937.6082924390964,867.4251116280565,37.006346811889735,2.8403333333333327
3,A-n34-k5,778,809.1410641311966,1023.2031954672966,922.6091994070691,47.94333502844657,2.7706666666666675
4,A-n36-k5,799,875.7689556535308,1040.5358784295968,958.533983757792,37.63876686823491,2.798000000000001
5,A-n37-k5,669,774.0119350908012,977.3847028072036,864.2252710051015,49.550726224547326,2.945333333333333
6,A-n37-k6,949,1052.3164042720707,1169.3047753265016,1099.7227792233305,28.93047636831066,3.1093333333333333
7,A-n38-k5,730,852.3978253486326,1105.0730786569452,924.8446223247591,51.66579627619489,3.0163333333333338
8,A-n39-k5,822,945.9461470814713,1154.0006733798666,1016.9933044693405,46.09298090413899,3.074333333333333
9,A-n39-k6,831,935.2089131581688,1165.2196398149447,1036.085600520172,49.64354205888247,3.087666666666667
10,A-n44-k6,937,1060.437899749355,1257.1065228782575,1148.8543235139066,51.73614118393204,3.1686666666666667
11,A-n45-k6,944,1109.768304856963,1315.3530052302933,1190.9510042600452,48.1268433100176,3.309
12,A-n45-k7,1146,1251.623183168447,1389.2194994937454,1307.6995837331228,32.62391672256557,3.179666666666667
13,A-n46-k7,914,1035.4217597287782,1257.4121702371951,1122.6739383737006,43.76017962066193,3.3123333333333336
14,A-n48-k7,1073,1222.7265691814175,1407.3964119055338,1287.2414600522332,39.307417800418165,3.2520000000000002
15,A-n53-k7,1010,1200.300465591217,1370.8536690802878,1304.6484273252258,47.0733677148043,3.3783333333333334
16,A-n54-k7,1167,1345.0956134072076,1520.570020535231,1422.5006298078442,41.26069117372784,3.5150000000000006
17,A-n55-k9,1073,1249.3052037418906,1386.8440530960627,1311.2431578260778,38.55107047436423,3.8040000000000003
18,A-n60-k9,1408,1535.3631453955795,1742.3059379735473,1624.1675874876903,51.98084645982911,3.683
19,A-n61-k9,1035,1226.752674303214,1380.7819236868474,1295.918067126794,36.675329035078256,3.777666666666667
20,A-n62-k8,1290,1502.3094179061727,1822.733358242073,1614.0144258138107,72.06355617065029,3.6116666666666664
21,A-n63-k10,1315,1514.737727810018,1682.1471006931176,1608.8471210737569,49.875365058578645,3.896333333333333
22,A-n63-k9,1634,1860.4508339453653,2028.6663872712331,1942.117048628942,45.939772050925065,3.864333333333333
23,A-n64-k9,1402,1633.9595089200554,1832.841232290366,1727.9483928423538,50.87083660924238,3.8260000000000005
24,A-n65-k9,1177,1458.1658353953924,1605.1868551455545,1528.7075863710568,38.63648115447916,3.9093333333333335
25,A-n69-k9,1168,1441.982334938505,1657.3884602819064,1526.4345279569145,59.411458090185654,3.855333333333333
26,A-n80-k10,1764,2136.2583705135557,2375.0256244743505,2246.070042794998,59.16105147922722,4.339333333333333
27,B-n31-k5,672,700.3857884112047,745.2140207489921,723.7094674989382,12.830943365940888,2.8560000000000008
28,B-n34-k5,788,833.177390054889,990.0343118723437,896.7613737237815,40.58677807259888,2.8536666666666664
29,B-n35-k5,955,1012.6119784559753,1213.9790550153864,1094.7428234194044,51.755390191408345,2.823
30,B-n38-k6,805,843.3022092824351,944.7721843297834,892.313305732009,27.019322082198713,3.016999999999999
31,B-n39-k5,549,613.676147045838,840.3774585602876,693.9670915385834,56.11492073035145,2.8726666666666665
32,B-n41-k6,829,881.0110361803914,1136.3284117680557,980.7574830545296,57.169030517743096,3.142
33,B-n43-k6,742,825.0921902990057,962.6215913577292,873.2655517732627,29.43930743778291,3.199666666666666
