,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,875.312239888382,1162.6957902669672,952.586030176595,53.413143685193674,2.5843333333333334
1,A-n33-k5,661,718.7871081192485,895.3435944675566,800.9424067835475,42.619858445480006,2.8230000000000004
2,A-n33-k6,742,794.7035436353614,955.0069286864657,865.4409575097915,37.15247251136459,2.6899999999999995
3,A-n34-k5,778,872.9403669135559,997.1619720695136,927.3558700783495,37.528671487826685,2.589000000000001
4,A-n36-k5,799,880.2492028555241,1094.6309357211226,978.2754721308676,51.72118134015202,2.618333333333333
5,A-n37-k5,669,809.9858765334071,957.1018402694905,873.6825052382812,40.20303068539867,2.702333333333334
6,A-n37-k6,949,1052.2733357890272,1224.4125465299821,1120.041248953634,37.30217703310815,2.899
7,A-n38-k5,730,864.6683843473039,1081.0962852697307,933.2208156075878,53.182497207368804,2.776666666666667
8,A-n39-k5,822,914.7688162355691,1153.317771251983,1014.9584661315816,51.1642376251054,2.798333333333333
9,A-n39-k6,831,920.316106849533,1202.0278982703107,1020.0217339633953,56.78598059366709,2.87
10,A-n44-k6,937,1072.8478456126252,1252.850048852683,1151.555364118561,40.597034868752694,2.950666666666667
11,A-n45-k6,944,1077.833266086139,1286.1108874649715,1176.1771656239032,47.31658644219527,3.0486666666666666
12,A-n45-k7,1146,1233.8021567612095,1387.1275720848232,1321.2737532014035,33.48482778532563,3.027333333333333
13,A-n46-k7,914,1027.3749501355715,1227.14587625141,1110.0745359677555,43.955539848610194,3.0709999999999993
14,A-n48-k7,1073,1210.233427663551,1436.428600617364,1298.1791969017465,42.62501085350801,3.0643333333333334
15,A-n53-k7,1010,1205.5099547948282,1477.6878137769882,1292.232152983834,59.81569698028498,3.2786666666666666
16,A-n54-k7,1167,1326.524768419361,1502.7786574753627,1424.9568523660614,41.879561035462395,3.2893333333333334
17,A-n55-k9,1073,1237.1928527318278,1463.5655971892002,1324.7040836169645,44.99243142493451,3.5009999999999994
18,A-n60-k9,1408,1519.6807029871748,1722.6412546312451,1621.9408622918124,49.55958745692881,3.552
19,A-n61-k9,1035,1251.2216504370604,1397.091871542822,1315.9287335033002,35.58040156867437,3.7036666666666664
20,A-n62-k8,1290,1538.5076674857182,1756.2091149920095,1621.0216206637456,48.65964290007195,3.412
21,A-n63-k10,1315,1520.6560637252853,1705.5250483306995,1616.4105764797835,40.04710587433495,3.8176666666666668
22,A-n63-k9,1634,1855.6737306778114,2041.6126282538348,1944.682959164857,54.10298326683742,3.695666666666667
23,A-n64-k9,1402,1639.427640767039,1830.1512068767795,1737.8598113463393,45.0627688030591,3.6889999999999996
24,A-n65-k9,1177,1427.3629211780967,1634.117558302296,1513.1693039188065,55.419393839968535,3.7560000000000002
25,A-n69-k9,1168,1393.1591903360209,1644.107987804062,1541.6926947855936,56.03478063757981,3.752666666666667
26,A-n80-k10,1764,2177.5618803199286,2397.921353053803,2252.9470906564375,46.80202470368069,4.068
27,B-n31-k5,672,700.6152794965477,853.0902069657103,739.9798619578762,35.2014790910737,2.5813333333333333
28,B-n34-k5,788,848.1440418466806,979.1938711711714,913.1195581853333,36.6532753349916,2.652666666666667
29,B-n35-k5,955,1011.6157810123207,1219.7443982516056,1094.290503574963,52.36185142393819,2.6406666666666663
30,B-n38-k6,805,850.9965772109199,967.4873278970335,903.1436232566747,31.723981629743196,2.7986666666666666
31,B-n39-k5,549,594.2967017541928,804.8548404328031,692.1151765522759,54.102211320342555,2.674333333333334
32,B-n41-k6,829,902.9816864619577,1100.7844473405164,987.7881361406148,50.434898349744316,2.8809999999999993
33,B-n43-k6,742,815.5545263282514,979.7845943156162,871.5481751795016,39.615153220539234,2.9226666666666663
34,B-n44-k7,909,1005.1583222703517,1110.7182590784637,1065.6502284664161,24.896311878915792,3.0723333333333334
35,B-n45-k5,751,846.3355458786762,1008.7697373115815,922.0323709561576,40.93847003064545,3.004666666666667
36,B-n45-k6,678,774.0039045902845,863.3032238657802,815.9199638952136,23.34895908057816,3.0753333333333326
37,B-n50-k7,741,829.2971200152548,1090.200755996457,951.0238543275756,70.28526591336639,3.146666666666667
38,B-n50-k8,1313,1369.9121051512561,1548.8765779400126,1439.37738597333,44.36412443495164,3.295333333333333
