,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,899.1671147036577,1104.0568839155774,980.6184237350993,47.71489178242416,3.163
1,A-n33-k5,661,739.7143136484032,890.7208602138799,812.9605509353224,36.47045235092238,3.2230000000000003
2,A-n33-k6,742,832.113144439373,946.1814454860066,889.395887428245,31.614232201833726,3.207333333333333
3,A-n34-k5,778,847.74604679531,1010.1259032040019,948.1195003200596,36.08723025567554,3.154333333333333
4,A-n36-k5,799,937.7283546274336,1079.4672569337606,1003.1191745035381,37.231970943753424,3.0916666666666663
5,A-n37-k5,669,773.7850570633177,978.6366403320834,867.8396526374886,48.71499945273837,3.202666666666667
6,A-n37-k6,949,1052.1287946797577,1337.6398919181017,1149.875060468948,54.148995014854265,3.2656666666666663
7,A-n38-k5,730,862.6867581831615,1105.0434435640286,941.6689146454999,58.099930149565985,3.3469999999999995
8,A-n39-k5,822,946.1966577375385,1164.3194620361564,1042.305190700406,49.19390189567765,3.136
9,A-n39-k6,831,935.2879219312946,1169.7931159476082,1045.1452320627943,48.16371499667502,3.2513333333333336
10,A-n44-k6,937,1076.7042097065848,1311.4675722317422,1183.7639600991808,57.63048729365853,3.285666666666666
11,A-n45-k6,944,1099.1439162529814,1289.4985821169894,1202.1225568025495,48.50408571784472,3.5430000000000006
12,A-n45-k7,1146,1261.2661495419225,1444.4821200713168,1347.4966813427004,43.69375543505683,3.4119999999999995
13,A-n46-k7,914,1046.1827286945781,1213.648636446616,1138.5901205310863,39.15624295466249,3.4773333333333327
14,A-n48-k7,1073,1235.1113161478843,1468.0609188212495,1331.7860108158081,50.842526818752276,3.539
15,A-n53-k7,1010,1221.5602420815917,1424.7864683050598,1296.3274707206842,49.456682864991684,3.7240000000000006
16,A-n54-k7,1167,1302.5508420161075,1549.1890526875977,1438.920011237397,48.39534680254421,3.7299999999999995
17,A-n55-k9,1073,1234.552140218039,1531.4030719912246,1357.1200730902544,62.17452222782262,3.979333333333334
18,A-n60-k9,1408,1553.8513632011725,1740.4292509901486,1639.4690514944625,46.26348653656777,3.9263333333333335
19,A-n61-k9,1035,1252.1436186447077,1389.7174371325564,1315.390549691447,33.94662716255913,4.0729999999999995
20,A-n62-k8,1290,1496.307061225373,1803.6195247685635,1648.0488668378916,62.23930751744249,3.892
21,A-n63-k10,1315,1527.5681460859473,1794.07003814005,1621.3926823845327,52.89740175723174,4.229333333333334
22,A-n63-k9,1634,1872.390688138054,2042.4507752269333,1948.3679677107352,42.47036031824105,4.1146666666666665
23,A-n64-k9,1402,1645.4626197120024,1825.3925290913528,1739.2262826376493,45.09619115834622,4.0440000000000005
24,A-n65-k9,1177,1452.691318447347,1627.7666220424228,1528.5287418681357,44.75422255029236,4.2266666666666675
25,A-n69-k9,1168,1376.1974972058817,1672.1950738199985,1516.836436440701,66.11895334860006,4.165333333333334
26,A-n80-k10,1764,2130.5410370949553,2463.7800966393324,2253.546213792855,76.7393984768439,4.475333333333333
27,B-n31-k5,672,699.1450421900043,790.0563318853168,729.0966550249428,20.182956584696164,3.0886666666666667
28,B-n34-k5,788,819.308022808952,1051.8608233588084,910.8836361573218,49.794933895027256,3.1256666666666666
29,B-n35-k5,955,1014.0402140240958,1164.8859506269316,1075.6083555948192,42.710199166200624,3.126
30,B-n38-k6,805,859.0750840533751,960.6699980530707,898.3827098534179,25.37207280013179,3.2723333333333335
31,B-n39-k5,549,623.3354683526643,792.0060978261865,682.7688240349219,44.67834897248834,3.188333333333333
32,B-n41-k6,829,929.7995757452885,1161.9701768461555,1017.9450338117842,54.27191097450355,3.3503333333333334
33,B-n43-k6,742,829.1880440106572,997.4569020820447,874.6659804806217,36.857524971067114,3.4863333333333335
34,B-n44-k7,909,985.6302383241508,1225.4049487614545,1077.3939199952217,43.12497322635211,3.457333333333333
35,B-n45-k5,751,853.5772605115317,1052.7322604103547,939.244424470781,53.21867404959265,3.422000000000001
36,B-n45-k6,678,771.5264596404759,886.3965626870641,813.0499490628046,27.594422969609646,3.5473333333333334
37,B-n50-k7,741,808.2732351369762,1023.4552800926173,919.548568227023,51.07195570420616,3.546
38,B-n50-k8,1313,1410.2644361238924,1620.0803366415928,1473.3740151521629,49.676325326710305,3.699
39,B-n51-k7,1032,1097.261182153105,1456.06625933723,1245.0964127251577,69.26210688284796,3.742
40,B-n52-k7,747,795.2621037681406,1024.3343112076248,919.9494495122896,47.618262729487306,3.7066666666666657
41,B-n56-k7,707,790.4169754699806,916.4361090438877,848.695326899387,28.855570092264696,3.677333333333333
42,B-n57-k7,1153,1214.0843734036553,1529.9839526785267,1403.5720142894165,85.27968594877099,3.9099999999999997
43,B-n57-k9,1598,1742.5866609312602,1909.2071745741716,1816.4268527427703,40.01731132072698,3.926666666666667
44,B-n63-k10,1537,1675.5990672304686,1957.5248133439216,1805.6602679637194,63.08496957334155,4.264666666666666
45,B-n64-k9,861,1016.4905352221369,1229.5401611207012,1084.6708795092686,51.652731400069115,4.142
46,B-n66-k9,1374,1527.368284015457,1713.7931833754892,1610.7353884134798,47.14181627893903,4.232333333333334
47,B-n67-k10,1033,1193.8093564432313,1421.2340514494476,1309.7552681385387,62.70877958560317,4.2156666666666665
48,B-n68-k9,1304,1445.706629299603,1638.0573231807605,1529.32938936454,41.68986980916424,4.113
49,B-n78-k10,1266,1468.8791854005165,1698.2471824602362,1543.3697865853617,51.07150591180927,4.485666666666666
50,P-n101-k4,681,1078.384629222034,1247.863317054496,1162.3975779255547,43.20332195246361,4.75
51,P-n16-k8,435,451.9470921298185,476.2333630392913,460.8166526158627,6.772360417484468,2.8120000000000003
52,P-n19-k2,212,241.68589964246502,321.6501543423928,285.02558132474684,18.342035111939094,2.4510000000000005
53, P-n20-k2,220,259.67115871632217,320.4933646368605,290.0504636545354,16.27535287653728,2.493
54,P-n21-k2,211,244.8079355545983,319.85116293322784,282.17440402882664,18.92250171404764,2.646666666666667
55,P-n22-k2,216,258.9144977189001,330.1473379370733,298.7447537247278,15.339779049642875,2.588
56,P-n22-k8,603,599.907324892335,703.5043049918486,638.9592776675438,20.59022048178334,3.1649999999999996
57,P-n23-k8,554,537.939243479748,590.151877314979,570.4784286042252,14.311958650622179,3.157666666666666
58,P-n40-k5.vrp,458,532.633325215386,658.6307974106135,589.6914801005286,31.940120183884687,3.212333333333333
59,P-n45-k5,510,620.6628628654876,756.4686087269663,686.0023094053538,31.8015125419481,3.222
60,P-n50-k10,696,775.2196104932708,871.3881335070483,826.8662596759561,24.328007648391974,3.9363333333333332
61, P-n50-k7,554,655.7688229268986,756.2939656010038,713.1398202583085,27.035795155063127,3.6173333333333333
62,P-n50-k8,649,707.6190492101529,817.2926777118748,766.3382809986348,28.325747761503493,3.7793333333333328
63,P-n51-k10,745,846.7329508503512,990.1770756858634,894.3585151901121,28.756317619525806,4.165333333333333
64,P-n55-k10,669,788.2511421692997,891.379694664591,845.9451164375092,25.176486461812733,4.023999999999999
65,P-n55-k15,856,1045.715341255981,1156.3559680211981,1082.059191981597,27.15548165660843,4.908
66,P-n55-k7,524,663.8480888486837,775.7600673881177,726.5785201967826,23.593671422514483,3.6833333333333327
67,P-n55-k8,576,677.0436535701011,839.631515162546,762.3512298695007,38.64055227061621,3.6016666666666666
68,P-n60-k10,706,858.5430371392868,1001.3883277868994,919.6324524718224,32.47851253484665,4.222666666666666
69,P-n60-k15,905,1067.5102649944067,1196.06644242886,1128.9715058098734,28.635512017226233,4.9063333333333325
70,P-n65-k10,792,929.5704427851114,1057.688840913655,994.6695879898717,26.14165745680926,4.255
71,P-n70-k10,834,975.7375964492462,1097.3167521168884,1044.817852030384,28.607084495998595,4.372333333333333
72,P-n76-k4,589,841.2262142500294,1057.5698391198964,975.3314674760334,52.907509129380394,3.8313333333333337
73,P-n76-k5,631,842.4780008399212,1058.489135701599,944.5914926275909,61.129898912213726,4.013333333333333
