,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,851.0351366520331,1098.4421942385957,959.1811778926184,48.31427028870257,1.4810000000000003
1,A-n33-k5,661,726.3183486752685,987.1121827124962,802.499645363937,53.96759214985242,1.2113333333333332
2,A-n33-k6,742,783.9404954469553,987.9432685784541,880.939446013337,44.02174008255452,1.271666666666667
3,A-n34-k5,778,860.7810575939378,1045.3069571503715,932.7868671956275,43.11774157561974,1.2149999999999999
4,A-n36-k5,799,880.8541104732964,1068.3190311685453,966.8734603152019,43.744166894770764,1.2370000000000003
5,A-n37-k5,669,760.604264950033,984.630752111424,854.3124523867334,52.192886333591716,1.2779999999999998
6,A-n37-k6,949,1073.690642779203,1324.9400661840493,1161.5523455999312,56.016609214388275,1.3339999999999999
7,A-n38-k5,730,869.3457165163088,1012.2932746667732,932.2097491144245,41.86619026634396,1.3076666666666668
8,A-n39-k5,822,943.4103305721427,1116.081971420673,1041.8591380681873,41.69994526346616,1.256
9,A-n39-k6,831,972.1554890962979,1179.9694768026418,1052.4749497886858,50.160337394898484,1.3266666666666673
10,A-n44-k6,937,1114.9055510945818,1272.8382124646387,1209.7256075154603,43.07992827086968,1.4163333333333332
11,A-n45-k6,944,1079.343893701147,1323.7646017432885,1214.9149109793354,57.428347210243444,1.4559999999999997
12,A-n45-k7,1146,1294.5601224093932,1492.256978930625,1377.8225290206715,51.11004879398807,1.4329999999999998
13,A-n46-k7,914,1069.4217307231727,1285.2119954559894,1181.1002306914675,56.245769237680946,1.464
14,A-n48-k7,1073,1268.4157262606618,1507.405386397605,1369.363752100631,52.5897932847757,1.470666666666667
15,A-n53-k7,1010,1250.3120665269034,1549.8847010203933,1391.881648526648,74.49098477854223,1.552
16,A-n54-k7,1167,1449.1526072864724,1678.3001043434804,1543.8545825428487,58.30365181261243,1.5746666666666667
17,A-n55-k9,1073,1314.682210195338,1593.370486011863,1439.3429977808291,68.69029417845745,1.7193333333333334
18,A-n60-k9,1408,1651.7509457308167,1860.3897455168599,1772.8360652247734,50.56389533985376,1.7273333333333334
19,A-n61-k9,1035,1275.4614819513,1566.4410365054875,1422.2389005355303,60.59256577464378,1.807666666666667
20,A-n62-k8,1290,1666.9564647387408,1865.4488356281454,1749.3717695022342,43.92916125080595,1.6276666666666668
21,A-n63-k10,1315,1633.6880543138536,1869.2610687997505,1763.7003071800912,64.71149929639836,1.886
22,A-n63-k9,1634,1977.9023549584833,2223.5113946502456,2117.6337864598804,63.50997268354886,1.7983333333333333
23,A-n64-k9,1402,1675.1629606269616,2057.6271675384783,1868.3095390484232,77.75966202838312,1.7946666666666664
24,A-n65-k9,1177,1633.129100182404,1842.2763625643768,1731.868719846141,58.35208777205418,1.8356666666666668
25,A-n69-k9,1168,1585.0270017568728,1876.305513594427,1704.2812208993446,80.10408238951783,1.8473333333333328
26,A-n80-k10,1764,2324.7271690152834,2699.1719140337636,2483.2366823752022,78.12707882550696,1.9989999999999999
27,B-n31-k5,672,694.7436302954453,787.3701074742179,723.0030576114815,18.82508361232993,1.2116666666666667
28,B-n34-k5,788,814.2270068961159,994.5429874650821,891.4436990648057,48.55198297945003,1.2283333333333333
29,B-n35-k5,955,1001.858846541221,1157.7250455238127,1068.5421931094122,47.05824637920433,1.233
30,B-n38-k6,805,842.485462919647,1003.5944808742032,914.9370627228406,43.770873549858884,1.3343333333333334
31,B-n39-k5,549,630.8896884565589,883.8245688792487,717.9800967275692,59.470402865948216,1.2763333333333333
32,B-n41-k6,829,884.3673759981419,1177.74373582749,1024.1336052616052,75.96201309482248,1.3789999999999998
33,B-n43-k6,742,838.7885371817188,988.1849673620491,913.8674164400461,39.432677201308515,1.3796666666666668
34,B-n44-k7,909,1021.2772378303889,1191.1392855504682,1113.3967588482733,41.35809349531887,1.463666666666667
35,B-n45-k5,751,876.5443420590116,1062.2232690083933,965.4872404342736,48.56946462609837,1.3933333333333338
36,B-n45-k6,678,796.3518616406411,970.4250189451341,857.9462951005638,37.04350646001695,1.4660000000000002
37,B-n50-k7,741,872.3668623450425,1079.5847607750793,1002.1002131806857,51.37549608182985,1.502
38,B-n50-k8,1313,1432.7186096626276,1686.2561471064148,1536.3993019252011,60.45066580577076,1.573
39,B-n51-k7,1032,1187.6194209576258,1508.9614933081,1333.1282968593378,82.03295679887668,1.5943333333333336
40,B-n52-k7,747,867.2029443519609,1159.3022799023631,1029.894273167292,68.84290130625072,1.5333333333333337
41,B-n56-k7,707,805.8613869179051,1125.7912717135187,969.1618960374971,78.35791452239349,1.5530000000000002
42,B-n57-k7,1153,1355.5051846813521,1659.9872793183606,1514.547008564549,69.82645169320526,1.6193333333333337
43,B-n57-k9,1598,1794.7627352808847,2002.9930067853945,1899.5920012361428,44.18339022751308,1.661
44,B-n63-k10,1537,1836.348455431987,2139.6945633137393,1988.0550706133606,78.92435103132968,1.8336666666666666
45,B-n64-k9,861,1079.2953133422877,1393.7984489164571,1247.3514364643354,73.10777624452156,1.8586666666666667
46,B-n66-k9,1374,1632.6510425743418,1907.5682590174154,1777.2425055920535,75.47654233897475,1.8659999999999997
47,B-n67-k10,1033,1303.1701714314572,1641.476695138713,1463.2790150807582,78.68598913322796,1.8560000000000003
48,B-n68-k9,1304,1593.689345816082,1855.527129746538,1725.8277636565651,65.5954609091004,1.789
49,B-n78-k10,1266,1631.9201567195537,1965.6913429112121,1812.9035732766076,84.48090990278783,1.9666666666666666
50,P-n101-k4,681,1276.1265969794238,1519.881690554202,1377.5411904501238,58.29441104536781,1.8780000000000001
51,P-n16-k8,435,451.33508020861797,486.1937599048063,462.090323795977,11.377084043838417,1.2269999999999999
52,P-n19-k2,212,226.47598187109327,282.6567504568233,251.55655424695482,13.8437963001505,0.8599999999999999
53, P-n20-k2,220,220.62114366707812,273.2313584148144,252.6357771445049,13.849797658603698,0.882
54,P-n21-k2,211,212.71153970290388,275.34592370069805,244.40800526783468,15.102446316925889,0.9396666666666665
55,P-n22-k2,216,233.4446327944765,298.36130035942665,263.80017630893053,16.996513534179748,0.9033333333333335
56,P-n22-k8,603,606.2748769091015,680.1429031276311,644.2754875442027,17.769387229815088,1.4003333333333334
57,P-n23-k8,554,547.7950017615806,619.2806646338352,577.9594540545909,18.831075190526736,1.3493333333333333
58,P-n40-k5.vrp,458,540.8937793775807,659.8327614926495,590.6282518547155,28.21356870072067,1.2613333333333334
59,P-n45-k5,510,580.4170053866543,789.5440421228219,685.2689156039554,40.19007773381157,1.3023333333333336
60,P-n50-k10,696,800.5138126677411,955.9063193274562,868.6061975901115,38.555709754712446,1.784333333333333
61, P-n50-k7,554,671.8824941516935,854.0583862188856,741.8853352492937,35.82134160545783,1.479333333333333
62,P-n50-k8,649,711.7970441189357,887.2269194505851,795.8677064425553,40.479364176579146,1.6070000000000002
