,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,845.0147958477643,1123.8365073975494,938.3655501059727,64.30860271568372,1.1653333333333333
1,A-n33-k5,661,694.4204474977662,855.568881575947,766.5380965855,40.0935411148847,1.2263333333333333
2,A-n33-k6,742,802.9632146149028,1033.7157883283203,872.2601327666508,44.81184193768549,1.3886666666666667
3,A-n34-k5,778,803.3158044411636,1048.8332109609817,903.7861418188575,48.55082213459035,1.098
4,A-n36-k5,799,840.3563563257785,1075.9290249618275,928.9737358240498,50.454846854976914,1.2373333333333334
5,A-n37-k5,669,738.7779787473754,865.2530397534465,800.7814580852922,28.95296393733589,1.1179999999999999
6,A-n37-k6,949,1022.5862427364711,1192.2604178576569,1108.8695839895959,42.28492906754263,1.192
7,A-n38-k5,730,789.9770371366767,1007.8495736403232,881.325444987203,49.80049388927342,1.1460000000000001
8,A-n39-k5,822,911.0190437146891,1087.9781991847406,982.3208745898041,44.76329571915943,1.1603333333333334
9,A-n39-k6,831,902.5435814270344,1131.799190224587,1008.8004585798178,57.426683260163166,1.1693333333333333
10,A-n44-k6,937,1051.6855970677248,1253.5925846700823,1154.148757998634,48.69406362442059,1.3096666666666665
11,A-n45-k6,944,1094.7123649564173,1323.5362604127592,1198.7191398098878,63.4219212816484,1.299666666666667
12,A-n45-k7,1146,1267.2951551663637,1421.7734521685893,1330.6222748567427,35.88077299537324,1.3020000000000005
13,A-n46-k7,914,1041.881153520182,1233.4454686084434,1129.86734070841,44.17537148460731,1.2903333333333333
14,A-n48-k7,1073,1243.1017104744747,1402.8248555856185,1308.3551283744744,36.15944847293171,1.4839999999999998
15,A-n53-k7,1010,1222.5692151168028,1456.1842320750034,1332.2336024994704,55.40061436691696,1.5070000000000003
16,A-n54-k7,1167,1364.7756862002193,1589.8446619444608,1487.092857926737,59.377818505317485,1.7966666666666664
17,A-n55-k9,1073,1285.7655420284989,1591.3410805343728,1411.552484255782,63.07584031371175,2.040666666666667
18,A-n60-k9,1408,1578.198537444296,1834.2797440117427,1704.9197671014258,55.031857588848915,1.6520000000000001
19,A-n61-k9,1035,1286.5068667378403,1553.271006377104,1388.6357497537513,60.9271541801647,1.7313333333333334
20,A-n62-k8,1290,1576.7144849569606,1793.1679381492547,1676.1946148309278,58.889420199611614,1.7256666666666667
21,A-n63-k10,1315,1618.504646389426,1870.0258757606002,1733.7730789254263,61.35868733000655,1.9306666666666665
22,A-n63-k9,1634,1929.3681884116959,2205.5887140898553,2054.7601938083503,69.99461142507002,1.828333333333333
23,A-n64-k9,1402,1709.5005101678976,1992.0029945776573,1797.6776489528677,66.06806499580844,1.714
24,A-n65-k9,1177,1461.6191348688553,1819.306177346651,1603.6953703111785,81.37379401870642,1.839666666666667
25,A-n69-k9,1168,1488.9365026279818,1841.7031647277338,1684.2376094669103,73.52936784861974,1.7770000000000001
26,A-n80-k10,1764,2264.7247405226303,2525.654095631054,2391.7900085707824,67.43314115919252,1.9486666666666668
27,B-n31-k5,672,686.1031100101604,833.9946670118981,721.7716524199813,32.28078560079084,1.199
28,B-n34-k5,788,829.8086541721468,1000.5996712247252,905.8488239454035,41.61906686701141,1.241
29,B-n35-k5,955,985.9217168911715,1235.9540017044558,1072.1798657589047,66.04743173595942,1.1556666666666666
30,B-n38-k6,805,825.0155049442911,946.8541912639275,872.2360806567344,35.957820866281594,1.281333333333333
31,B-n39-k5,549,593.3920199179177,784.6237772749209,682.6658062800064,46.624228220799004,1.312
32,B-n41-k6,829,884.5731809343531,1123.4012049789058,1011.4880151081164,57.01968010866997,1.2903333333333336
33,B-n43-k6,742,801.0657037928829,978.6118512067527,858.4123641440332,37.51482334133651,1.2086666666666666
34,B-n44-k7,909,1022.6136239319125,1144.7868733351431,1082.4934874037547,37.25180253182102,1.3046666666666669
35,B-n45-k5,751,826.6844576295225,1084.1982018724373,959.7976507253327,65.81093649998873,1.2936666666666667
36,B-n45-k6,678,753.1933061397367,934.9728850461427,833.6688168311264,41.85424427066853,1.5330000000000001
37,B-n50-k7,741,851.7247229682895,1072.3526066796856,957.8800719597134,54.179811360348914,1.5353333333333332
38,B-n50-k8,1313,1401.8609488973143,1556.6696238529757,1479.018289964428,40.213716128741865,1.4860000000000002
39,B-n51-k7,1032,1182.6423358756988,1463.6150686102035,1321.7873888488416,72.54491738390392,1.625666666666667
40,B-n52-k7,747,852.2209555514869,1092.8504998307471,955.6051212183521,70.42507151088115,1.7510000000000001
41,B-n56-k7,707,790.5013125041218,1052.1567989019363,918.5320195914646,62.47267913315551,1.565
42,B-n57-k7,1153,1260.8368840236183,1779.5970990610508,1484.244365329382,86.54078172744838,1.6046666666666665
43,B-n57-k9,1598,1751.0550018888932,1937.9591164402818,1833.4217377298435,43.33293823396041,1.818
44,B-n63-k10,1537,1798.9341635518012,2073.8048244161973,1908.4486267343157,70.26613452643467,2.150666666666666
45,B-n64-k9,861,1048.781067361677,1382.5489585067048,1185.9231974327133,86.93112601946581,1.9949999999999999
46,B-n66-k9,1374,1560.4669208633034,1815.2330299423968,1699.3511343560644,67.64491722633062,1.843666666666667
47,B-n67-k10,1033,1273.9147954739872,1623.4798498405796,1388.5397557845974,80.88401790825728,1.814
48,B-n68-k9,1304,1542.1050713680265,1792.6270373093173,1657.4573654606518,65.78847345948964,2.0063333333333335
49,B-n78-k10,1266,1585.6775108780798,1891.755896855393,1743.3092055695006,66.98562049182166,2.0633333333333335
50,P-n101-k4,681,1164.584957368844,1386.149717529061,1296.0798902149168,55.51298268975109,1.6769999999999998
51,P-n16-k8,435,451.33508020861797,473.78211236451153,459.51408139419965,8.487771741959197,1.1983333333333333
52,P-n19-k2,212,219.75413715136335,272.89402582904535,238.93954091507325,13.216165996732249,0.7686666666666666
53, P-n20-k2,220,217.41558334616656,262.95860838596377,233.61099161767535,12.647661973771442,0.889
54,P-n21-k2,211,219.78573687938797,260.68990736371427,233.6559740814935,11.596940341511702,0.7973333333333332
55,P-n22-k2,216,218.0508248373181,270.9090578433342,244.07771261553623,12.999139761340503,0.8039999999999999
56,P-n22-k8,603,593.5430021663094,678.4237380473056,633.5026669650706,21.031320923464833,1.3416666666666666
57,P-n23-k8,554,541.3160159587127,618.2909327303089,574.4263940085865,18.621217151133415,1.4970000000000003
58,P-n40-k5.vrp,458,495.05020886616836,688.3601727068866,559.4174448844708,37.34680748020217,1.206
59,P-n45-k5,510,572.8633010383924,705.4750912772774,628.0291789001407,34.63737643626001,1.4303333333333332
60,P-n50-k10,696,769.6748401404834,891.5478808087125,840.9865532761461,32.913891766270034,1.9343333333333335
61, P-n50-k7,554,599.5814182465288,772.1009662177491,693.9528074799224,39.12010206915689,1.6793333333333331
62,P-n50-k8,649,717.0217239563277,859.729545700017,762.7879993273432,28.958657868184673,1.754333333333333
63,P-n51-k10,745,841.2516237259905,1003.2930913940658,896.6408270233895,36.98228352366606,2.131
64,P-n55-k10,669,777.6447494647833,901.9901123924831,843.5646656651527,33.02672905918147,1.7903333333333336
65,P-n55-k15,856,1041.1632739263864,1150.2852105010595,1086.1770573742733,24.74380196129213,2.3676666666666666
