,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,832.9914643274619,1043.6712355983386,911.6412905897022,40.70316687634641,1.1036666666666666
1,A-n33-k5,661,699.6860470342534,861.2004160929544,761.7269369377989,35.29728972237242,1.0550000000000002
2,A-n33-k6,742,785.1059869930085,913.2659689799714,843.6064566982965,33.92511205510961,1.1373333333333333
3,A-n34-k5,778,820.5426062035415,966.1442986029797,881.6138529477023,32.368624472165344,1.0466666666666666
4,A-n36-k5,799,848.6039941454158,1019.7644972224341,933.6660906180946,42.07760054098928,1.1176666666666668
5,A-n37-k5,669,734.6150082510891,966.3052017547342,833.6199096287165,51.1614200947405,1.1476666666666666
6,A-n37-k6,949,1052.8637353515865,1209.1027967828222,1124.988308884883,37.60061970382364,1.2533333333333334
7,A-n38-k5,730,828.5289465961309,1040.0928552127552,930.1867152888343,52.53202646444332,1.2876666666666665
8,A-n39-k5,822,945.1265751693962,1069.7637339137057,1004.8683747215285,34.20362233551655,1.1746666666666667
9,A-n39-k6,831,915.6541630483031,1070.0085260058897,1000.7502387152618,41.69553262530108,1.3483333333333334
10,A-n44-k6,937,1076.189168839297,1246.9765672278772,1161.7187966470617,41.80630780862232,1.511
11,A-n45-k6,944,1069.8787737509972,1270.998086051418,1170.4965466724393,51.92021913962306,1.4676666666666667
12,A-n45-k7,1146,1235.8308801518328,1367.5459105634147,1313.813294631004,30.37996183538714,1.3
13,A-n46-k7,914,1040.3618637368365,1219.3480578897793,1105.3692203832006,35.399192578307584,1.2596666666666665
14,A-n48-k7,1073,1203.8899974675176,1398.9609589535394,1299.4046577078173,46.226481902476834,1.3136666666666663
15,A-n53-k7,1010,1206.0210394334863,1422.385706557556,1323.3268109669593,61.96360997366913,1.3303333333333331
16,A-n54-k7,1167,1397.3930920234295,1580.2524103034316,1484.1411936229204,45.22049737016883,1.4083333333333334
17,A-n55-k9,1073,1259.480978690268,1439.2589433161452,1336.513708952801,49.406837684755125,1.5113333333333332
18,A-n60-k9,1408,1517.6829332320262,1775.7382847915883,1656.264716901198,51.68731098784571,1.5043333333333335
19,A-n61-k9,1035,1229.1326936386033,1405.0674905726312,1324.9042047603118,47.43602090239217,1.608
20,A-n62-k8,1290,1548.9872280499267,1783.6509923276885,1665.5121961616362,60.793718995500086,1.4553333333333331
21,A-n63-k10,1315,1572.6790892186468,1720.6277383298318,1639.9943091737773,41.81557709280306,1.6393333333333338
22,A-n63-k9,1634,1927.8715332714442,2192.773782680404,2056.508097506782,66.00664907679543,1.6753333333333336
23,A-n64-k9,1402,1690.8675071954096,1837.602155375637,1763.5928604367186,43.57567463466918,1.635333333333333
24,A-n65-k9,1177,1466.07646715847,1808.9375935253472,1588.7284456291243,73.01279377271462,1.7316666666666665
25,A-n69-k9,1168,1460.4752700215076,1717.3915519272564,1566.4382208737743,62.15265792248414,1.72
26,A-n80-k10,1764,2142.194553075141,2486.4904112353615,2324.2576441149668,82.53032624148446,2.041
27,B-n31-k5,672,690.1118043976664,762.6568734702074,713.9085434435625,14.608681337747871,1.114666666666667
28,B-n34-k5,788,810.8274687533157,920.0297634999276,855.4451257815597,28.663847505089564,1.093
29,B-n35-k5,955,1008.3375617451475,1177.567487281019,1058.670682830392,49.95992140991844,1.142666666666667
30,B-n38-k6,805,840.4580244039674,915.9642900237204,873.6863316771437,20.001550218270996,1.1783333333333335
31,B-n39-k5,549,587.1561972095258,755.7663977516678,659.6891199502636,38.39624802582478,1.2320000000000002
32,B-n41-k6,829,906.9787983921947,1089.6684149887076,973.0702431781999,43.588436269343056,1.4726666666666661
33,B-n43-k6,742,805.2497669423595,930.312610398719,853.6379617974991,27.93573105193645,1.276
34,B-n44-k7,909,972.0697615015766,1115.3986533309528,1049.6927261388819,30.197907318591927,1.342333333333333
35,B-n45-k5,751,824.7023027236548,1104.9972385847416,948.1620493795064,57.06181554457142,1.2353333333333334
36,B-n45-k6,678,758.1840890855765,915.1702729284392,821.3667943132615,39.61424488155594,1.3243333333333334
37,B-n50-k7,741,833.9381745063347,1014.8870747325354,936.3802952954914,43.11176745464876,1.3886666666666665
38,B-n50-k8,1313,1379.1411593871437,1550.337900382281,1442.2544173296587,50.466936771284125,1.3366666666666664
39,B-n51-k7,1032,1115.253347402167,1533.794761804797,1252.5375964317566,87.18825838034486,1.4550000000000003
40,B-n52-k7,747,839.336484920427,1118.2512300397975,927.3757489122013,60.87891237721348,1.6479999999999997
41,B-n56-k7,707,826.2737248746092,1000.2193315242907,889.2015106899707,42.351731140857545,1.5826666666666667
42,B-n57-k7,1153,1286.253903429592,1603.947868496632,1413.5141341061674,73.59141619483552,1.4916666666666665
43,B-n57-k9,1598,1697.2677146360968,1926.2432830263124,1832.9686496280426,53.696850788861745,1.5160000000000002
44,B-n63-k10,1537,1702.6754949538486,1988.7586463293114,1810.9956434894195,62.81041812229038,1.6573333333333338
45,B-n64-k9,861,1013.4480206432892,1228.7345780631067,1114.5873941541556,54.06112736634108,1.7369999999999997
46,B-n66-k9,1374,1563.2312953788112,1812.9900591107103,1652.5003969485274,64.55998973276445,1.6453333333333335
47,B-n67-k10,1033,1197.6635604943972,1411.6124738634908,1322.192871061322,58.265145170100816,1.6976666666666664
48,B-n68-k9,1304,1450.305295447209,1684.1709980628539,1550.668625962838,53.7933241128516,1.678
49,B-n78-k10,1266,1522.2104240909457,1809.2391122485294,1665.4345876348864,66.42441165618558,1.9043333333333334
50,P-n101-k4,681,1207.2283716407132,1433.729925567602,1312.8343763199025,47.88728269660177,1.661
51,P-n16-k8,435,451.33508020861797,485.8799900863225,459.94023320319076,8.33039157032798,1.0983333333333334
52,P-n19-k2,212,251.35622031553976,355.80892706245635,283.58864065653495,24.00162250207385,0.7213333333333335
53, P-n20-k2,220,257.70959091852296,327.22455594433274,290.03167480663467,18.604359144806196,0.7429999999999999
54,P-n21-k2,211,228.06077682242335,311.8738042394991,261.2142958589949,20.662304206740792,0.8073333333333335
55,P-n22-k2,216,263.5665523565405,328.8886249826194,288.8837246098406,15.388982676239975,0.8013333333333335
56,P-n22-k8,603,589.3916936935428,666.9563357083109,625.180676926872,17.05316206128554,1.1566666666666665
57,P-n23-k8,554,538.397087452573,588.856196454133,558.0814441250892,15.025993588634494,1.1646666666666667
58,P-n40-k5.vrp,458,518.998790004008,610.3025537056528,564.9811046610749,24.44790387803098,1.1
59,P-n45-k5,510,577.2361404539917,688.5909892799853,641.8662929579039,28.050217301594834,1.1176666666666668
60,P-n50-k10,696,780.9244059884256,860.1027269841044,813.3712994625646,21.47430855084261,1.5916666666666666
61, P-n50-k7,554,611.1953029699098,721.9456784579521,679.8307397083481,24.902285515848817,1.2920000000000003
62,P-n50-k8,649,704.8187085202889,793.2638664252964,747.2536697480517,25.090087805137905,1.5099999999999996
63,P-n51-k10,745,831.0037874306146,931.5840415641978,875.5232060947131,25.53868823124946,1.5970000000000002
64,P-n55-k10,669,767.680491345675,913.716266716021,824.0838644647495,33.67849174567213,1.5676666666666665
65,P-n55-k15,856,1003.7312105268859,1106.6622504833597,1063.2120131429162,23.949631056384135,2.050666666666667
66,P-n55-k7,524,651.8128154666136,743.6027022051594,709.8586030159805,20.908489787776297,1.4133333333333333
67,P-n55-k8,576,667.4185906987358,778.2413626028499,727.3702482537551,26.48649011226316,1.3949999999999998
68,P-n60-k10,706,864.4110489370973,979.086129713862,924.3438495161129,28.811625927436022,1.6856666666666666
69,P-n60-k15,905,1076.0130755843695,1212.3794191761865,1126.2666028738715,33.820026654364064,2.0509999999999997
70,P-n65-k10,792,934.3465689142954,1048.1570295733077,986.4723957892325,33.45408626337159,1.7593333333333334
71,P-n70-k10,834,973.0010379720947,1179.2875573708177,1062.2662157849265,43.26845799050425,1.7570000000000003
72,P-n76-k4,589,938.7045514324002,1082.076159590398,1021.4546193412679,38.932201114594406,1.3203333333333334
73,P-n76-k5,631,975.0712637226208,1118.2103831693773,1050.9068002891033,39.8746376101745,1.4166666666666672
