,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,930.5950109505104,1220.21445699633,1041.5198222431727,67.03261473141309,1.3629999999999998
1,A-n33-k5,661,780.5897110246963,997.1508038569012,858.8355900678882,46.14039895689564,1.3490000000000004
2,A-n33-k6,742,843.4538583586017,1076.0624439922562,946.3948841880099,51.82117721992778,1.3966666666666667
3,A-n34-k5,778,905.7292236276785,1189.6675206896978,996.17825509597,55.87500335818652,1.3380000000000003
4,A-n36-k5,799,915.3083567569273,1174.637694670866,1033.420934686642,66.94076992052423,1.3836666666666666
5,A-n37-k5,669,838.5717541490446,1053.5662301159023,940.1232962696812,54.26846668518495,1.397333333333333
6,A-n37-k6,949,1073.120812852957,1315.96284491384,1187.9397024977184,56.74643539102591,1.4986666666666666
7,A-n38-k5,730,809.3718486652357,1157.9428829352596,1002.6872953928614,85.92628948266672,1.4389999999999998
8,A-n39-k5,822,975.0578808195759,1288.5946490512972,1117.0405640227596,70.8306422970163,1.4153333333333336
9,A-n39-k6,831,1013.9490349133727,1312.7021202615476,1121.2293465005682,71.0544568862739,1.4916666666666667
10,A-n44-k6,937,1129.4591023852429,1396.578183580183,1234.9794912604054,59.4735942757702,1.5563333333333333
11,A-n45-k6,944,1177.6247142031743,1574.7379667232271,1332.5135161271344,91.83706618559589,1.5993333333333335
12,A-n45-k7,1146,1317.8481158379327,1603.5894190480408,1409.7488762654439,72.9952657486722,1.5856666666666672
13,A-n46-k7,914,1097.3185285312259,1407.9373613086002,1238.1048166750718,75.50239535316624,1.6193333333333333
14,A-n48-k7,1073,1322.6995486860576,1495.4475409905026,1394.9784529711244,45.97249138708534,1.6273333333333333
15,A-n53-k7,1010,1315.4136162021707,1562.8081559011691,1440.5674336527013,61.631101377759116,1.6919999999999997
16,A-n54-k7,1167,1462.3491567152746,1718.6907940617198,1566.5965325989234,65.20352819964963,1.7239999999999998
17,A-n55-k9,1073,1374.2144278714077,1626.810881707796,1471.7073004418924,64.93484957156214,1.8693333333333333
18,A-n60-k9,1408,1679.5342872202077,1975.4709289493849,1807.4772810635461,87.54818360782396,1.8673333333333337
19,A-n61-k9,1035,1309.3316991594165,1581.8527022836242,1447.4612127776152,73.74126478729573,1.9579999999999997
20,A-n62-k8,1290,1663.9385132760958,1969.0622468382585,1797.656003693354,85.90904210625945,1.8026666666666666
21,A-n63-k10,1315,1697.3501834957983,1914.8663735942569,1779.4287040689292,57.40083409073375,2.0113333333333334
22,A-n63-k9,1634,1977.646105080702,2245.6120977881355,2089.706058621305,74.03793343055922,1.9679999999999997
23,A-n64-k9,1402,1759.107364729361,2067.0189252353453,1870.4190033266468,68.65966100917606,1.9346666666666665
24,A-n65-k9,1177,1596.4238104157068,1965.7954726713479,1775.1930948290108,91.7129155919512,1.981333333333333
25,A-n69-k9,1168,1623.0204160441892,1900.3173124153905,1767.7760586659608,75.47799879302612,1.9670000000000003
26,A-n80-k10,1764,2358.2163988264933,2664.4576018476246,2510.398862241321,75.73720318650246,2.147666666666667
27,B-n31-k5,672,698.4965641967171,900.2470466150529,760.7018972352281,47.25749160987699,1.3626666666666665
28,B-n34-k5,788,849.6256749367161,1078.3249070562301,967.466709013462,65.81238248393768,1.3530000000000006
29,B-n35-k5,955,1050.746020273333,1278.046742514596,1147.6877030138473,73.83442545959836,1.3773333333333333
30,B-n38-k6,805,863.0737095020442,1079.684758665759,947.6972580113551,57.20922947622713,1.4936666666666665
31,B-n39-k5,549,676.5874253648,1047.063707434377,779.738785340692,78.63920161299644,1.4309999999999996
32,B-n41-k6,829,942.597083217439,1233.855858187746,1100.5716222908593,64.16408763281238,1.5173333333333332
33,B-n43-k6,742,841.9054931017963,1044.5359050236323,938.6829966807031,52.30004578875402,1.538
34,B-n44-k7,909,1071.353323228521,1242.7027771487947,1145.793846258293,48.79357059222454,1.5879999999999999
35,B-n45-k5,751,913.6846634916092,1228.8349635934437,1065.4230865053134,77.23782852726605,1.5023333333333335
36,B-n45-k6,678,808.8632822931896,988.7504866009288,887.856943126758,39.82699847733306,1.63
37,B-n50-k7,741,880.7804223003699,1251.1667305307367,1074.4037622191502,81.88884632554475,1.652
38,B-n50-k8,1313,1421.5504772780957,1614.8720701234547,1520.0472591742098,55.01303380256554,1.7266666666666666
39,B-n51-k7,1032,1263.930329238618,1678.8146671351635,1428.632815231115,96.91865527980202,1.7323333333333335
40,B-n52-k7,747,932.1961527813583,1250.501514909066,1106.762983672573,92.27738702419836,1.6916666666666667
