,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,864.056791866346,1214.9785587864951,1017.6836814403381,77.06823035160639,1.22
1,A-n33-k5,661,711.0676486378042,971.3422610261853,836.1771351694711,60.13983857217388,1.2206666666666668
2,A-n33-k6,742,820.0829366939536,1000.1214555552892,903.0556349685131,45.649239186741895,1.314
3,A-n34-k5,778,854.1108872179801,1074.3871955736063,963.1096536665724,57.14236902113755,1.2140000000000002
4,A-n36-k5,799,895.615208553505,1094.245520951649,997.5805274644334,48.02124483996013,1.2426666666666668
5,A-n37-k5,669,784.1718791380032,982.5179104303887,883.6606690214631,52.5562320608055,1.2523333333333335
6,A-n37-k6,949,1040.1466612692657,1351.752962327399,1176.4929184261111,63.34835348536041,1.3596666666666666
7,A-n38-k5,730,895.6403345713665,1086.6026974987858,999.3427999187259,51.355425350747865,1.3093333333333332
8,A-n39-k5,822,937.8982864541911,1135.5036041117037,1036.592058233922,56.19703073916257,1.278
9,A-n39-k6,831,923.9756500895069,1210.3287064114202,1093.5168826897436,61.42965756806303,1.3466666666666667
10,A-n44-k6,937,1050.84874915789,1352.9742509105715,1211.9842800617234,64.58933976393506,1.427
11,A-n45-k6,944,1196.1100913357764,1498.5912478471512,1330.6091311667585,84.61999997753014,1.4556666666666662
12,A-n45-k7,1146,1298.1150819673276,1458.5204352236117,1398.4110107449198,41.42287750408689,1.4396666666666669
13,A-n46-k7,914,1095.9438578072031,1361.359752106669,1241.3062596356538,68.70270257873206,1.454
14,A-n48-k7,1073,1244.1258069241267,1572.448191605147,1406.5596117251996,76.55794111068482,1.4836666666666665
15,A-n53-k7,1010,1217.1480242108119,1553.1213867708618,1424.925772981598,78.58232233389653,1.5740000000000003
16,A-n54-k7,1167,1437.4693232464156,1772.1508966467522,1581.489370656349,79.47572758374963,1.5530000000000004
17,A-n55-k9,1073,1294.0657716321107,1664.9227756303662,1496.2958377339003,77.0950679211017,1.7420000000000002
18,A-n60-k9,1408,1682.321961290636,1991.8502821698085,1830.7007192316792,62.78066107711127,1.7546666666666664
19,A-n61-k9,1035,1348.127068734739,1635.4205841580015,1492.7648253992925,75.84632802468248,1.811
20,A-n62-k8,1290,1687.087169133924,1979.5564135831871,1805.649734066346,75.80579471685884,1.6586666666666663
