,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,841.4623143481697,1065.337766852657,929.3198732383693,51.09349164283396,1.0633333333333332
1,A-n33-k5,661,689.4032933345421,883.6224588142153,782.7095984742774,48.8765172071823,1.0633333333333332
2,A-n33-k6,742,801.7134088057401,961.5976522023016,868.4168752705058,43.285353133414944,1.15
3,A-n34-k5,778,805.298061994613,1059.480297894557,916.4479686222498,46.34646810011128,1.0519999999999998
4,A-n36-k5,799,886.253752047521,1067.8107208137599,967.791287617609,48.04317255879323,1.149
5,A-n37-k5,669,751.5380864124412,970.3654783960839,850.6568756047386,52.949294536989186,1.2083333333333333
6,A-n37-k6,949,1040.7343175122664,1254.4644173872052,1109.2037970901172,50.78955647194815,1.3506666666666665
7,A-n38-k5,730,808.5220481698204,1030.0404359868298,896.3795466831751,61.52957409527253,1.2876666666666667
8,A-n39-k5,822,892.8414673208101,1096.9853122464644,1006.1955656403177,52.60161999730442,1.2933333333333332
9,A-n39-k6,831,905.9151820343764,1158.9489866875135,1022.672485359839,67.65666391695652,1.264
10,A-n44-k6,937,1060.8088543495646,1283.6308930679643,1147.084355771625,53.48062190303902,1.3683333333333334
11,A-n45-k6,944,1108.1197824381454,1396.2243843831595,1227.0431603006034,54.5653292876685,1.462333333333333
12,A-n45-k7,1146,1275.5263393451737,1407.561895011577,1335.7175111584827,36.71221279434297,1.4533333333333336
13,A-n46-k7,914,1032.3888656063148,1305.879904923591,1154.0968215447024,60.26300635092556,1.4046666666666665
14,A-n48-k7,1073,1228.0497637327755,1427.3715305644105,1324.003359043768,48.80889185933894,1.6469999999999998
15,A-n53-k7,1010,1224.8980375989163,1498.6290206886972,1344.464876498894,64.02758766742666,1.5733333333333333
16,A-n54-k7,1167,1405.7390737699284,1593.9870801878872,1499.5876797312608,48.09943272615457,1.5980000000000003
17,A-n55-k9,1073,1253.1129181618237,1497.1000483828254,1404.0517065241402,58.511008616383364,1.7726666666666666
18,A-n60-k9,1408,1653.3631366546742,1884.438085458711,1740.8997903451261,62.703685616318246,1.9133333333333333
19,A-n61-k9,1035,1300.1826744144778,1541.4712612344779,1398.1424067380997,68.29070944859639,1.9549999999999998
20,A-n62-k8,1290,1611.393158199484,1866.4371251974544,1692.456856008039,52.985079840516754,1.8286666666666667
21,A-n63-k10,1315,1600.6088699228121,1842.6444541504493,1707.759192179636,59.58119648788069,2.165
22,A-n63-k9,1634,1965.5490942940014,2156.1920517921203,2068.9720264231646,54.99745043539487,1.947
23,A-n64-k9,1402,1699.9085394546585,1969.3004899736325,1825.4134468304198,63.34924305751635,1.8616666666666666
24,A-n65-k9,1177,1539.0427096052483,1819.7569277223342,1664.6623578129543,67.27577220966862,2.2156666666666665
25,A-n69-k9,1168,1564.6795990170453,1818.9785593272761,1700.0032546141163,66.59263882444107,2.363
26,A-n80-k10,1764,2237.566553397301,2544.1945990949534,2421.3328885337023,75.76586307433419,2.2339999999999995
27,B-n31-k5,672,686.6408322589446,852.3873019230748,728.5365524140976,35.69111307073029,1.2543333333333335
28,B-n34-k5,788,833.5638868776925,1026.8965667857833,921.7910558922808,57.752171341258176,1.2733333333333332
29,B-n35-k5,955,991.9715346212374,1278.0571400413592,1096.575358743006,67.27387923279852,1.5906666666666667
30,B-n38-k6,805,835.2132132160496,1060.453673459801,923.947392228634,55.69547986827201,1.7163333333333333
31,B-n39-k5,549,605.4574677543278,880.2956555072644,768.7529961976718,67.69176066539653,1.5489999999999995
32,B-n41-k6,829,872.5773798102025,1089.8768582162174,991.6512972780009,46.98412461832085,2.1166666666666667
33,B-n43-k6,742,810.063253421427,987.4144813264759,889.3350642740787,45.272621167008,1.8653333333333333
34,B-n44-k7,909,999.2365437773351,1234.807985254991,1095.3544708166114,55.213166611331694,1.5880000000000003
35,B-n45-k5,751,907.8501563570042,1135.6017372498131,1004.4317885858582,60.698564018440905,1.9203333333333332
36,B-n45-k6,678,777.7703752823927,1023.5081772013973,856.5019015010963,51.23129959312099,1.8133333333333335
37,B-n50-k7,741,895.2399786479447,1167.0351430720407,1023.6418532322078,60.21062001747373,1.796
38,B-n50-k8,1313,1375.479749179673,1586.537336699458,1472.150230935834,45.22806330449602,1.833333333333333
39,B-n51-k7,1032,1178.5170817701944,1506.36109024494,1356.6299416020395,81.6069295103695,2.030333333333333
40,B-n52-k7,747,912.1405381761024,1239.4859788023198,1055.156355232434,72.06280662253423,2.3049999999999997
41,B-n56-k7,707,855.4729246228725,1232.4703494035905,1032.5627758605897,90.90755455147495,2.364333333333333
42,B-n57-k7,1153,1387.656477111344,1730.710577594461,1570.6930485876776,87.39720871083212,2.5980000000000003
43,B-n57-k9,1598,1744.1848486653525,1958.1086607648106,1849.0628483890505,58.169810555121565,2.623666666666667
44,B-n63-k10,1537,1779.4403330737302,2119.3217599217883,1950.9379392265632,78.2811306236896,2.968333333333333
45,B-n64-k9,861,1092.3078294950008,1352.0273926178568,1244.680523153951,74.55629532920442,3.637333333333333
46,B-n66-k9,1374,1602.6363793757455,1892.6750242592109,1733.7348781145988,66.91274949867736,2.2826666666666666
47,B-n67-k10,1033,1209.7739441249112,1575.7530920678075,1446.0325065539573,83.1122693748683,2.1386666666666665
48,B-n68-k9,1304,1548.3642800250193,1863.518332671742,1729.621787020408,80.40762500962569,2.2036666666666664
49,B-n78-k10,1266,1606.1319601253194,2063.019835705493,1792.2573565988787,102.079210309787,2.3993333333333333
50,P-n101-k4,681,1202.7575199443136,1485.6335366184373,1348.2704341910294,63.99580147306017,2.2230000000000003
