,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time
0,A-n32-k5,784,890.5023877684516,1061.4723315883684,964.6995971342801,40.038572177069966,1.4600000000000002
1,A-n33-k5,661,720.8027366667435,930.2495740407558,797.9847986847736,43.70964819281239,1.914333333333333
2,A-n33-k6,742,834.114331097419,995.37785392195,892.1371030840235,43.89266120972414,1.4959999999999998
3,A-n34-k5,778,894.0097988350562,1020.0121656544518,949.8998894788062,38.65829718952653,1.2756666666666667
4,A-n36-k5,799,889.8877371690338,1081.2324329921257,976.2508125985559,47.59820050515001,1.2896666666666665
5,A-n37-k5,669,781.5236901894342,915.6776586974036,848.256938760915,36.12711331212952,1.3656666666666666
6,A-n37-k6,949,1068.603455305637,1288.7306606877878,1169.4004089860161,55.60666888462912,1.3926666666666667
7,A-n38-k5,730,838.7967498231817,1129.676566751789,939.8731930848472,75.72298103817171,1.3669999999999998
8,A-n39-k5,822,942.4990362564937,1129.74721565664,1036.747065642505,46.02600595582664,1.2966666666666664
9,A-n39-k6,831,933.1330960600387,1129.1770516813674,1027.045053892303,47.33421670179692,1.3903333333333336
10,A-n44-k6,937,1122.3165367169263,1381.5467034761386,1210.5244027988947,67.37463448482335,1.444
11,A-n45-k6,944,1069.417557198434,1288.4845866486144,1193.9948182226249,45.29192439318813,1.5543333333333331
12,A-n45-k7,1146,1299.1994391182104,1448.3462334608323,1363.2116032104007,33.60224957346247,1.525
13,A-n46-k7,914,1051.8581738125486,1300.213743538205,1133.9589885519042,46.06624969227623,1.5546666666666669
14,A-n48-k7,1073,1197.5781216143705,1422.244907958358,1322.0224547000114,48.21987024210435,1.549
15,A-n53-k7,1010,1252.7750358853075,1492.0570688617104,1380.4731006528434,58.09722716391554,1.6266666666666667
16,A-n54-k7,1167,1409.7824953006766,1634.078967089391,1533.6099012158977,56.77925329958254,1.6216666666666664
17,A-n55-k9,1073,1306.166482746842,1577.2461734477765,1408.8750669800152,72.11249318884008,1.7733333333333332
18,A-n60-k9,1408,1604.1580737044278,1792.8901932773717,1706.052540546755,50.40579018286828,1.7883333333333333
19,A-n61-k9,1035,1268.213107110965,1466.249498904362,1360.504154572992,50.79133696795403,1.9046666666666667
