,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,852.3182397791321,784,1.91
1,A-n33-k5,723.2734325103978,661,1.44
2,A-n33-k6,748.0725275907934,742,1.57
3,A-n34-k5,803.6228077661461,778,1.35
4,A-n36-k5,879.376893928526,799,1.5
5,A-n37-k5,712.2249227296545,669,1.57
6,A-n37-k6,1008.3901017067208,949,1.72
7,A-n38-k5,791.2969123290143,730,1.78
8,A-n39-k5,918.2423126901808,822,1.6
9,A-n39-k6,911.66306365996,831,1.57
10,A-n44-k6,991.4815050132788,937,1.87
11,A-n45-k6,1021.4928244976866,944,1.74
12,A-n45-k7,1171.6329563624051,1146,1.75
13,A-n46-k7,952.0912928770117,914,1.78
14,A-n48-k7,1158.089918844823,1073,1.81
15,A-n53-k7,1120.157683936368,1010,1.97
16,A-n54-k7,1226.6185821075205,1167,2.18
17,A-n55-k9,1135.603307351348,1073,2.05
18,A-n60-k9,1444.0006201227418,1408,2.13
19,A-n61-k9,1097.9897383612338,1035,2.2
20,A-n62-k8,1395.6201880661304,1290,1.99
21,A-n63-k10,1414.6986425745276,1315,2.68
22,A-n63-k9,1709.9969425309475,1634,2.28
23,A-n64-k9,1498.4716161758267,1402,2.12
24,A-n65-k9,1300.6238402068159,1177,3.1
25,A-n69-k9,1269.0369409411674,1168,2.89
26,A-n80-k10,1936.2564642637064,1764,2.45
27,B-n31-k5,685.8502094733939,672,2.19
28,B-n34-k5,902.5325425196563,788,1.71
29,B-n35-k5,1007.838969511969,955,1.46
30,B-n38-k6,828.4041687587671,805,1.79
31,B-n39-k5,588.7474931356471,549,1.65
32,B-n41-k6,911.6532811116937,829,1.85
33,B-n43-k6,764.4544261834482,742,1.87
34,B-n44-k7,962.427192692986,909,1.8
35,B-n45-k5,778.2689082002817,751,1.77
36,B-n45-k6,729.4855191883998,678,1.86
37,B-n50-k7,771.0543539373787,741,2.05
38,B-n50-k8,1360.969348638398,1313,2.0
39,B-n51-k7,1198.2522430154484,1032,2.27
40,B-n52-k7,815.4603790282431,747,2.11
41,B-n56-k7,763.6107666402735,707,3.83
42,B-n57-k7,1237.865746857831,1153,2.34
43,B-n57-k9,1668.14071001094,1598,2.75
44,B-n63-k10,1645.3413581196608,1537,2.3
45,B-n64-k9,927.361425333126,861,2.78
46,B-n66-k9,1419.958697890454,1374,2.45
47,B-n67-k10,1129.2363386301593,1033,2.63
48,B-n68-k9,1342.4560052527638,1304,2.26
49,B-n78-k10,1344.826331430735,1266,2.64
50,P-n101-k4,778.3138909186638,681,1.91
51,P-n16-k8,462.68870249339477,435,2.03
52,P-n19-k2,220.64313526472102,212,1.07
53, P-n20-k2,240.9472713574032,220,0.84
54,P-n21-k2,226.32219493999756,211,0.93
55,P-n22-k2,240.5994701685477,216,0.9
56,P-n22-k8,589.3916936935431,603,1.86
57,P-n23-k8,552.9476907071962,554,1.86
58,P-n40-k5.vrp,510.24741194420756,458,1.51
59,P-n45-k5,562.5278261941535,510,1.5
60,P-n50-k10,738.4428840596896,696,2.39
61, P-n50-k7,610.5566769508521,554,1.82
62,P-n50-k8,686.3850961993777,649,2.13
63,P-n51-k10,801.0340583242647,745,2.58
64,P-n55-k10,739.3434329492227,669,2.17
65,P-n55-k15,987.1502354544364,856,3.41
66,P-n55-k7,626.1813077169431,524,1.95
67,P-n55-k8,628.9068468105927,576,2.11
68,P-n60-k10,818.7125237130529,706,2.56
69,P-n60-k15,1037.9800392338534,905,3.3
70,P-n65-k10,864.9676651500375,792,2.57
71,P-n70-k10,897.1494164061105,834,2.6
72,P-n76-k4,689.8643419570423,589,1.86
73,P-n76-k5,715.1520531763582,631,2.23
