,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,2.4
1,A-n33-k5,725.7460583136552,661,1.85
2,A-n33-k6,748.0026140516303,742,2.03
3,A-n34-k5,803.6228077661461,778,1.95
4,A-n36-k5,888.3972541930066,799,1.92
5,A-n37-k5,695.7515043526787,669,1.95
6,A-n37-k6,1008.524712982598,949,2.2
7,A-n38-k5,789.7874797819751,730,2.13
8,A-n39-k5,928.6690980089667,822,2.28
9,A-n39-k6,927.227575032422,831,2.03
10,A-n44-k6,992.3406942236411,937,2.53
11,A-n45-k6,1031.1273738065145,944,2.16
12,A-n45-k7,1171.6329563624051,1146,2.21
13,A-n46-k7,974.7233964758695,914,2.16
14,A-n48-k7,1162.993467321059,1073,2.44
15,A-n53-k7,1098.3805430627108,1010,2.45
16,A-n54-k7,1232.6840996187316,1167,2.45
17,A-n55-k9,1140.3839382540716,1073,2.58
18,A-n60-k9,1450.7471638251127,1408,2.7
19,A-n61-k9,1087.9100740346082,1035,2.66
20,A-n62-k8,1395.0391166924064,1290,2.85
21,A-n63-k10,1415.8548560874704,1315,2.78
22,A-n63-k9,1701.8982895011475,1634,2.76
23,A-n64-k9,1487.9492853460351,1402,2.78
24,A-n65-k9,1308.9435773813655,1177,2.65
25,A-n69-k9,1260.666690666011,1168,2.87
26,A-n80-k10,1934.9103349386075,1764,3.04
27,B-n31-k5,686.8326540631386,672,2.01
28,B-n34-k5,822.7020211855198,788,2.03
29,B-n35-k5,1018.1846712216064,955,2.62
30,B-n38-k6,833.5174473651987,805,2.31
31,B-n39-k5,589.603645229098,549,2.14
32,B-n41-k6,909.3234304183632,829,2.52
33,B-n43-k6,768.1912699797424,742,2.08
34,B-n44-k7,962.5095657859758,909,4.1
35,B-n45-k5,774.7104690896065,751,2.54
36,B-n45-k6,739.0594345269228,678,2.45
37,B-n50-k7,770.955537631349,741,2.3
38,B-n50-k8,1355.6616092402355,1313,2.9
39,B-n51-k7,1190.793620103752,1032,2.74
40,B-n52-k7,816.6986440056786,747,2.38
41,B-n56-k7,763.3767224809532,707,2.73
42,B-n57-k7,1289.3861923561844,1153,2.95
43,B-n57-k9,1659.8690784348762,1598,2.41
44,B-n63-k10,1634.5968022983968,1537,2.75
45,B-n64-k9,919.1799530763576,861,3.0
46,B-n66-k9,1420.414944394819,1374,3.42
47,B-n67-k10,1127.4111159225142,1033,2.62
48,B-n68-k9,1342.7410308974265,1304,3.09
49,B-n78-k10,1339.6423951857712,1266,3.69
50,P-n101-k4,778.3138909186638,681,2.71
51,P-n16-k8,451.9470921298185,435,2.92
52,P-n19-k2,220.64313526472102,212,1.77
53, P-n20-k2,240.3447216178957,220,1.69
54,P-n21-k2,236.36787355950128,211,1.74
55,P-n22-k2,238.9631767872793,216,1.51
56,P-n22-k8,589.3916936935431,603,2.78
57,P-n23-k8,554.3058928336959,554,2.7
58,P-n40-k5.vrp,524.0380029267802,458,2.27
59,P-n45-k5,559.7146231771044,510,2.12
60,P-n50-k10,742.3564313167955,696,2.78
61, P-n50-k7,606.9741886468564,554,2.54
62,P-n50-k8,686.8828458368425,649,2.49
63,P-n51-k10,800.8761508364161,745,2.94
64,P-n55-k10,739.7186131711898,669,2.57
65,P-n55-k15,976.9532920727817,856,3.41
66,P-n55-k7,609.8993976330403,524,2.45
67,P-n55-k8,628.9068468105927,576,2.6
68,P-n60-k10,818.7125237130529,706,2.83
69,P-n60-k15,1026.9689853829793,905,3.26
70,P-n65-k10,868.0018008057699,792,2.97
71,P-n70-k10,896.9101499927704,834,2.83
72,P-n76-k4,680.87170852553,589,2.39
73,P-n76-k5,703.6738896255417,631,2.62
