,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,2.67
1,A-n33-k5,726.0443968088298,661,2.71
2,A-n33-k6,753.4638559892887,742,2.68
3,A-n34-k5,820.6170791849404,778,3.03
4,A-n36-k5,888.3972541930066,799,2.48
5,A-n37-k5,741.8801892296074,669,2.63
6,A-n37-k6,1008.707424359539,949,2.98
7,A-n38-k5,800.2354071411835,730,2.79
8,A-n39-k5,930.7344242885116,822,4.1
9,A-n39-k6,929.5337220171537,831,2.29
10,A-n44-k6,1016.0297958496252,937,3.8
11,A-n45-k6,1031.1273738065145,944,2.98
12,A-n45-k7,1171.6329563624051,1146,2.72
13,A-n46-k7,986.026023744948,914,2.75
14,A-n48-k7,1191.9668283885421,1073,2.89
15,A-n53-k7,1116.3293602508134,1010,3.06
16,A-n54-k7,1233.3377392901225,1167,2.74
17,A-n55-k9,1145.8626503353262,1073,2.99
18,A-n60-k9,1450.7471638251127,1408,2.91
19,A-n61-k9,1097.9897383612338,1035,3.2
20,A-n62-k8,1402.1287555215656,1290,3.01
21,A-n63-k10,1416.174531512777,1315,3.72
22,A-n63-k9,1747.248291891921,1634,4.26
23,A-n64-k9,1501.3754207083718,1402,2.9
24,A-n65-k9,1309.2006216279726,1177,3.28
25,A-n69-k9,1275.8840346712748,1168,3.43
26,A-n80-k10,1952.2978446773825,1764,3.3
27,B-n31-k5,687.0442468700239,672,2.82
28,B-n34-k5,932.59306008254,788,2.69
29,B-n35-k5,1027.9240293959542,955,2.28
30,B-n38-k6,847.2728664130667,805,2.76
31,B-n39-k5,596.1051167748944,549,2.81
32,B-n41-k6,915.1084314817427,829,3.18
33,B-n43-k6,770.0547965806717,742,2.81
34,B-n44-k7,967.8107598188554,909,2.65
35,B-n45-k5,780.5619521819209,751,4.33
36,B-n45-k6,741.3862849329945,678,4.99
37,B-n50-k7,774.5519651958745,741,2.76
38,B-n50-k8,1371.2947542337793,1313,2.58
39,B-n51-k7,1196.4325926056704,1032,3.15
40,B-n52-k7,818.394925457431,747,2.92
41,B-n56-k7,760.4169952675876,707,3.36
42,B-n57-k7,1291.9233219785021,1153,3.56
43,B-n57-k9,1678.6924532106266,1598,3.01
44,B-n63-k10,1666.206191540416,1537,3.95
45,B-n64-k9,938.3800449614488,861,3.17
46,B-n66-k9,1430.1413746693327,1374,3.99
47,B-n67-k10,1127.6018889824186,1033,3.45
48,B-n68-k9,1351.4759113869995,1304,3.0
49,B-n78-k10,1350.008409731642,1266,3.35
50,P-n101-k4,777.9132378222495,681,3.62
51,P-n16-k8,478.7711300654122,435,9.46
52,P-n19-k2,220.64313526472102,212,5.36
53, P-n20-k2,240.98212302462625,220,2.54
54,P-n21-k2,241.87817088866103,211,2.63
55,P-n22-k2,249.24778279110046,216,2.57
56,P-n22-k8,589.3916936935431,603,9.01
57,P-n23-k8,555.1595578647857,554,3.93
58,P-n40-k5.vrp,524.0380029267802,458,2.95
59,P-n45-k5,572.0171459461702,510,2.59
60,P-n50-k10,746.0606730341716,696,3.34
61, P-n50-k7,617.015486614702,554,3.12
62,P-n50-k8,688.4360828763454,649,2.98
63,P-n51-k10,820.2020541686426,745,3.35
64,P-n55-k10,751.3797123668428,669,3.03
65,P-n55-k15,995.4406336342014,856,4.35
66,P-n55-k7,622.5240218806885,524,2.86
67,P-n55-k8,625.2495609743379,576,3.14
68,P-n60-k10,818.1720125207511,706,3.39
69,P-n60-k15,1039.6256785779392,905,3.53
70,P-n65-k10,877.1598378760773,792,3.36
71,P-n70-k10,894.2523356773132,834,3.36
72,P-n76-k4,690.9807143671533,589,3.66
73,P-n76-k5,725.7687961174374,631,3.14
