,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,828.501831237014,784,3.47
1,A-n33-k5,767.5863565569575,661,2.12
2,A-n33-k6,869.0320945906188,742,2.42
3,A-n34-k5,953.1674904635385,778,2.14
4,A-n36-k5,914.8453291776214,799,2.56
5,A-n37-k5,868.0994299678995,669,2.58
6,A-n37-k6,1134.6440474115766,949,2.48
7,A-n38-k5,889.130009793346,730,2.49
8,A-n39-k5,971.5543589704295,822,2.52
9,A-n39-k6,1056.967239082503,831,2.6
10,A-n44-k6,1160.3566931008781,937,2.66
11,A-n45-k6,1103.4939611503974,944,2.97
12,A-n45-k7,1274.3547119991526,1146,2.92
13,A-n46-k7,1152.0817611767052,914,2.96
14,A-n48-k7,1373.4608990851448,1073,2.82
15,A-n53-k7,1244.8317240498245,1010,2.84
16,A-n54-k7,1429.3149443938632,1167,3.06
17,A-n55-k9,1286.2131852922253,1073,3.26
18,A-n60-k9,1648.5415389657796,1408,3.36
19,A-n61-k9,1408.7192718919755,1035,3.04
20,A-n62-k8,1659.4711358233935,1290,3.77
21,A-n63-k10,1546.7634506559002,1315,3.54
22,A-n63-k9,2012.2249742573274,1634,3.06
23,A-n64-k9,1683.2036948346772,1402,3.58
24,A-n65-k9,1484.6364254073999,1177,3.72
25,A-n69-k9,1546.9516286444323,1168,3.38
26,A-n80-k10,2295.5431914012315,1764,4.07
27,B-n31-k5,706.3929282911504,672,2.43
28,B-n34-k5,934.4820518290411,788,2.6
29,B-n35-k5,1047.2416057694738,955,2.33
30,B-n38-k6,887.7672233974577,805,2.93
31,B-n39-k5,647.8047416024074,549,2.46
32,B-n41-k6,1015.9621323334361,829,2.2
33,B-n43-k6,923.8320929058563,742,2.72
34,B-n44-k7,1088.4452136170084,909,2.66
35,B-n45-k5,939.3806148401138,751,2.63
36,B-n45-k6,774.8752670820527,678,2.79
37,B-n50-k7,913.1904892854292,741,2.74
38,B-n50-k8,1484.2567282397335,1313,3.15
39,B-n51-k7,1193.0613176489176,1032,3.15
40,B-n52-k7,1054.4209328886868,747,2.69
41,B-n56-k7,1000.1438390544248,707,3.3
42,B-n57-k7,1292.1501458286007,1153,3.62
43,B-n57-k9,1795.4821519665122,1598,3.88
44,B-n63-k10,1893.966261032798,1537,3.64
45,B-n64-k9,1143.9141393203577,861,4.27
46,B-n66-k9,1733.5809582516324,1374,3.48
47,B-n67-k10,1253.7151066268727,1033,3.93
48,B-n68-k9,1552.4169850377132,1304,3.84
49,B-n78-k10,1691.2824812889646,1266,5.42
50,P-n101-k4,1214.0482714852888,681,3.67
51,P-n16-k8,451.33508020861797,435,3.9
52,P-n19-k2,265.30242790426837,212,1.91
53, P-n20-k2,268.43348432801497,220,1.91
54,P-n21-k2,235.02040007726305,211,2.06
55,P-n22-k2,260.4833894257366,216,2.42
56,P-n22-k8,634.4471463238789,603,4.08
57,P-n23-k8,589.5169894334051,554,3.52
58,P-n40-k5.vrp,527.7678082639349,458,2.48
59,P-n45-k5,648.8556722954285,510,2.73
60,P-n50-k10,843.7616078808826,696,3.34
61, P-n50-k7,657.0587525013268,554,3.03
62,P-n50-k8,752.2161238928958,649,3.83
63,P-n51-k10,932.5528531012723,745,4.53
64,P-n55-k10,843.1834637961329,669,4.13
65,P-n55-k15,1069.2698626162312,856,8.41
66,P-n55-k7,641.3766393025008,524,3.17
67,P-n55-k8,706.3676997768954,576,3.08
68,P-n60-k10,950.798277969121,706,3.71
69,P-n60-k15,1123.53082873371,905,4.13
70,P-n65-k10,998.4003143516319,792,5.53
71,P-n70-k10,1041.979087727717,834,3.88
72,P-n76-k4,905.9787611026211,589,2.9
73,P-n76-k5,878.9383887839351,631,3.2
