,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,896.275863442975,784,2.24
1,A-n33-k5,728.339495281652,661,2.2
2,A-n33-k6,772.3910012652614,742,2.01
3,A-n34-k5,911.2283745541147,778,1.96
4,A-n36-k5,999.2010621753465,799,2.02
5,A-n37-k5,872.6784803182753,669,2.17
6,A-n37-k6,1111.2800480430465,949,2.3
7,A-n38-k5,1009.7747442976988,730,2.05
8,A-n39-k5,999.9030319852269,822,2.12
9,A-n39-k6,990.6909679389369,831,2.27
10,A-n44-k6,1102.1608050699012,937,2.09
11,A-n45-k6,1171.7011516937973,944,2.57
12,A-n45-k7,1287.5494366116955,1146,2.61
13,A-n46-k7,1036.744200484611,914,2.69
14,A-n48-k7,1381.843853572931,1073,2.46
15,A-n53-k7,1280.5938379304644,1010,2.9
16,A-n54-k7,1433.2903802946826,1167,2.73
17,A-n55-k9,1233.7014921956597,1073,2.96
18,A-n60-k9,1561.7512301077231,1408,3.39
19,A-n61-k9,1250.6166953963548,1035,3.53
20,A-n62-k8,1640.1214339945973,1290,2.63
21,A-n63-k10,1529.3729840747121,1315,3.38
22,A-n63-k9,1851.4880582069375,1634,3.44
23,A-n64-k9,1704.1882505987564,1402,3.19
24,A-n65-k9,1457.1598091531648,1177,3.29
25,A-n69-k9,1577.5300740995397,1168,2.88
26,A-n80-k10,2138.8812307276,1764,3.31
27,B-n31-k5,688.6472805135343,672,2.11
28,B-n34-k5,842.62722792512,788,2.35
29,B-n35-k5,1076.3211141037018,955,1.98
30,B-n38-k6,979.3824709818056,805,2.35
31,B-n39-k5,758.544917273678,549,2.13
32,B-n41-k6,935.8537814529459,829,2.12
33,B-n43-k6,903.6600129147455,742,2.91
34,B-n44-k7,1073.6867325291685,909,2.39
35,B-n45-k5,991.5920554945192,751,1.94
36,B-n45-k6,786.3093397432568,678,2.61
37,B-n50-k7,957.8132059156567,741,2.59
38,B-n50-k8,1365.6310880957562,1313,2.5
39,B-n51-k7,1188.7377314386151,1032,2.78
40,B-n52-k7,964.5876463267947,747,2.58
41,B-n56-k7,821.6854928692502,707,2.77
42,B-n57-k7,1462.7963372181002,1153,3.19
43,B-n57-k9,1910.8504093341478,1598,4.14
44,B-n63-k10,1724.9017773625462,1537,4.45
45,B-n64-k9,1077.2132248192324,861,3.31
46,B-n66-k9,1612.1268220818254,1374,3.14
47,B-n67-k10,1349.0692769787554,1033,3.27
48,B-n68-k9,1609.3183220281214,1304,3.3
49,B-n78-k10,1527.2143185071595,1266,3.3
50,P-n101-k4,1233.1630709264937,681,3.62
51,P-n16-k8,455.03099685588836,435,2.23
52,P-n19-k2,263.73845339057885,212,1.34
53, P-n20-k2,308.77092736047337,220,1.5
54,P-n21-k2,252.24731693497625,211,1.52
55,P-n22-k2,291.31288616008646,216,1.33
56,P-n22-k8,598.524703937997,603,2.3
57,P-n23-k8,545.6256474824781,554,2.23
58,P-n40-k5.vrp,570.3829825300252,458,2.15
59,P-n45-k5,569.0943573236829,510,2.07
60,P-n50-k10,765.9433316954905,696,3.29
61, P-n50-k7,652.7906340899426,554,2.31
62,P-n50-k8,753.306262461979,649,2.66
63,P-n51-k10,890.5860069484974,745,3.04
64,P-n55-k10,776.6028062854964,669,2.89
65,P-n55-k15,1060.2923223906387,856,5.47
66,P-n55-k7,669.8750357663199,524,2.92
67,P-n55-k8,638.4513709465866,576,2.6
68,P-n60-k10,888.0004474095672,706,3.45
69,P-n60-k15,1121.279939832883,905,3.89
70,P-n65-k10,988.7773906880763,792,3.5
71,P-n70-k10,950.7076113750672,834,3.46
72,P-n76-k4,907.6165577946325,589,2.65
73,P-n76-k5,972.9330443144379,631,2.78
