,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,950.3524507525061,784,2.51
1,A-n33-k5,801.6572223975099,661,2.41
2,A-n33-k6,869.0104732883557,742,3.35
3,A-n34-k5,950.591364083034,778,2.7
4,A-n36-k5,1008.8495772995527,799,2.43
5,A-n37-k5,933.231900751399,669,2.75
6,A-n37-k6,1142.9054137852838,949,2.88
7,A-n38-k5,1037.50411387341,730,2.75
8,A-n39-k5,1215.8082683754387,822,2.64
9,A-n39-k6,1113.207224693227,831,2.8
10,A-n44-k6,1142.5566673170508,937,3.1
11,A-n45-k6,1318.4367529666404,944,3.14
12,A-n45-k7,1334.414068615054,1146,3.5
13,A-n46-k7,1114.9327386923871,914,2.83
14,A-n48-k7,1317.154582137164,1073,3.03
15,A-n53-k7,1414.9981822473349,1010,3.09
16,A-n54-k7,1459.9195821826843,1167,4.04
17,A-n55-k9,1404.9893497791159,1073,3.52
18,A-n60-k9,1691.0370132147932,1408,3.25
19,A-n61-k9,1323.5571083761015,1035,3.73
20,A-n62-k8,1725.6723360626243,1290,3.1
21,A-n63-k10,1680.5729391981836,1315,3.94
22,A-n63-k9,2061.5002150351047,1634,3.64
23,A-n64-k9,1694.6970526566695,1402,3.73
24,A-n65-k9,1625.9161958403563,1177,3.62
25,A-n69-k9,1503.6846745846572,1168,3.57
26,A-n80-k10,2418.5710182741204,1764,3.9
27,B-n31-k5,744.3033835980884,672,2.3
28,B-n34-k5,1037.6142367226516,788,2.88
29,B-n35-k5,1179.532469959437,955,2.32
30,B-n38-k6,879.583332329318,805,2.77
31,B-n39-k5,734.6486471275798,549,2.42
32,B-n41-k6,1088.00577432732,829,2.71
33,B-n43-k6,878.2662414816737,742,2.72
34,B-n44-k7,1088.1177648312776,909,2.67
35,B-n45-k5,1007.441446618248,751,2.46
36,B-n45-k6,843.1969463336238,678,2.47
37,B-n50-k7,1105.348164564758,741,2.63
38,B-n50-k8,1483.2317978584815,1313,2.98
39,B-n51-k7,1374.253548769584,1032,3.44
40,B-n52-k7,1116.452422325653,747,2.76
41,B-n56-k7,971.4687196837206,707,2.89
42,B-n57-k7,1439.9808404658866,1153,4.66
43,B-n57-k9,1931.2175588214834,1598,3.13
44,B-n63-k10,1772.670595750984,1537,3.68
45,B-n64-k9,1131.8861588211905,861,3.59
46,B-n66-k9,1596.7902160102303,1374,2.96
47,B-n67-k10,1337.2466170243938,1033,3.4
48,B-n68-k9,1649.9373692320244,1304,3.78
49,B-n78-k10,1618.6836019160087,1266,4.37
50,P-n101-k4,1173.6448308007032,681,3.69
51,P-n16-k8,465.84494869175063,435,2.85
52,P-n19-k2,299.81931000909117,212,1.84
53, P-n20-k2,329.3026722813902,220,1.91
54,P-n21-k2,284.8344495289,211,2.19
55,P-n22-k2,283.99437310750534,216,2.13
56,P-n22-k8,617.8335681227402,603,3.04
57,P-n23-k8,580.6542577305822,554,3.24
58,P-n40-k5.vrp,625.8472751805957,458,2.54
59,P-n45-k5,705.8750115899196,510,2.68
60,P-n50-k10,870.1395727012712,696,3.48
61, P-n50-k7,733.146123255727,554,3.99
62,P-n50-k8,776.7357983546538,649,3.23
63,P-n51-k10,911.792943221302,745,3.57
64,P-n55-k10,828.7367798865203,669,3.32
65,P-n55-k15,1071.7463714206408,856,4.38
66,P-n55-k7,721.1792614361516,524,2.93
67,P-n55-k8,792.8616046011285,576,2.82
68,P-n60-k10,917.2752455538723,706,4.11
69,P-n60-k15,1119.585488884312,905,4.68
70,P-n65-k10,994.0419037959871,792,4.99
71,P-n70-k10,1039.9059943061109,834,3.99
72,P-n76-k4,956.92272001322,589,3.8
73,P-n76-k5,994.7428079836667,631,3.26
