,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,971.5848744946527,784,3.18
1,A-n33-k5,837.0910712720781,661,2.61
2,A-n33-k6,919.1289143672667,742,12.03
3,A-n34-k5,983.3254114993097,778,2.95
4,A-n36-k5,1096.4103432392058,799,2.47
5,A-n37-k5,1005.6801314754924,669,2.25
6,A-n37-k6,1235.2741244662732,949,4.31
7,A-n38-k5,1019.1243729154587,730,6.93
8,A-n39-k5,1072.887238890966,822,3.23
9,A-n39-k6,1098.8190377213234,831,15.39
10,A-n44-k6,1339.4469094535455,937,2.62
11,A-n45-k6,1177.1967462920065,944,3.21
12,A-n45-k7,1487.7061656513697,1146,4.92
13,A-n46-k7,1137.478464960493,914,4.07
14,A-n48-k7,1388.770833152937,1073,3.29
15,A-n53-k7,1469.2681882043803,1010,3.88
16,A-n54-k7,1449.2491561869895,1167,3.13
17,A-n55-k9,1373.708296545478,1073,3.21
18,A-n60-k9,1636.2658335923636,1408,3.58
19,A-n61-k9,1503.1902957783573,1035,3.6
20,A-n62-k8,1725.5129838145062,1290,3.25
21,A-n63-k10,1729.8001189225733,1315,3.68
22,A-n63-k9,2115.7794322978584,1634,6.0
23,A-n64-k9,1928.154183317456,1402,3.76
24,A-n65-k9,1674.6106032094424,1177,4.57
25,A-n69-k9,1642.0466318059866,1168,3.87
26,A-n80-k10,2415.397506825653,1764,4.57
27,B-n31-k5,738.0252329305172,672,3.83
28,B-n34-k5,1017.9752880869278,788,2.69
29,B-n35-k5,1168.7476794716995,955,4.16
30,B-n38-k6,899.6855327068778,805,2.69
31,B-n39-k5,684.0776618119535,549,3.17
32,B-n41-k6,970.3314965685482,829,2.71
33,B-n43-k6,866.4939606975872,742,3.33
34,B-n44-k7,1106.1510011884545,909,3.0
35,B-n45-k5,1299.2379566201193,751,2.78
36,B-n45-k6,894.3747927295772,678,3.21
37,B-n50-k7,1167.759430399678,741,2.93
38,B-n50-k8,1471.7954604609356,1313,4.36
39,B-n51-k7,1539.994336385073,1032,3.46
40,B-n52-k7,1265.654118311922,747,2.65
41,B-n56-k7,1025.1183528657114,707,3.09
42,B-n57-k7,1686.1786852137939,1153,2.9
43,B-n57-k9,1852.114074593628,1598,3.56
44,B-n63-k10,2056.840136607649,1537,3.55
45,B-n64-k9,1342.3774474028673,861,4.1
46,B-n66-k9,1846.2186952352465,1374,4.36
47,B-n67-k10,1468.683960779528,1033,3.89
48,B-n68-k9,1837.7747343824585,1304,3.96
49,B-n78-k10,1851.2863127968105,1266,3.55
50,P-n101-k4,1458.4637669691062,681,3.93
51,P-n16-k8,451.9470921298185,435,3.04
52,P-n19-k2,313.35562046495966,212,1.99
53, P-n20-k2,340.23112763667217,220,1.49
54,P-n21-k2,295.9607123174432,211,2.27
55,P-n22-k2,313.43124025019796,216,1.88
56,P-n22-k8,593.4375936688567,603,2.97
57,P-n23-k8,557.8696850561606,554,3.86
58,P-n40-k5.vrp,593.8985335196389,458,3.04
59,P-n45-k5,666.8867901774081,510,3.76
60,P-n50-k10,864.9935412184598,696,3.04
61, P-n50-k7,750.4788235989026,554,2.85
62,P-n50-k8,805.6749458202871,649,3.12
63,P-n51-k10,923.4359122439282,745,3.29
64,P-n55-k10,816.2954450813162,669,4.22
65,P-n55-k15,1045.3497016237159,856,4.62
66,P-n55-k7,805.8555950346909,524,3.23
67,P-n55-k8,796.9492095547695,576,3.66
68,P-n60-k10,1016.7497082503867,706,7.75
69,P-n60-k15,1165.033811576414,905,4.29
70,P-n65-k10,1043.8869303817976,792,3.4
71,P-n70-k10,1147.9412392108834,834,3.9
72,P-n76-k4,1213.0308331210394,589,3.43
73,P-n76-k5,1232.085973395293,631,3.68
