,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1058.050929,784,3.56
1,A-n33-k5,856.3593691,661,4.46
2,A-n33-k6,970.5936242999999,742,3.83
3,A-n34-k5,1019.056801,778,2.94
4,A-n36-k5,1176.378834,799,3.86
5,A-n37-k5,1006.629552,669,6.86
6,A-n37-k6,1141.887882,949,3.64
7,A-n38-k5,1049.158924,730,3.68
8,A-n39-k5,1227.827405,822,6.84
9,A-n39-k6,1120.1671800000001,831,6.28
10,A-n44-k6,1358.567825,937,3.24
11,A-n45-k6,1429.397114,944,3.3
12,A-n45-k7,1406.07279,1146,4.34
13,A-n46-k7,1219.542834,914,3.81
14,A-n48-k7,1415.907044,1073,3.73
15,A-n53-k7,1540.9997759999999,1010,6.63
16,A-n54-k7,1682.0741030000002,1167,4.37
17,A-n55-k9,1491.237697,1073,6.01
18,A-n60-k9,1733.3021850000002,1408,4.13
19,A-n61-k9,1392.6926210000001,1035,5.73
20,A-n62-k8,1925.342833,1290,4.65
21,A-n63-k10,1764.0359640000001,1315,4.06
22,A-n63-k9,1967.7015489999999,1634,3.86
23,A-n64-k9,1902.273563,1402,3.76
24,A-n65-k9,1700.655888,1177,4.1
25,A-n69-k9,1630.655186,1168,3.58
26,A-n80-k10,2673.2975690000003,1764,5.05
27,B-n31-k5,767.6578487490779,672,3.09
28,B-n34-k5,1031.6444323903977,788,3.11
29,B-n35-k5,1314.4612631964364,955,4.1
30,B-n38-k6,937.0863416504469,805,3.56
31,B-n39-k5,724.9910436963268,549,3.48
32,B-n41-k6,1080.0450134003972,829,3.47
33,B-n43-k6,979.5434903411883,742,3.98
34,B-n44-k7,1217.8713303355114,909,4.15
35,B-n45-k5,1274.3378698136514,751,3.8
36,B-n45-k6,1003.758755418905,678,4.65
37,B-n50-k7,1181.0308829601486,741,3.88
38,B-n50-k8,1487.8331522565545,1313,3.34
39,B-n51-k7,1492.5140057289511,1032,3.62
40,B-n52-k7,1268.4261541399028,747,6.14
41,B-n56-k7,1271.8293349907574,707,3.99
42,B-n57-k7,1786.8634421293564,1153,4.56
43,B-n57-k9,1964.3912670488946,1598,4.7
44,B-n63-k10,1941.2093502980952,1537,5.22
45,B-n64-k9,1475.7860753266925,861,4.03
46,B-n66-k9,1719.3037181514965,1374,4.25
47,B-n67-k10,1476.338329452416,1033,4.23
48,B-n68-k9,1665.840967898465,1304,4.45
49,B-n78-k10,1907.248970064073,1266,6.27
50,P-n101-k4,1571.045036291609,681,5.46
51,P-n16-k8,454.3983428045983,435,3.17
52,P-n19-k2,304.02434763169435,212,3.18
53, P-n20-k2,259.79898820282244,220,5.65
54,P-n21-k2,300.4767621006061,211,2.75
55,P-n22-k2,309.1330055219454,216,3.62
56,P-n22-k8,631.3242893181928,603,10.12
57,P-n23-k8,568.6306852903074,554,3.4
58,P-n40-k5.vrp,656.7278885703963,458,3.13
59,P-n45-k5,736.5057672034471,510,3.34
60,P-n50-k10,907.5408712594096,696,5.12
61, P-n50-k7,711.7125892337299,554,11.98
62,P-n50-k8,761.9597688750099,649,4.82
63,P-n51-k10,1002.1841183203253,745,5.26
64,P-n55-k10,941.8699534507848,669,4.13
65,P-n55-k15,1102.7975633162143,856,5.14
66,P-n55-k7,909.5472092644541,524,4.28
67,P-n55-k8,822.3182726837238,576,3.61
68,P-n60-k10,983.4847204477437,706,5.44
69,P-n60-k15,1134.2060320019325,905,6.03
70,P-n65-k10,1113.0581289561958,792,3.99
71,P-n70-k10,1106.2447735154049,834,5.81
72,P-n76-k4,1243.4828708752464,589,3.81
73,P-n76-k5,1166.774851379634,631,9.14
