,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1272.4574026604032,784,4.5
1,A-n33-k5,882.2276385081755,661,3.35
2,A-n33-k6,923.4849424309093,742,4.48
3,A-n34-k5,924.9942888580143,778,3.53
4,A-n36-k5,1019.8606845635803,799,10.42
5,A-n37-k5,893.5245851950261,669,3.82
6,A-n37-k6,1151.604702725239,949,2.87
7,A-n38-k5,991.4446568307384,730,3.89
8,A-n39-k5,1058.0313590253807,822,5.06
9,A-n39-k6,1121.2246143933328,831,3.46
10,A-n44-k6,1294.5232062489033,937,3.01
11,A-n45-k6,1203.4376097135687,944,5.38
12,A-n45-k7,1412.759344032232,1146,2.83
13,A-n46-k7,1175.4722405075356,914,3.84
14,A-n48-k7,1344.087445105662,1073,2.95
15,A-n53-k7,1360.7298475003345,1010,4.88
16,A-n54-k7,1612.6692336029655,1167,3.91
17,A-n55-k9,1502.524675522771,1073,5.78
18,A-n60-k9,1825.3811967502845,1408,3.64
19,A-n61-k9,1423.102239145596,1035,6.18
20,A-n62-k8,1901.074409488778,1290,3.56
21,A-n63-k10,1716.7477552862042,1315,4.28
22,A-n63-k9,2153.3083697809343,1634,4.73
23,A-n64-k9,1929.9074032909507,1402,5.56
24,A-n65-k9,1724.3844216721152,1177,5.47
25,A-n69-k9,1920.6951968574679,1168,8.14
26,A-n80-k10,2590.4012776788213,1764,6.1
27,B-n31-k5,846.1098934526697,672,2.93
28,B-n34-k5,983.4815465383447,788,4.91
29,B-n35-k5,1164.3800325852326,955,3.53
30,B-n38-k6,1001.7157990169845,805,5.05
31,B-n39-k5,1001.9879439251622,549,3.1
32,B-n41-k6,1168.6201167280553,829,2.98
33,B-n43-k6,886.6897961956005,742,4.81
34,B-n44-k7,1062.6929699148577,909,3.65
35,B-n45-k5,1166.4241498221734,751,4.04
36,B-n45-k6,913.086721838392,678,4.4
37,B-n50-k7,1061.2919058034013,741,3.68
38,B-n50-k8,1558.9437840961355,1313,3.63
39,B-n51-k7,1364.022604476476,1032,4.24
40,B-n52-k7,1190.6460717871546,747,7.88
41,B-n56-k7,1082.5299586650026,707,4.01
42,B-n57-k7,1626.6762328039515,1153,4.8
43,B-n57-k9,1988.7854405519388,1598,3.47
44,B-n63-k10,2147.663792837103,1537,4.01
45,B-n64-k9,1351.4922505292654,861,3.96
46,B-n66-k9,1660.7678129625822,1374,3.74
47,B-n67-k10,1626.753499656241,1033,5.21
48,B-n68-k9,1716.5193614184545,1304,3.91
49,B-n78-k10,1824.0465419421203,1266,4.57
50,P-n101-k4,1448.8222412008206,681,5.7
51,P-n16-k8,464.0690944248491,435,2.89
52,P-n19-k2,297.4976276626437,212,3.28
53, P-n20-k2,285.5341949971481,220,2.72
54,P-n21-k2,290.6965047957277,211,2.69
55,P-n22-k2,295.41916423476124,216,6.67
56,P-n22-k8,608.2924867771702,603,3.46
57,P-n23-k8,575.9825802028712,554,4.48
58,P-n40-k5.vrp,716.2642193297975,458,11.44
59,P-n45-k5,738.30030358138,510,3.6
60,P-n50-k10,875.0432150746444,696,5.45
61, P-n50-k7,760.9712799254214,554,3.46
62,P-n50-k8,768.8471493306844,649,3.69
63,P-n51-k10,979.195532056226,745,4.17
64,P-n55-k10,829.3832834336447,669,4.87
65,P-n55-k15,1109.9747951827603,856,4.65
66,P-n55-k7,737.6841611817651,524,3.51
67,P-n55-k8,838.5721457533756,576,5.34
68,P-n60-k10,1033.3508421757954,706,4.67
69,P-n60-k15,1154.3840365496199,905,4.64
70,P-n65-k10,1079.4603082945737,792,14.57
71,P-n70-k10,1157.6534986013407,834,3.76
72,P-n76-k4,1065.2362328839104,589,3.75
73,P-n76-k5,1203.9670601752505,631,4.13
