,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1246.3298192386044,784,6.06
1,A-n33-k5,952.7593825470682,661,3.89
2,A-n33-k6,1073.2113434611006,742,3.55
3,A-n34-k5,1099.6863652978577,778,4.22
4,A-n36-k5,1180.362870105744,799,6.41
5,A-n37-k5,1250.774353212043,669,8.82
6,A-n37-k6,1323.0317315830991,949,8.35
7,A-n38-k5,1170.2346494991168,730,5.51
8,A-n39-k5,1210.5439523583425,822,5.79
9,A-n39-k6,1257.5660922231893,831,5.71
10,A-n44-k6,1429.9069439982784,937,8.27
11,A-n45-k6,1531.5255952871241,944,5.56
12,A-n45-k7,1528.4362400234174,1146,4.74
13,A-n46-k7,1576.1553827962368,914,4.42
14,A-n48-k7,1575.45761505619,1073,5.56
15,A-n53-k7,1677.2505231902694,1010,5.11
16,A-n54-k7,1654.3916482781347,1167,5.39
17,A-n55-k9,1686.1516553431434,1073,15.74
18,A-n60-k9,2047.0604511184736,1408,5.25
19,A-n61-k9,1704.434643647309,1035,4.97
20,A-n62-k8,2077.124913004751,1290,8.25
21,A-n63-k10,1971.5933900802916,1315,6.63
22,A-n63-k9,2426.005534378404,1634,7.34
23,A-n64-k9,2135.607741356858,1402,5.58
24,A-n65-k9,1929.1777686051919,1177,6.52
25,A-n69-k9,1903.8078038687927,1168,5.1
26,A-n80-k10,2826.3351933663243,1764,7.3
27,B-n31-k5,899.4257646915421,672,5.23
28,B-n34-k5,1010.3465526892579,788,4.88
29,B-n35-k5,1316.9770048891216,955,3.77
30,B-n38-k6,1135.0332804396808,805,4.57
31,B-n39-k5,1121.1808358414123,549,5.41
32,B-n41-k6,1144.3180648930008,829,4.36
33,B-n43-k6,1075.0178690882651,742,5.07
34,B-n44-k7,1229.3263113574135,909,6.79
35,B-n45-k5,1273.7595724748762,751,25.27
36,B-n45-k6,1016.7835308566116,678,4.82
37,B-n50-k7,1275.7069997930078,741,5.81
38,B-n50-k8,1608.611415185443,1313,5.69
39,B-n51-k7,1583.2747225624719,1032,4.96
40,B-n52-k7,1287.90153989742,747,6.12
41,B-n56-k7,1195.8360249227878,707,6.96
42,B-n57-k7,1961.579059972107,1153,5.08
43,B-n57-k9,2052.4520645180846,1598,5.64
44,B-n63-k10,2086.455653296947,1537,12.49
45,B-n64-k9,1445.2079919509024,861,6.84
46,B-n66-k9,2025.301950609284,1374,7.62
47,B-n67-k10,1807.7926513300665,1033,6.19
48,B-n68-k9,1915.112038114899,1304,5.17
49,B-n78-k10,2037.4812460823969,1266,5.18
50,P-n101-k4,1699.9598292502426,681,18.68
51,P-n16-k8,466.180762787662,435,3.85
52,P-n19-k2,349.5664006542394,212,0.77
53, P-n20-k2,348.67451512510627,220,0.82
54,P-n21-k2,360.95002179030746,211,0.79
55,P-n22-k2,363.913908581146,216,0.73
56,P-n22-k8,638.6123095493907,603,6.31
57,P-n23-k8,572.9712259643492,554,6.15
58,P-n40-k5.vrp,702.263586476806,458,6.53
59,P-n45-k5,900.895273430252,510,5.36
60,P-n50-k10,964.4731999743117,696,5.64
61, P-n50-k7,855.3860226508957,554,6.33
62,P-n50-k8,897.5152776835522,649,6.89
63,P-n51-k10,1036.0973682900317,745,6.04
64,P-n55-k10,1029.4025928151934,669,6.1
65,P-n55-k15,1223.162786253678,856,6.95
66,P-n55-k7,874.7602925605512,524,6.46
67,P-n55-k8,978.9440319369023,576,6.74
68,P-n60-k10,1049.36162019936,706,5.91
69,P-n60-k15,1299.4105078916741,905,9.5
70,P-n65-k10,1257.9207953391187,792,6.24
71,P-n70-k10,1356.6010069351594,834,9.26
72,P-n76-k4,1273.4449481969616,589,10.59
73,P-n76-k5,1363.776268193414,631,6.7
