,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1087.2608422616395,784,1.55
1,A-n33-k5,915.6124359550192,661,1.68
2,A-n33-k6,1120.8890173054108,742,1.97
3,A-n34-k5,1387.3523970689887,778,1.53
4,A-n36-k5,1118.3098773484571,799,1.44
5,A-n37-k5,898.7315916727707,669,1.71
6,A-n37-k6,1309.6343653942881,949,1.94
7,A-n38-k5,918.7793806790297,730,1.91
8,A-n39-k5,1500.3298113817675,822,1.91
9,A-n39-k6,1121.1900577888596,831,2.06
10,A-n44-k6,1550.7582335408715,937,1.94
11,A-n45-k6,1486.5643492798583,944,2.34
12,A-n45-k7,1703.8737260813666,1146,2.05
13,A-n46-k7,1172.1832271627288,914,1.82
14,A-n48-k7,1473.2455755028407,1073,2.16
15,A-n53-k7,1479.0480787635965,1010,2.19
16,A-n54-k7,1550.9041683067248,1167,2.12
17,A-n55-k9,2563.671788836853,1073,2.2
18,A-n60-k9,2171.219613046847,1408,2.56
19,A-n61-k9,1510.3543529175133,1035,2.72
20,A-n62-k8,2185.448738726449,1290,2.02
21,A-n63-k10,2339.3338832387576,1315,2.46
22,A-n63-k9,2381.911491029219,1634,3.96
23,A-n64-k9,2632.5861527213365,1402,2.42
24,A-n65-k9,1846.3880300078629,1177,2.78
25,A-n69-k9,1866.1095365485764,1168,2.57
26,A-n80-k10,3252.926634394912,1764,2.75
27,B-n31-k5,742.8773737256749,672,1.64
28,B-n34-k5,1076.1189165698113,788,2.04
29,B-n35-k5,1240.1180349824228,955,1.39
30,B-n38-k6,1134.1303373942947,805,1.8
31,B-n39-k5,698.9564754861965,549,1.51
32,B-n41-k6,1022.6703594793173,829,1.95
33,B-n43-k6,923.481779893504,742,1.67
34,B-n44-k7,1299.5762896296417,909,2.23
35,B-n45-k5,1017.7649433049643,751,2.11
36,B-n45-k6,836.2433822635095,678,2.11
37,B-n50-k7,1229.3638186659578,741,2.29
38,B-n50-k8,1710.9835513669816,1313,2.58
39,B-n51-k7,1570.8004028478174,1032,2.31
40,B-n52-k7,992.440810158468,747,3.13
41,B-n56-k7,1199.286052006405,707,2.15
42,B-n57-k7,1440.1840624272374,1153,2.61
43,B-n57-k9,2103.391270565707,1598,2.55
44,B-n63-k10,2264.337064396263,1537,2.43
45,B-n64-k9,1490.1007959816418,861,2.49
46,B-n66-k9,1835.67246443034,1374,2.8
47,B-n67-k10,1409.035906546792,1033,2.69
48,B-n68-k9,2346.4937348867115,1304,2.59
49,B-n78-k10,1675.5731912533133,1266,3.23
50,P-n101-k4,1199.6465006595681,681,2.47
51,P-n16-k8,484.6276396256375,435,2.03
52,P-n19-k2,321.7611983836714,212,1.18
53, P-n20-k2,301.40996186104354,220,1.3
54,P-n21-k2,345.0481067316143,211,0.83
55,P-n22-k2,387.5308223502386,216,0.92
56,P-n22-k8,709.420365884291,603,1.9
57,P-n23-k8,627.3465322197561,554,1.9
58,P-n40-k5.vrp,659.3585378205324,458,1.91
59,P-n45-k5,1047.399802110766,510,1.43
60,P-n50-k10,968.5725517630119,696,2.7
61, P-n50-k7,785.0881038285282,554,2.26
62,P-n50-k8,959.3278963325873,649,2.09
63,P-n51-k10,1034.7136189800424,745,2.74
64,P-n55-k10,1142.714712939763,669,2.39
65,P-n55-k15,1517.8929983920275,856,3.41
66,P-n55-k7,766.5258252895062,524,2.53
67,P-n55-k8,1051.7316515993107,576,1.97
68,P-n60-k10,1098.1116611724567,706,2.86
69,P-n60-k15,1508.0276010792184,905,3.7
70,P-n65-k10,1133.8988124045793,792,2.84
71,P-n70-k10,1206.9059649433698,834,3.09
72,P-n76-k4,1121.2073650971388,589,3.39
73,P-n76-k5,962.8715943209967,631,2.12
