,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1291.843427484323,784,1.69
1,A-n33-k5,1235.9980824168638,661,1.62
2,A-n33-k6,1297.168383380715,742,1.5
3,A-n34-k5,1237.998166631084,778,1.63
4,A-n36-k5,1351.6562915736756,799,2.31
5,A-n37-k5,1171.9789276133738,669,1.51
6,A-n37-k6,1523.7354986775415,949,2.36
7,A-n38-k5,1482.9644661547366,730,2.4
8,A-n39-k5,1345.3160215870155,822,1.74
9,A-n39-k6,1498.2726964764886,831,1.75
10,A-n44-k6,1528.0704698328354,937,2.08
11,A-n45-k6,1913.8334831379136,944,4.25
12,A-n45-k7,1752.5478921394442,1146,2.14
13,A-n46-k7,1591.6482220102914,914,2.13
14,A-n48-k7,1797.466381507255,1073,2.16
15,A-n53-k7,1915.8863001893783,1010,2.43
16,A-n54-k7,1974.812209029986,1167,2.25
17,A-n55-k9,2173.7412328425567,1073,2.25
18,A-n60-k9,2452.1463915261265,1408,2.2
19,A-n61-k9,2002.442657821597,1035,2.84
20,A-n62-k8,2460.701629495238,1290,2.63
21,A-n63-k10,2592.848380824511,1315,2.82
22,A-n63-k9,2619.8105895748004,1634,2.44
23,A-n64-k9,2470.0320654403627,1402,2.86
24,A-n65-k9,2523.7292076341746,1177,2.63
25,A-n69-k9,2457.2110703700364,1168,2.64
26,A-n80-k10,3419.604965881517,1764,2.93
27,B-n31-k5,861.9095570440647,672,1.52
28,B-n34-k5,1302.383388949628,788,1.93
29,B-n35-k5,1618.9271675867205,955,1.6
30,B-n38-k6,1352.3404213643112,805,1.77
31,B-n39-k5,1267.596545991163,549,1.64
32,B-n41-k6,1475.7401565349628,829,2.03
33,B-n43-k6,1260.2386068357673,742,1.87
34,B-n44-k7,1427.485438642908,909,2.25
35,B-n45-k5,1509.7156960230518,751,1.91
36,B-n45-k6,1228.3233963570574,678,1.86
37,B-n50-k7,1668.6154746714328,741,2.08
38,B-n50-k8,1858.7870338524215,1313,3.81
39,B-n51-k7,2323.039250741866,1032,3.2
40,B-n52-k7,1790.0052091800055,747,2.3
41,B-n56-k7,1646.0180612295694,707,2.25
42,B-n57-k7,2394.080278186929,1153,2.41
43,B-n57-k9,2643.6015633891034,1598,2.45
44,B-n63-k10,2911.8680981007287,1537,2.54
45,B-n64-k9,2169.7665455677984,861,2.6
46,B-n66-k9,2377.809336848396,1374,3.07
47,B-n67-k10,2282.180422371413,1033,2.81
48,B-n68-k9,2473.5409806518805,1304,2.65
49,B-n78-k10,2635.7457960549177,1266,3.66
50,P-n101-k4,1411.3295095456315,681,2.35
51,P-n16-k8,468.09574701282753,435,1.57
52,P-n19-k2,259.10640940303693,212,1.16
53, P-n20-k2,264.88259947727533,220,1.21
54,P-n21-k2,308.1739838365818,211,1.13
55,P-n22-k2,317.814727179398,216,1.29
56,P-n22-k8,713.2664914148746,603,1.82
57,P-n23-k8,641.3730183638099,554,1.96
58,P-n40-k5.vrp,831.7553700093579,458,1.75
59,P-n45-k5,1015.1485364028224,510,2.04
60,P-n50-k10,1305.6485182946064,696,2.5
61, P-n50-k7,1096.5774842124713,554,2.04
62,P-n50-k8,1145.2482613462353,649,2.96
63,P-n51-k10,1458.928996207343,745,2.84
64,P-n55-k10,1345.470881222318,669,2.41
65,P-n55-k15,1523.7892971852166,856,4.17
66,P-n55-k7,1192.337232664488,524,2.48
67,P-n55-k8,1176.6782898829622,576,2.22
68,P-n60-k10,1458.6860054601416,706,2.54
69,P-n60-k15,1724.3492055200365,905,3.53
70,P-n65-k10,1701.3325711846035,792,3.22
71,P-n70-k10,1745.5567323664982,834,2.67
72,P-n76-k4,1164.3437374527882,589,2.18
73,P-n76-k5,1408.5376666624122,631,2.26
