,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1048.5346812898538,784,2.45
1,A-n33-k5,915.4907341457578,661,2.48
2,A-n33-k6,926.5861524751848,742,2.48
3,A-n34-k5,991.4143401489152,778,2.81
4,A-n36-k5,1039.4992112350064,799,2.58
5,A-n37-k5,810.1282566504938,669,2.88
6,A-n37-k6,1241.0739030420875,949,2.6
7,A-n38-k5,1065.3493018075915,730,2.36
8,A-n39-k5,1090.1014356685894,822,2.6
9,A-n39-k6,1208.9474067322635,831,2.46
10,A-n44-k6,1307.2240396987474,937,2.63
11,A-n45-k6,1279.717484716698,944,2.62
12,A-n45-k7,1408.9462897342512,1146,2.89
13,A-n46-k7,1301.7753264493706,914,2.89
14,A-n48-k7,1300.5945618654248,1073,2.92
15,A-n53-k7,1460.9714781782445,1010,3.12
16,A-n54-k7,1560.607725658443,1167,3.56
17,A-n55-k9,1371.2852417743952,1073,3.45
18,A-n60-k9,1724.3203530591306,1408,3.2
19,A-n61-k9,1358.9001126536104,1035,3.42
20,A-n62-k8,1699.4080743492789,1290,3.24
21,A-n63-k10,1704.3233086726334,1315,3.71
22,A-n63-k9,2054.694246738773,1634,3.26
23,A-n64-k9,1778.2439716946274,1402,3.53
24,A-n65-k9,1595.3804498402624,1177,3.7
25,A-n69-k9,1562.5397573332746,1168,3.5
26,A-n80-k10,2468.918324786262,1764,4.23
27,B-n31-k5,750.5265421,672,2.46
28,B-n34-k5,884.3311140000001,788,2.79
29,B-n35-k5,1147.871001,955,2.62
30,B-n38-k6,1103.8959830000001,805,2.79
31,B-n39-k5,700.4501102999999,549,2.68
32,B-n41-k6,1106.362399,829,2.59
33,B-n43-k6,1101.937125,742,2.67
34,B-n44-k7,1249.329241,909,2.63
35,B-n45-k5,1203.937512,751,2.82
36,B-n45-k6,887.6955749,678,3.1
37,B-n50-k7,1066.98405,741,3.08
38,B-n50-k8,1474.316816,1313,3.39
39,B-n51-k7,1355.3198109999998,1032,3.23
40,B-n52-k7,1107.013238,747,3.04
41,B-n56-k7,979.6431748,707,3.13
42,B-n57-k7,1571.129336,1153,3.67
43,B-n57-k9,1891.063702,1598,3.33
44,B-n63-k10,2011.566224,1537,3.24
45,B-n64-k9,1232.8316029999999,861,3.56
46,B-n66-k9,1769.5696879999998,1374,3.46
47,B-n67-k10,1411.416768,1033,3.54
48,B-n68-k9,1775.328229,1304,3.51
49,B-n78-k10,1765.992887,1266,3.86
50,P-n101-k4,1312.4753703333702,681,4.1
51,P-n16-k8,454.0587604926312,435,2.47
52,P-n19-k2,292.66310554901463,212,1.77
53, P-n20-k2,299.08715130290216,220,2.02
54,P-n21-k2,232.1587561062661,211,1.79
55,P-n22-k2,292.2356308930086,216,1.93
56,P-n22-k8,623.876669752877,603,2.78
57,P-n23-k8,557.5015916196926,554,3.02
58,P-n40-k5.vrp,675.8904144891128,458,2.77
59,P-n45-k5,776.3811040555784,510,2.71
60,P-n50-k10,841.491102226266,696,3.62
61, P-n50-k7,807.3680483214803,554,3.47
62,P-n50-k8,786.0873934868688,649,3.46
63,P-n51-k10,928.4403677579453,745,3.72
64,P-n55-k10,815.6700037336792,669,3.38
65,P-n55-k15,1102.5883484292108,856,4.25
66,P-n55-k7,774.6357588802997,524,3.03
67,P-n55-k8,787.0734584553101,576,2.9
68,P-n60-k10,990.8387553936279,706,3.63
69,P-n60-k15,1151.872578034262,905,4.43
70,P-n65-k10,1054.6677857381042,792,3.88
71,P-n70-k10,1157.4885151069254,834,3.84
72,P-n76-k4,1081.6625549217226,589,3.33
73,P-n76-k5,966.3556311307468,631,3.42
