,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,929.0227750576114,784,2.78
1,A-n33-k5,843.6674062566551,661,2.44
2,A-n33-k6,969.2416420202327,742,2.55
3,A-n34-k5,973.9309440496486,778,2.75
4,A-n36-k5,1006.7766112579287,799,3.23
5,A-n37-k5,872.2705091137409,669,2.91
6,A-n37-k6,1128.2555618490594,949,3.13
7,A-n38-k5,903.5620565949823,730,3.05
8,A-n39-k5,1123.85642753179,822,3.01
9,A-n39-k6,1088.6057702555609,831,2.88
10,A-n44-k6,1202.7150879527305,937,3.24
11,A-n45-k6,1262.8165690083322,944,2.81
12,A-n45-k7,1384.9776684241326,1146,2.72
13,A-n46-k7,1185.2183979924878,914,3.17
14,A-n48-k7,1343.3545328991286,1073,3.27
15,A-n53-k7,1323.5752841907754,1010,3.92
16,A-n54-k7,1558.6166377291956,1167,3.88
17,A-n55-k9,1386.5110557628266,1073,3.87
18,A-n60-k9,1632.3152616182858,1408,3.75
19,A-n61-k9,1458.2767024185544,1035,3.82
20,A-n62-k8,1699.6505100586396,1290,3.28
21,A-n63-k10,1648.0054635169015,1315,4.0
22,A-n63-k9,1937.2236611723536,1634,3.55
23,A-n64-k9,1745.0961324026825,1402,3.6
24,A-n65-k9,1521.9861971224145,1177,3.56
25,A-n69-k9,1546.967816438815,1168,3.74
26,A-n80-k10,2300.557856203975,1764,3.77
27,B-n31-k5,727.1391431553285,672,2.59
28,B-n34-k5,922.8084944637801,788,2.57
29,B-n35-k5,1130.099050818166,955,2.7
30,B-n38-k6,898.9836132187746,805,2.73
31,B-n39-k5,652.2971675737491,549,2.76
32,B-n41-k6,1044.7070031282879,829,3.07
33,B-n43-k6,907.4607899199636,742,3.12
34,B-n44-k7,1108.181835184998,909,3.12
35,B-n45-k5,977.7875994416544,751,3.19
36,B-n45-k6,828.7957209171473,678,3.16
37,B-n50-k7,886.2460113759088,741,2.97
38,B-n50-k8,1560.6029263069515,1313,3.23
39,B-n51-k7,1176.4260519839086,1032,3.62
40,B-n52-k7,952.1070627656128,747,3.29
41,B-n56-k7,842.1902579151284,707,3.26
42,B-n57-k7,1459.080238799283,1153,3.47
43,B-n57-k9,1775.0892636710003,1598,3.41
44,B-n63-k10,1890.9830225943606,1537,4.3
45,B-n64-k9,1062.797745392903,861,3.87
46,B-n66-k9,1679.6176733945554,1374,3.92
47,B-n67-k10,1404.182227082642,1033,3.79
48,B-n68-k9,1504.7020050551605,1304,4.1
49,B-n78-k10,1655.6870226554424,1266,3.85
50,P-n101-k4,1204.920328601042,681,4.12
51,P-n16-k8,476.23336303929125,435,3.97
52,P-n19-k2,271.4798137989181,212,2.38
53, P-n20-k2,285.23630008243754,220,2.46
54,P-n21-k2,299.0657315862076,211,2.29
55,P-n22-k2,336.04288661832555,216,2.18
56,P-n22-k8,619.6883581734663,603,4.6
57,P-n23-k8,556.7022644259126,554,3.91
58,P-n40-k5.vrp,603.3873758782647,458,2.86
59,P-n45-k5,769.8540050892253,510,3.12
60,P-n50-k10,842.6331436647357,696,3.54
61, P-n50-k7,758.2886910320829,554,2.97
62,P-n50-k8,758.5422794569298,649,3.36
63,P-n51-k10,903.118700829325,745,3.78
64,P-n55-k10,886.7153774788363,669,3.2
65,P-n55-k15,1032.9750345077948,856,5.18
66,P-n55-k7,759.3102141281395,524,3.46
67,P-n55-k8,783.5480019366862,576,3.09
68,P-n60-k10,979.9826842193204,706,4.07
69,P-n60-k15,1166.0715890472372,905,4.63
70,P-n65-k10,1089.7838259730083,792,3.66
71,P-n70-k10,1091.5151943452588,834,3.51
72,P-n76-k4,1009.6170923668193,589,3.44
73,P-n76-k5,979.4362614362873,631,4.41
