,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,856.4467876516037,784,1.65
1,A-n33-k5,843.2996978768012,661,1.72
2,A-n33-k6,981.6805271559143,742,1.7
3,A-n34-k5,1015.2901402557122,778,1.52
4,A-n36-k5,899.6155722778384,799,1.53
5,A-n37-k5,857.2563130151456,669,1.8
6,A-n37-k6,1423.2347972989094,949,1.94
7,A-n38-k5,974.2743030894896,730,2.0
8,A-n39-k5,1193.4743515266273,822,1.5
9,A-n39-k6,1126.658518725064,831,1.83
10,A-n44-k6,1102.6434845482652,937,1.85
11,A-n45-k6,1202.3666050290367,944,1.96
12,A-n45-k7,1338.47436308813,1146,2.16
13,A-n46-k7,1095.3199260300858,914,1.93
14,A-n48-k7,1207.496462361392,1073,2.03
15,A-n53-k7,1457.8286238261953,1010,2.16
16,A-n54-k7,1495.6352342063972,1167,2.53
17,A-n55-k9,1390.490949367806,1073,2.56
18,A-n60-k9,1797.420085246281,1408,2.81
19,A-n61-k9,1286.237965202005,1035,2.66
20,A-n62-k8,1733.589367759321,1290,2.84
21,A-n63-k10,1587.942042685452,1315,2.69
22,A-n63-k9,2111.408375050415,1634,2.69
23,A-n64-k9,1896.5391945789565,1402,2.45
24,A-n65-k9,1537.7785825575265,1177,2.89
25,A-n69-k9,1794.9232407427235,1168,2.37
26,A-n80-k10,2196.289132608598,1764,3.19
27,B-n31-k5,761.9572375159105,672,1.49
28,B-n34-k5,952.7106911836548,788,1.52
29,B-n35-k5,1039.3334333876394,955,1.51
30,B-n38-k6,940.835891100342,805,1.9
31,B-n39-k5,674.0260070818882,549,1.64
32,B-n41-k6,1220.8266612924485,829,1.86
33,B-n43-k6,889.6913333043675,742,2.16
34,B-n44-k7,1140.7476379181685,909,1.9
35,B-n45-k5,1302.504099691064,751,1.65
36,B-n45-k6,790.1439558914363,678,1.9
37,B-n50-k7,991.726734549892,741,1.95
38,B-n50-k8,1479.8142920355308,1313,2.36
39,B-n51-k7,1206.9621711889195,1032,2.32
40,B-n52-k7,945.1850110196046,747,2.32
41,B-n56-k7,957.8773154093983,707,2.3
42,B-n57-k7,1593.9521563532485,1153,2.46
43,B-n57-k9,1907.5072072489706,1598,2.36
44,B-n63-k10,1874.4356714350915,1537,2.53
45,B-n64-k9,1322.367612257172,861,2.78
46,B-n66-k9,1864.1835843917133,1374,2.76
47,B-n67-k10,1563.2736431875735,1033,2.53
48,B-n68-k9,1639.2645727535653,1304,2.49
49,B-n78-k10,1797.8287696446546,1266,2.88
50,P-n101-k4,1203.5267639913973,681,2.33
51,P-n16-k8,463.38577058928604,435,1.91
52,P-n19-k2,346.47591420718436,212,0.85
53, P-n20-k2,331.84385164791274,220,1.04
54,P-n21-k2,257.99568793297357,211,0.92
55,P-n22-k2,310.46815545850336,216,0.8
56,P-n22-k8,650.89672551592,603,1.91
57,P-n23-k8,557.3011111089999,554,1.94
58,P-n40-k5.vrp,601.2341521457611,458,1.76
59,P-n45-k5,722.9944153966023,510,1.73
60,P-n50-k10,805.5452301386541,696,2.54
61, P-n50-k7,710.7899392062483,554,1.94
62,P-n50-k8,701.6618436821136,649,2.6
63,P-n51-k10,861.5410126637876,745,2.96
64,P-n55-k10,815.2914039836612,669,2.98
65,P-n55-k15,1289.129866519148,856,3.56
66,P-n55-k7,667.1474862203532,524,2.07
67,P-n55-k8,678.0423383129145,576,1.96
68,P-n60-k10,1313.684922074141,706,2.33
69,P-n60-k15,1134.8878126385805,905,3.8
70,P-n65-k10,1140.579584458334,792,2.87
71,P-n70-k10,1259.8808009492682,834,3.06
72,P-n76-k4,1064.2833585509518,589,2.05
73,P-n76-k5,1434.1567534166725,631,1.88
