,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1104.549291,784,3.25
1,A-n33-k5,779.9528335,661,2.97
2,A-n33-k6,999.8917018999999,742,2.77
3,A-n34-k5,905.8301585,778,2.98
4,A-n36-k5,1022.246861,799,2.82
5,A-n37-k5,981.5245727,669,2.84
6,A-n37-k6,1151.147037,949,3.43
7,A-n38-k5,1045.188057,730,3.06
8,A-n39-k5,1148.970018,822,3.34
9,A-n39-k6,1096.523392,831,3.13
10,A-n44-k6,1309.846747,937,2.95
11,A-n45-k6,1450.698805,944,3.23
12,A-n45-k7,1398.269491,1146,3.35
13,A-n46-k7,1392.5861419999999,914,3.43
14,A-n48-k7,1374.5118630000002,1073,3.44
15,A-n53-k7,1519.4431140000002,1010,3.32
16,A-n54-k7,1533.4925369999999,1167,3.51
17,A-n55-k9,1399.851577,1073,3.45
18,A-n60-k9,1697.8063960000002,1408,4.25
19,A-n61-k9,1443.06323,1035,3.82
20,A-n62-k8,1833.9975600000002,1290,3.32
21,A-n63-k10,1948.2430570000001,1315,4.24
22,A-n63-k9,2090.166435,1634,4.3
23,A-n64-k9,1773.7146300000002,1402,3.86
24,A-n65-k9,1758.898559,1177,3.87
25,A-n69-k9,1604.8064949999998,1168,3.71
26,A-n80-k10,2266.612301,1764,4.51
27,B-n31-k5,750.7588039991007,672,2.51
28,B-n34-k5,1003.1307030311904,788,2.77
29,B-n35-k5,1178.881237874087,955,2.8
30,B-n38-k6,881.3490040255999,805,3.03
31,B-n39-k5,802.4055701357852,549,2.96
32,B-n41-k6,1224.5451524589466,829,3.39
33,B-n43-k6,916.7997005973853,742,3.16
34,B-n44-k7,1146.9243167281115,909,3.47
35,B-n45-k5,1145.3030956036314,751,2.91
36,B-n45-k6,896.7655900517248,678,3.3
37,B-n50-k7,1006.672845729296,741,3.82
38,B-n50-k8,1561.7130392226225,1313,3.29
39,B-n51-k7,1675.7550329821108,1032,3.71
40,B-n52-k7,1061.127846465063,747,3.38
41,B-n56-k7,1051.3090587011354,707,3.32
42,B-n57-k7,1610.8977879269667,1153,3.42
43,B-n57-k9,1988.5173426790911,1598,3.69
44,B-n63-k10,2063.8289821497606,1537,3.71
45,B-n64-k9,1240.6751538373644,861,3.85
46,B-n66-k9,1619.268485976437,1374,4.02
47,B-n67-k10,1563.3077541103971,1033,4.26
48,B-n68-k9,1653.0094152290326,1304,3.94
49,B-n78-k10,1704.595848055273,1266,4.01
50,P-n101-k4,1364.4067176114495,681,4.73
51,P-n16-k8,480.19446715173734,435,2.69
52,P-n19-k2,265.44202879524425,212,2.09
53, P-n20-k2,294.3498856768742,220,2.46
54,P-n21-k2,275.8911547080088,211,2.65
55,P-n22-k2,319.11899824897233,216,2.21
56,P-n22-k8,629.433708127018,603,2.71
57,P-n23-k8,569.3546265768186,554,3.78
58,P-n40-k5.vrp,635.546380368884,458,3.02
59,P-n45-k5,667.9620240483806,510,3.12
60,P-n50-k10,858.9565510331786,696,3.84
61, P-n50-k7,759.4966237061318,554,3.55
62,P-n50-k8,764.8046455037503,649,3.81
63,P-n51-k10,844.9754446346512,745,3.28
64,P-n55-k10,918.921751225996,669,3.79
65,P-n55-k15,1107.4187221088846,856,4.37
66,P-n55-k7,812.3128812233264,524,3.55
67,P-n55-k8,780.6008815206592,576,3.52
68,P-n60-k10,957.4089828031756,706,4.08
69,P-n60-k15,1137.6670784042615,905,4.7
70,P-n65-k10,1117.2279554032305,792,3.97
71,P-n70-k10,1121.7977759322541,834,4.39
72,P-n76-k4,1022.7461545351647,589,3.6
73,P-n76-k5,1067.8515460271071,631,3.64
