,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1037.286091303103,784,5.94
1,A-n33-k5,827.798247747268,661,5.65
2,A-n33-k6,906.152022383014,742,5.81
3,A-n34-k5,982.2806936323456,778,5.3
4,A-n36-k5,976.0463308443733,799,4.97
5,A-n37-k5,856.8854784846571,669,5.7
6,A-n37-k6,1115.5531803414135,949,4.91
7,A-n38-k5,864.7103961842723,730,5.64
8,A-n39-k5,1040.617831748457,822,5.77
9,A-n39-k6,1117.6917885103835,831,4.58
10,A-n44-k6,1140.333775447233,937,4.36
11,A-n45-k6,1181.0327902359095,944,6.42
12,A-n45-k7,1375.2197945817154,1146,4.8
13,A-n46-k7,1166.9030717250826,914,6.67
14,A-n48-k7,1366.5804651148069,1073,5.86
15,A-n53-k7,1481.2250730799005,1010,7.57
16,A-n54-k7,1466.3424709571182,1167,8.82
17,A-n55-k9,1360.8795300047482,1073,9.32
18,A-n60-k9,1715.6264371183124,1408,7.31
19,A-n61-k9,1269.420017383108,1035,7.77
20,A-n62-k8,1798.6482035186987,1290,4.84
21,A-n63-k10,1593.1515489591748,1315,7.4
22,A-n63-k9,1980.379466067839,1634,7.87
23,A-n64-k9,1731.139050148678,1402,9.15
24,A-n65-k9,1651.7891591185669,1177,6.84
25,A-n69-k9,1494.6595529610324,1168,8.74
26,A-n80-k10,2414.0300868292597,1764,6.53
27,B-n31-k5,764.7213716339924,672,5.31
28,B-n34-k5,909.2352390757851,788,5.46
29,B-n35-k5,1056.1398395675699,955,5.45
30,B-n38-k6,900.3410491136867,805,5.57
31,B-n39-k5,704.9075790606402,549,4.0
32,B-n41-k6,1001.3917779208264,829,6.4
33,B-n43-k6,888.5393851963577,742,6.02
34,B-n44-k7,1091.1081929572797,909,5.81
35,B-n45-k5,902.2635508082179,751,5.62
36,B-n45-k6,840.3245304067551,678,4.79
37,B-n50-k7,907.5723522576311,741,4.86
38,B-n50-k8,1415.0215619000278,1313,6.51
39,B-n51-k7,1174.2963505550842,1032,5.91
40,B-n52-k7,1013.3837311334796,747,4.66
41,B-n56-k7,894.034475034793,707,4.72
42,B-n57-k7,1313.7636016076115,1153,4.74
43,B-n57-k9,1906.012428698692,1598,4.8
44,B-n63-k10,1806.619127801371,1537,5.54
45,B-n64-k9,1027.4772155707053,861,9.41
46,B-n66-k9,1605.7743748510193,1374,9.79
47,B-n67-k10,1360.2567508148934,1033,7.49
48,B-n68-k9,1571.0170665978367,1304,7.01
49,B-n78-k10,1517.4045367814595,1266,9.55
50,P-n101-k4,1232.3257144666236,681,10.45
51,P-n16-k8,473.7821123645115,435,8.46
52,P-n19-k2,277.69782570294683,212,3.48
53, P-n20-k2,287.10560394865814,220,3.53
54,P-n21-k2,264.98943769004643,211,3.85
55,P-n22-k2,360.79447875163504,216,3.55
56,P-n22-k8,626.9332360047797,603,8.59
57,P-n23-k8,576.2874305257932,554,4.52
58,P-n40-k5.vrp,629.4829982519619,458,3.26
59,P-n45-k5,700.9754091194908,510,3.27
60,P-n50-k10,835.965959559753,696,3.69
61, P-n50-k7,730.7444231012141,554,3.2
62,P-n50-k8,750.1566028844973,649,3.93
63,P-n51-k10,911.4259241238336,745,3.94
64,P-n55-k10,860.6066399394288,669,3.75
65,P-n55-k15,1103.8694659501823,856,5.3
66,P-n55-k7,752.7972286690529,524,3.34
67,P-n55-k8,766.8803314912268,576,3.23
68,P-n60-k10,896.4778585887561,706,4.01
69,P-n60-k15,1202.04264480673,905,4.53
70,P-n65-k10,943.4745036444748,792,4.75
71,P-n70-k10,1045.488807191416,834,4.3
72,P-n76-k4,937.2253423085216,589,3.97
73,P-n76-k5,1019.7155145551134,631,3.47
