,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,898.6055646939632,784,3.14
1,A-n33-k5,735.1447351631912,661,2.68
2,A-n33-k6,968.2176952152656,742,2.46
3,A-n34-k5,933.0608007411254,778,2.22
4,A-n36-k5,993.9852955513876,799,2.29
5,A-n37-k5,836.8748981611619,669,2.47
6,A-n37-k6,1186.6598690953865,949,2.48
7,A-n38-k5,913.4618382299234,730,2.55
8,A-n39-k5,1057.8499315112574,822,2.66
9,A-n39-k6,940.9251561228048,831,2.41
10,A-n44-k6,1238.467701792739,937,2.25
11,A-n45-k6,1172.4216024683558,944,2.78
12,A-n45-k7,1438.893175052956,1146,3.09
13,A-n46-k7,1051.045721710346,914,2.61
14,A-n48-k7,1265.9156612267227,1073,2.59
15,A-n53-k7,1342.4929330075709,1010,3.27
16,A-n54-k7,1649.2891392327201,1167,2.69
17,A-n55-k9,1308.1678592071564,1073,3.12
18,A-n60-k9,1687.1013097158545,1408,3.11
19,A-n61-k9,1308.8320095344213,1035,3.15
20,A-n62-k8,1724.0219109426853,1290,2.87
21,A-n63-k10,1769.1792322147064,1315,3.15
22,A-n63-k9,2078.879933596897,1634,3.36
23,A-n64-k9,1772.7748209561275,1402,2.96
24,A-n65-k9,1515.7375550848913,1177,3.33
25,A-n69-k9,1482.5933813622873,1168,3.18
26,A-n80-k10,2273.7077201305983,1764,4.28
27,B-n31-k5,720.9285902158438,672,2.5
28,B-n34-k5,827.6665101677705,788,2.2
29,B-n35-k5,1026.1718393212664,955,2.26
30,B-n38-k6,885.9844748805076,805,2.48
31,B-n39-k5,782.7152240265112,549,2.41
32,B-n41-k6,972.3391402317473,829,2.65
33,B-n43-k6,826.6325030515691,742,2.42
34,B-n44-k7,1052.3457540422676,909,2.37
35,B-n45-k5,871.1520224354176,751,2.78
36,B-n45-k6,755.6357005016597,678,2.84
37,B-n50-k7,893.8385241840348,741,2.62
38,B-n50-k8,1391.0461178189853,1313,2.84
39,B-n51-k7,1242.6428353914987,1032,2.82
40,B-n52-k7,926.3383399147174,747,2.8
41,B-n56-k7,1019.914547570964,707,3.01
42,B-n57-k7,1440.1321431798765,1153,2.91
43,B-n57-k9,1761.591867954239,1598,3.25
44,B-n63-k10,2037.1861017831168,1537,3.62
45,B-n64-k9,1179.5036400372953,861,3.19
46,B-n66-k9,1716.7842568433398,1374,3.32
47,B-n67-k10,1373.8684916477496,1033,3.54
48,B-n68-k9,1586.8801587564212,1304,3.59
49,B-n78-k10,1614.7516602734524,1266,4.07
50,P-n101-k4,1072.0614745090363,681,3.71
51,P-n16-k8,464.43047653745623,435,2.27
52,P-n19-k2,270.88878362298334,212,1.83
53, P-n20-k2,295.8903534516646,220,1.57
54,P-n21-k2,325.0768289027721,211,1.52
55,P-n22-k2,263.07287249991373,216,2.06
56,P-n22-k8,653.0183801776316,603,2.49
57,P-n23-k8,553.0602237426499,554,2.57
58,P-n40-k5.vrp,556.9693613335713,458,2.38
59,P-n45-k5,676.1202512631554,510,2.52
60,P-n50-k10,798.0626030433767,696,3.37
61, P-n50-k7,694.1258426161216,554,2.68
62,P-n50-k8,758.315346609089,649,3.19
63,P-n51-k10,823.4403374977111,745,3.25
64,P-n55-k10,831.7255537099041,669,3.1
65,P-n55-k15,1034.5821837046394,856,4.37
66,P-n55-k7,705.8481560690566,524,2.64
67,P-n55-k8,802.6950180861065,576,3.08
68,P-n60-k10,912.4468273636224,706,3.8
69,P-n60-k15,1157.77286268825,905,3.81
70,P-n65-k10,1046.5319252683994,792,3.3
71,P-n70-k10,1013.712483573428,834,3.76
72,P-n76-k4,840.8885265894755,589,3.17
73,P-n76-k5,907.0681722398402,631,3.24
