,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,1057.1045160411377,784,3.53
1,A-n33-k5,831.6060446663123,661,2.96
2,A-n33-k6,871.7862399352492,742,3.0
3,A-n34-k5,947.4229843408486,778,2.12
4,A-n36-k5,954.3809576467354,799,2.1
5,A-n37-k5,765.8418596031569,669,2.55
6,A-n37-k6,1128.9480977562116,949,2.45
7,A-n38-k5,954.004411434174,730,2.43
8,A-n39-k5,1093.7716032407236,822,2.06
9,A-n39-k6,969.1387745096288,831,2.53
10,A-n44-k6,1218.1173401653864,937,2.63
11,A-n45-k6,1225.779984518495,944,2.96
12,A-n45-k7,1367.3319626218447,1146,2.74
13,A-n46-k7,1094.807816007587,914,2.54
14,A-n48-k7,1390.7807435061027,1073,2.66
15,A-n53-k7,1287.1290157134656,1010,3.18
16,A-n54-k7,1448.1846331800243,1167,3.11
17,A-n55-k9,1398.8533596249633,1073,2.76
18,A-n60-k9,1736.4246814024125,1408,3.5
19,A-n61-k9,1293.312084981018,1035,3.37
20,A-n62-k8,1600.6960134438534,1290,6.08
21,A-n63-k10,1701.2705783494184,1315,3.56
22,A-n63-k9,2110.5053170716433,1634,5.14
23,A-n64-k9,1806.9612997205359,1402,2.99
24,A-n65-k9,1558.8429706987106,1177,4.21
25,A-n69-k9,1479.4463578458926,1168,3.31
26,A-n80-k10,2323.0109457637736,1764,6.7
27,B-n31-k5,712.3905292893901,672,2.56
28,B-n34-k5,857.8800722596345,788,2.2
29,B-n35-k5,1040.0015411552247,955,2.25
30,B-n38-k6,891.0685504496118,805,2.78
31,B-n39-k5,649.2339515106737,549,2.49
32,B-n41-k6,1087.9835459973676,829,2.61
33,B-n43-k6,860.9229244132247,742,2.42
34,B-n44-k7,1042.5379511115013,909,2.85
35,B-n45-k5,827.7795627453112,751,3.35
36,B-n45-k6,780.4854237653886,678,3.28
37,B-n50-k7,825.4085138528978,741,2.87
38,B-n50-k8,1400.571044153196,1313,4.95
39,B-n51-k7,1125.1290941197335,1032,2.79
40,B-n52-k7,856.0133765775937,747,3.17
41,B-n56-k7,794.150660041539,707,3.1
42,B-n57-k7,1423.316864830145,1153,3.91
43,B-n57-k9,1857.2259133045734,1598,3.36
44,B-n63-k10,1855.3084994502487,1537,3.25
45,B-n64-k9,1083.457021805608,861,3.7
46,B-n66-k9,1739.8163754899294,1374,4.44
47,B-n67-k10,1294.801353185087,1033,5.18
48,B-n68-k9,1498.9942915185568,1304,3.71
49,B-n78-k10,1558.524815685635,1266,3.73
50,P-n101-k4,1259.0170660255726,681,3.82
51,P-n16-k8,462.5005694214486,435,3.16
52,P-n19-k2,291.7685169899437,212,1.63
53, P-n20-k2,290.2663535728626,220,1.79
54,P-n21-k2,301.22307419812137,211,1.69
55,P-n22-k2,304.57977794408043,216,1.77
56,P-n22-k8,614.6872855026651,603,3.57
57,P-n23-k8,569.1445384161769,554,3.02
58,P-n40-k5.vrp,579.5791759075178,458,2.34
59,P-n45-k5,656.882290307077,510,2.26
60,P-n50-k10,834.0939488102722,696,4.03
61, P-n50-k7,741.4712382142957,554,2.71
62,P-n50-k8,760.7784152401995,649,3.56
63,P-n51-k10,919.4338593365347,745,3.35
64,P-n55-k10,815.7590789250256,669,3.29
65,P-n55-k15,1140.1911418055306,856,4.47
66,P-n55-k7,749.3419538104761,524,3.13
67,P-n55-k8,777.1837311357394,576,2.72
68,P-n60-k10,967.4476047195757,706,3.79
69,P-n60-k15,1280.8455989169145,905,3.76
70,P-n65-k10,995.5374099963884,792,3.45
71,P-n70-k10,1052.3843122921935,834,3.63
72,P-n76-k4,1127.972434329818,589,2.99
73,P-n76-k5,956.1489554566684,631,3.17
