,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,943.8969785632574,784,2.88
1,A-n33-k5,750.6566038947066,661,1.95
2,A-n33-k6,858.0198508675858,742,2.28
3,A-n34-k5,876.7797207695401,778,2.29
4,A-n36-k5,949.297763445442,799,1.86
5,A-n37-k5,818.9944797475943,669,2.78
6,A-n37-k6,1087.2667252021902,949,2.48
7,A-n38-k5,900.8587348458788,730,2.24
8,A-n39-k5,988.2181978679973,822,2.19
9,A-n39-k6,999.7241423813988,831,2.54
10,A-n44-k6,1173.5973041580476,937,2.69
11,A-n45-k6,1128.4966922011904,944,2.86
12,A-n45-k7,1347.2566702033873,1146,2.47
13,A-n46-k7,1030.6769278670613,914,2.67
14,A-n48-k7,1273.1133237930326,1073,2.77
15,A-n53-k7,1276.6154486905937,1010,2.67
16,A-n54-k7,1475.2818986965722,1167,5.09
17,A-n55-k9,1254.3161937067398,1073,3.3
18,A-n60-k9,1634.3465418961305,1408,3.27
19,A-n61-k9,1261.3514029162739,1035,3.56
20,A-n62-k8,1647.595677661037,1290,3.35
21,A-n63-k10,1623.9065014598236,1315,3.38
22,A-n63-k9,1936.483679352769,1634,4.79
23,A-n64-k9,1822.200144812096,1402,3.11
24,A-n65-k9,1480.888380513263,1177,3.89
25,A-n69-k9,1520.3017894278198,1168,3.12
26,A-n80-k10,2183.986306907839,1764,3.52
27,B-n31-k5,700.1015182251981,672,2.18
28,B-n34-k5,873.4920745964508,788,1.91
29,B-n35-k5,1037.699416750744,955,2.02
30,B-n38-k6,852.1889985672886,805,2.27
31,B-n39-k5,627.3260994557462,549,2.15
32,B-n41-k6,935.4592403113561,829,2.31
33,B-n43-k6,888.0034214990833,742,2.52
34,B-n44-k7,1045.9280642617357,909,2.52
35,B-n45-k5,867.429729057216,751,2.5
36,B-n45-k6,879.2103833773683,678,2.56
37,B-n50-k7,912.8707407473026,741,2.54
38,B-n50-k8,1481.1767125772876,1313,3.05
39,B-n51-k7,1227.4334595384134,1032,2.84
40,B-n52-k7,860.0969261746782,747,2.84
41,B-n56-k7,809.111204641018,707,2.5
42,B-n57-k7,1454.1671266773374,1153,2.6
43,B-n57-k9,1769.5524742020273,1598,2.96
44,B-n63-k10,1875.797411460336,1537,3.31
45,B-n64-k9,1209.2525658568495,861,3.18
46,B-n66-k9,1598.793846122088,1374,3.71
47,B-n67-k10,1190.5320478223316,1033,4.08
48,B-n68-k9,1557.8594037959388,1304,3.71
49,B-n78-k10,1647.9990165137576,1266,3.6
50,P-n101-k4,1172.0765513247811,681,3.6
51,P-n16-k8,451.335080208618,435,3.0
52,P-n19-k2,250.18021664782185,212,1.36
53, P-n20-k2,271.8893250084679,220,1.28
54,P-n21-k2,241.48500979988216,211,1.39
55,P-n22-k2,296.7419428074338,216,1.37
56,P-n22-k8,603.3145457137728,603,2.95
57,P-n23-k8,541.5680520867376,554,3.05
58,P-n40-k5.vrp,504.6106938228737,458,2.29
59,P-n45-k5,570.2387266589519,510,2.73
60,P-n50-k10,788.4531915506716,696,3.41
61, P-n50-k7,643.2078659315222,554,2.68
62,P-n50-k8,749.8631595266227,649,3.14
63,P-n51-k10,904.3448093958543,745,2.97
64,P-n55-k10,786.5383469511531,669,2.96
65,P-n55-k15,1082.9703431777978,856,3.74
66,P-n55-k7,686.2858832167065,524,2.79
67,P-n55-k8,659.3830870008559,576,2.46
68,P-n60-k10,926.6640892125633,706,3.3
69,P-n60-k15,1093.9113687877928,905,4.07
70,P-n65-k10,991.2522999116272,792,3.6
71,P-n70-k10,1034.836952659814,834,3.12
72,P-n76-k4,931.8226969343117,589,2.48
73,P-n76-k5,1055.9720229788682,631,2.61
