,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,3.1
1,A-n33-k5,726.0443968088298,661,2.68
2,A-n33-k6,753.4638559892887,742,2.83
3,A-n34-k5,820.6170791849404,778,3.48
4,A-n36-k5,888.3972541930066,799,2.66
5,A-n37-k5,741.8801892296074,669,4.09
6,A-n37-k6,1008.707424359539,949,3.36
7,A-n38-k5,800.2354071411835,730,2.92
8,A-n39-k5,930.7344242885116,822,3.1
9,A-n39-k6,929.5337220171537,831,2.7
10,A-n44-k6,1016.0297958496252,937,3.29
11,A-n45-k6,1031.1273738065145,944,2.96
12,A-n45-k7,1171.6329563624051,1146,2.72
13,A-n46-k7,986.026023744948,914,2.64
14,A-n48-k7,1197.1958241361847,1073,2.85
15,A-n53-k7,1112.2362755024092,1010,3.43
16,A-n54-k7,1233.3377392901225,1167,2.89
17,A-n55-k9,1141.7859862400633,1073,3.1
18,A-n60-k9,1450.7471638251127,1408,3.12
19,A-n61-k9,1097.9897383612338,1035,3.42
20,A-n62-k8,1399.5859872768256,1290,3.08
21,A-n63-k10,1415.8548560874704,1315,3.36
22,A-n63-k9,1720.1536916662976,1634,3.54
23,A-n64-k9,1489.644471728963,1402,3.24
24,A-n65-k9,1309.2006216279726,1177,3.38
25,A-n69-k9,1275.8840346712748,1168,3.52
26,A-n80-k10,1951.7556499967402,1764,3.66
27,B-n31-k5,687.0442468700239,672,2.64
28,B-n34-k5,932.59306008254,788,2.75
29,B-n35-k5,1021.8750035549873,955,2.83
30,B-n38-k6,843.9886757959837,805,2.9
31,B-n39-k5,596.1051167748944,549,2.77
32,B-n41-k6,909.3234304183632,829,2.81
33,B-n43-k6,770.0547965806717,742,4.86
34,B-n44-k7,966.2153717196902,909,2.74
35,B-n45-k5,780.5619521819209,751,3.06
36,B-n45-k6,743.5690220049797,678,3.57
37,B-n50-k7,774.5519651958745,741,2.92
38,B-n50-k8,1360.5788931781294,1313,4.49
39,B-n51-k7,1194.1279015176785,1032,3.26
40,B-n52-k7,817.7411427995717,747,3.08
41,B-n56-k7,763.6107666402735,707,3.16
42,B-n57-k7,1291.9233219785021,1153,3.17
43,B-n57-k9,1675.9855156327387,1598,3.24
44,B-n63-k10,1660.2127032230496,1537,3.7
45,B-n64-k9,937.9391345272701,861,3.18
46,B-n66-k9,1422.2996830336206,1374,3.92
47,B-n67-k10,1129.8015468103038,1033,4.07
48,B-n68-k9,1345.9684791523655,1304,3.19
49,B-n78-k10,1345.1867808112156,1266,3.62
50,P-n101-k4,778.3138909186638,681,4.48
51,P-n16-k8,475.8937807273242,435,5.37
52,P-n19-k2,220.64313526472102,212,2.51
53, P-n20-k2,240.98212302462625,220,2.4
54,P-n21-k2,234.1287293109946,211,2.68
55,P-n22-k2,249.24778279110046,216,2.58
56,P-n22-k8,589.3916936935431,603,5.08
57,P-n23-k8,554.8382071368375,554,3.04
58,P-n40-k5.vrp,524.0380029267802,458,2.68
59,P-n45-k5,572.0171459461702,510,2.73
60,P-n50-k10,747.0156422460161,696,3.24
61, P-n50-k7,617.015486614702,554,2.7
62,P-n50-k8,687.5104827719621,649,3.09
63,P-n51-k10,816.5364699439232,745,3.62
64,P-n55-k10,748.8903114570337,669,2.97
65,P-n55-k15,995.4406336342014,856,4.31
66,P-n55-k7,621.004105906087,524,3.27
67,P-n55-k8,628.9068468105927,576,3.09
68,P-n60-k10,818.7125237130529,706,3.47
69,P-n60-k15,1044.4629272107986,905,3.63
70,P-n65-k10,877.1598378760773,792,3.44
71,P-n70-k10,898.0575176924945,834,3.37
72,P-n76-k4,683.4642926501527,589,3.6
73,P-n76-k5,722.3819929304341,631,3.74
