,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,844.4912686812776,784,2.19
1,A-n33-k5,676.104495538676,661,1.87
2,A-n33-k6,746.7429846841342,742,2.08
3,A-n34-k5,795.5128259645364,778,2.05
4,A-n36-k5,867.4286559241493,799,2.12
5,A-n37-k5,737.7234926174284,669,1.95
6,A-n37-k6,1000.2470645884274,949,2.11
7,A-n38-k5,756.0980627985823,730,2.27
8,A-n39-k5,872.1394482348378,822,2.21
9,A-n39-k6,848.0859088996582,831,2.03
10,A-n44-k6,967.0748871022943,937,2.3
11,A-n45-k6,993.1193545111701,944,2.31
12,A-n45-k7,1154.4267598044646,1146,2.22
13,A-n46-k7,946.8230468241279,914,2.32
14,A-n48-k7,1139.272945975059,1073,2.45
15,A-n53-k7,1085.9071265009934,1010,2.59
16,A-n54-k7,1193.5915559726516,1167,2.42
17,A-n55-k9,1100.4593281001275,1073,2.44
18,A-n60-k9,1388.2729620108128,1408,2.8
19,A-n61-k9,1074.104103521867,1035,3.02
20,A-n62-k8,1367.334205549223,1290,2.39
21,A-n63-k10,1399.5240899438159,1315,2.95
22,A-n63-k9,1664.5818472034134,1634,2.85
23,A-n64-k9,1437.4983326429895,1402,2.56
24,A-n65-k9,1268.1194226538748,1177,2.79
25,A-n69-k9,1229.2380306084858,1168,2.8
26,A-n80-k10,1913.7615404775736,1764,3.36
27,B-n31-k5,682.7779642373242,672,1.96
28,B-n34-k5,926.9787120960676,788,2.14
29,B-n35-k5,1006.8382069501047,955,1.89
30,B-n38-k6,834.8822298083627,805,2.21
31,B-n39-k5,567.0010871865854,549,2.14
32,B-n41-k6,900.8012312012813,829,2.43
33,B-n43-k6,753.1788877870421,742,2.45
34,B-n44-k7,950.0426925158272,909,2.13
35,B-n45-k5,757.7651032921577,751,2.22
36,B-n45-k6,726.6490478029386,678,2.4
37,B-n50-k7,749.1156985817248,741,2.52
38,B-n50-k8,1368.7721713510782,1313,2.42
39,B-n51-k7,1186.8698584296687,1032,2.67
40,B-n52-k7,807.8399203903958,747,2.67
41,B-n56-k7,747.8508102880313,707,2.63
42,B-n57-k7,1282.0595098496476,1153,2.64
43,B-n57-k9,1651.392549572501,1598,2.52
44,B-n63-k10,1630.515093599776,1537,3.05
45,B-n64-k9,923.981953042495,861,2.81
46,B-n66-k9,1412.6633362708512,1374,2.67
47,B-n67-k10,1107.185449174821,1033,2.96
48,B-n68-k9,1320.564261009086,1304,2.75
49,B-n78-k10,1324.2875847284508,1266,3.27
50,P-n101-k4,753.6293020049745,681,2.63
51,P-n16-k8,473.7821123645115,435,2.25
52,P-n19-k2,220.64313526472102,212,1.87
53, P-n20-k2,240.98212302462625,220,1.6
54,P-n21-k2,241.87817088866103,211,1.9
55,P-n22-k2,247.03615966386315,216,1.89
56,P-n22-k8,588.7935242586069,603,2.16
57,P-n23-k8,543.50153579295,554,2.43
58,P-n40-k5.vrp,524.0380029267802,458,2.02
59,P-n45-k5,555.5211862232816,510,2.0
60,P-n50-k10,733.9191509150716,696,2.77
61, P-n50-k7,610.503791976452,554,2.46
62,P-n50-k8,656.5373753337302,649,2.37
63,P-n51-k10,810.4641218321292,745,2.54
64,P-n55-k10,731.1542676745926,669,3.09
65,P-n55-k15,991.0607786695557,856,3.45
66,P-n55-k7,598.6808933662873,524,2.41
67,P-n55-k8,618.154940706962,576,2.66
68,P-n60-k10,796.5740016077972,706,2.8
69,P-n60-k15,1010.0004476881408,905,3.68
70,P-n65-k10,851.7676710304307,792,3.19
71,P-n70-k10,880.2324686375263,834,2.83
72,P-n76-k4,655.1922873355848,589,2.38
73,P-n76-k5,691.2862804146947,631,2.66
