,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,843.6881693466269,784,2.51
1,A-n33-k5,726.0443968088298,661,2.75
2,A-n33-k6,753.4638559892887,742,2.74
3,A-n34-k5,809.6304358393013,778,3.33
4,A-n36-k5,884.2179923861295,799,2.58
5,A-n37-k5,739.7462493341739,669,2.9
6,A-n37-k6,1008.707424359539,949,2.79
7,A-n38-k5,786.026563945698,730,2.75
8,A-n39-k5,930.7344242885116,822,3.09
9,A-n39-k6,929.5337220171537,831,3.19
10,A-n44-k6,1016.0297958496252,937,3.07
11,A-n45-k6,1026.0547225649543,944,2.7
12,A-n45-k7,1171.6329563624051,1146,3.05
13,A-n46-k7,981.112961551984,914,3.05
14,A-n48-k7,1172.170160649225,1073,2.82
15,A-n53-k7,1111.9616807299994,1010,3.17
16,A-n54-k7,1233.3377392901225,1167,2.85
17,A-n55-k9,1120.9435722059495,1073,3.41
18,A-n60-k9,1431.9221139542572,1408,4.08
19,A-n61-k9,1097.9897383612338,1035,3.26
20,A-n62-k8,1396.6514860324082,1290,3.51
21,A-n63-k10,1415.826767888264,1315,3.55
22,A-n63-k9,1703.0155157562558,1634,3.3
23,A-n64-k9,1482.4588645747824,1402,3.24
24,A-n65-k9,1294.7228568284365,1177,3.26
25,A-n69-k9,1269.2837582245866,1168,4.17
26,A-n80-k10,1949.0660726175872,1764,3.32
27,B-n31-k5,687.0442468700239,672,2.79
28,B-n34-k5,932.59306008254,788,2.66
29,B-n35-k5,1025.2399657245903,955,3.44
30,B-n38-k6,840.7765901575838,805,2.97
31,B-n39-k5,596.1051167748944,549,2.71
32,B-n41-k6,909.3234304183632,829,3.78
33,B-n43-k6,770.0547965806717,742,3.35
34,B-n44-k7,952.8393337120302,909,2.79
35,B-n45-k5,780.5619521819209,751,3.15
36,B-n45-k6,736.5760669708806,678,3.1
37,B-n50-k7,774.5519651958745,741,3.01
38,B-n50-k8,1357.5710113166099,1313,2.89
39,B-n51-k7,1192.4372762069129,1032,3.16
40,B-n52-k7,817.2233525821773,747,3.09
41,B-n56-k7,763.6107666402735,707,3.12
42,B-n57-k7,1286.2398461558155,1153,3.75
43,B-n57-k9,1665.1891646235697,1598,3.49
44,B-n63-k10,1636.8234861489261,1537,3.74
45,B-n64-k9,937.9391345272701,861,3.38
46,B-n66-k9,1412.9396696142014,1374,3.55
47,B-n67-k10,1125.8358187122228,1033,4.01
48,B-n68-k9,1341.385004254632,1304,3.38
49,B-n78-k10,1341.9014178523798,1266,3.46
50,P-n101-k4,777.0838629543997,681,5.14
51,P-n16-k8,473.7821123645115,435,4.07
52,P-n19-k2,220.64313526472102,212,2.5
53, P-n20-k2,240.98212302462625,220,6.08
54,P-n21-k2,241.87817088866103,211,2.53
55,P-n22-k2,249.24778279110046,216,2.8
56,P-n22-k8,588.7935242586069,603,3.62
57,P-n23-k8,543.1351735524503,554,2.98
58,P-n40-k5.vrp,524.0380029267802,458,2.85
59,P-n45-k5,572.0171459461702,510,2.88
60,P-n50-k10,739.0359794397827,696,3.26
61, P-n50-k7,617.0154866147019,554,3.15
62,P-n50-k8,687.4575081791188,649,3.14
63,P-n51-k10,816.5364699439232,745,3.21
64,P-n55-k10,747.487647051613,669,2.98
65,P-n55-k15,995.0924667803407,856,4.07
66,P-n55-k7,618.0819276872206,524,3.18
67,P-n55-k8,628.9068468105927,576,3.13
68,P-n60-k10,812.7254458149989,706,3.41
69,P-n60-k15,1033.3387291196718,905,3.91
70,P-n65-k10,877.1598378760773,792,3.28
71,P-n70-k10,876.4058477557712,834,3.89
72,P-n76-k4,684.723387107872,589,3.41
73,P-n76-k5,710.1437792005479,631,3.62
