,Name,Best Solution Cost,Optimal Value,Run Time
0,A-n32-k5,857.5085173845937,784,2.14
1,A-n33-k5,726.0443968088298,661,1.61
2,A-n33-k6,753.4638559892887,742,1.46
3,A-n34-k5,820.6170791849404,778,1.33
4,A-n36-k5,882.0057868268536,799,1.5
5,A-n37-k5,741.8801892296074,669,1.48
6,A-n37-k6,1003.0505155014907,949,1.79
7,A-n38-k5,800.2354071411835,730,2.15
8,A-n39-k5,928.8191619671193,822,1.69
9,A-n39-k6,922.564080948737,831,2.1
10,A-n44-k6,1007.7438405222513,937,2.2
11,A-n45-k6,1031.1273738065145,944,2.04
12,A-n45-k7,1171.6329563624051,1146,2.1
13,A-n46-k7,962.7996596737087,914,1.95
14,A-n48-k7,1169.8618971155624,1073,1.89
15,A-n53-k7,1127.4189312902095,1010,2.19
16,A-n54-k7,1233.3377392901225,1167,1.71
17,A-n55-k9,1145.8626503353262,1073,2.09
18,A-n60-k9,1449.6757017040636,1408,2.99
19,A-n61-k9,1097.8463538339147,1035,2.34
20,A-n62-k8,1398.3100606567389,1290,1.97
21,A-n63-k10,1416.9823056778337,1315,2.61
22,A-n63-k9,1741.5314443717489,1634,2.28
23,A-n64-k9,1501.3754207083718,1402,2.0
24,A-n65-k9,1308.834362615098,1177,2.39
25,A-n69-k9,1272.3383401908732,1168,2.45
26,A-n80-k10,1952.2978446773825,1764,2.3
27,B-n31-k5,686.8448463366142,672,1.45
28,B-n34-k5,856.9989600196885,788,1.44
29,B-n35-k5,1006.6843828496504,955,1.42
30,B-n38-k6,831.7570854285558,805,1.69
31,B-n39-k5,596.1051167748944,549,1.49
32,B-n41-k6,915.1084314817427,829,1.84
33,B-n43-k6,770.0547965806717,742,1.7
34,B-n44-k7,967.8107598188554,909,1.83
35,B-n45-k5,779.649276977081,751,1.84
36,B-n45-k6,736.6676410485063,678,1.76
37,B-n50-k7,773.7943580906419,741,1.82
38,B-n50-k8,1369.4212818197984,1313,1.89
39,B-n51-k7,1177.4382033687502,1032,2.0
40,B-n52-k7,816.2198600665926,747,1.82
41,B-n56-k7,763.6107666402735,707,1.98
42,B-n57-k7,1290.0065457175122,1153,2.09
43,B-n57-k9,1674.1392816643365,1598,2.06
44,B-n63-k10,1668.8209346862066,1537,2.35
45,B-n64-k9,935.8751734909599,861,2.19
46,B-n66-k9,1429.3941705441998,1374,2.23
47,B-n67-k10,1128.5127344763996,1033,2.4
48,B-n68-k9,1347.1789366847024,1304,2.2
49,B-n78-k10,1349.722294182994,1266,2.47
50,P-n101-k4,778.3138909186638,681,2.19
51,P-n16-k8,478.7711300654122,435,1.8
52,P-n19-k2,220.64313526472102,212,1.06
53, P-n20-k2,226.56568598827403,220,0.88
54,P-n21-k2,241.87817088866103,211,1.14
55,P-n22-k2,247.03615966386315,216,1.13
56,P-n22-k8,589.3916936935431,603,1.71
57,P-n23-k8,563.5222590258683,554,1.76
58,P-n40-k5.vrp,524.0380029267802,458,1.48
59,P-n45-k5,572.0171459461702,510,1.41
60,P-n50-k10,741.8069708634749,696,2.31
61, P-n50-k7,607.4176477849777,554,1.77
62,P-n50-k8,688.4360828763454,649,1.88
63,P-n51-k10,821.6878489929594,745,2.24
64,P-n55-k10,751.3797123668428,669,2.06
65,P-n55-k15,992.5645844038823,856,3.11
66,P-n55-k7,626.1813077169431,524,1.8
67,P-n55-k8,628.9068468105927,576,1.96
68,P-n60-k10,818.2940462544586,706,2.34
69,P-n60-k15,1040.258051551585,905,3.26
70,P-n65-k10,870.3922505289769,792,2.4
71,P-n70-k10,905.8906506904758,834,2.56
72,P-n76-k4,700.3352454335218,589,1.78
73,P-n76-k5,724.1443371624555,631,1.96
