,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n33-k5,661,824.5445878321725,1056.251028785024,927.7212478819723,51.41983385578376,2.472,"2-opt, double-bridge"
1,A-n46-k7,914,1150.4955095736725,1630.9976384721124,1281.1977382057714,104.68545664779863,2.7393333333333336,"2-opt, double-bridge"
2,A-n60-k9,1408,1647.0907779774873,2103.920815040324,1834.2083927113001,105.02286616407166,3.1423333333333328,"2-opt, double-bridge"
3,B-n35-k5,955,1087.8755702889707,1345.666135380593,1193.1865631425594,66.07457362708489,2.324666666666667,"2-opt, double-bridge"
4,B-n45-k5,751,840.0014556983034,1637.608866561062,1057.524976905285,179.27904199737284,2.673666666666667,"2-opt, double-bridge"
5,B-n68-k9,1304,1557.6788367468735,2110.29222922924,1772.223741924588,123.22558844242673,3.3143333333333334,"2-opt, double-bridge"
6,B-n78-k10,1266,1547.2860450011624,2029.3723961077071,1756.9214404887673,133.0164315110004,3.527333333333333,"2-opt, double-bridge"
7,E-n30-k3,534,609.6833117029862,1159.9447238577886,801.2202052521377,157.99379815590038,2.096,"2-opt, double-bridge"
8,E-n51-k5,521,700.9847874524568,1122.3929797108776,895.5308441127271,136.5224888698587,2.5886666666666667,"2-opt, double-bridge"
9,E-n76-k7,682,999.988967048891,1214.958450823353,1106.6344763104446,52.8719796908315,3.1560000000000006,"2-opt, double-bridge"
10,F-n135-k7,1162,1175.6765899078619,1938.322930921345,1440.304211234148,168.5813210444131,3.2856666666666667,"2-opt, double-bridge"
11,F-n72-k4,237,355.8751752304996,703.3451622116044,505.6943730087677,112.85523752525862,2.9923333333333337,"2-opt, double-bridge"
12,M-n101-k10,820,1208.4784595906756,1958.7023561168537,1454.3871905884325,136.6024374561189,3.8320000000000007,"2-opt, double-bridge"
13,M-n121-k7,1034,1644.2183079669885,3174.9578371421217,2237.7116753120495,573.6859383658539,3.8110000000000004,"2-opt, double-bridge"
14,P-n101-k4,681,1190.5985438655198,1501.1053017977606,1349.746325430952,71.75728989589403,3.4186666666666667,"2-opt, double-bridge"
15,P-n76-k4,589,846.1714378176488,1596.2646693331849,1364.9987965104895,168.0987891969886,2.845,"2-opt, double-bridge"
16,A-n33-k5,661,703.8023564697716,800.9562705293422,740.8113069164415,26.07600449736676,1.994,"2-opt, shift-1, double-bridge"
17,A-n46-k7,914,979.6857511055513,1149.5803509738269,1064.1505319987498,39.39333270951386,2.373,"2-opt, shift-1, double-bridge"
18,A-n60-k9,1408,1470.1743385870554,1660.4408973831805,1584.3034760532346,46.49319928092898,2.7833333333333328,"2-opt, shift-1, double-bridge"
19,B-n35-k5,955,980.7085303917185,1148.7632236077513,1034.3815122926906,42.69123922828905,1.9806666666666668,"2-opt, shift-1, double-bridge"
20,B-n45-k5,751,791.6777127853846,1568.5974678348953,927.0660254264934,176.70240185911405,2.2186666666666666,"2-opt, shift-1, double-bridge"
21,B-n68-k9,1304,1381.5059805878745,1596.5883712350414,1477.2898672286765,57.396817153781605,2.909666666666667,"2-opt, shift-1, double-bridge"
22,B-n78-k10,1266,1375.0619695317007,1638.977240342454,1492.4082768652295,58.38721369762244,3.1733333333333333,"2-opt, shift-1, double-bridge"
23,E-n30-k3,534,553.6309295249689,779.5588667931081,634.2874610326254,58.27790206490713,1.5543333333333331,"2-opt, shift-1, double-bridge"
24,E-n51-k5,521,592.3753280664807,1020.6253363328647,705.542618665784,120.48226938694741,2.260333333333333,"2-opt, shift-1, double-bridge"
25,E-n76-k7,682,820.4873050119397,1016.1293469572247,868.0960309036232,40.26340870625486,2.779333333333333,"2-opt, shift-1, double-bridge"
26,F-n135-k7,1162,963.5335629874384,1376.290617062321,1118.9379641723337,88.71185583256575,2.904333333333333,"2-opt, shift-1, double-bridge"
27,F-n72-k4,237,315.0083305746424,454.1588660340028,385.3483876010395,29.90071229945899,2.829333333333333,"2-opt, shift-1, double-bridge"
28,M-n101-k10,820,1121.5788000132075,1306.9345432295008,1188.966953059396,43.41681441377796,3.7976666666666654,"2-opt, shift-1, double-bridge"
29,M-n121-k7,1034,1507.5451491562114,2850.805399208881,1857.647486828812,382.9102680464975,3.682666666666667,"2-opt, shift-1, double-bridge"
