,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n33-k5,939.6007442961528,661,2.45,"2-opt, double-bridge"
1,A-n33-k5,968.2462282729821,661,2.34,"2-opt, double-bridge"
2,A-n33-k5,911.2143344155086,661,2.57,"2-opt, double-bridge"
3,A-n33-k5,1056.251028785024,661,2.4,"2-opt, double-bridge"
4,A-n33-k5,859.0200768798453,661,2.41,"2-opt, double-bridge"
5,A-n33-k5,1049.5395041506065,661,2.69,"2-opt, double-bridge"
6,A-n33-k5,979.8943602160043,661,2.62,"2-opt, double-bridge"
7,A-n33-k5,946.1162013736785,661,2.51,"2-opt, double-bridge"
8,A-n33-k5,897.3756223661542,661,2.34,"2-opt, double-bridge"
9,A-n33-k5,824.5445878321725,661,2.31,"2-opt, double-bridge"
10,A-n33-k5,995.5381165883867,661,2.5,"2-opt, double-bridge"
11,A-n33-k5,904.7703779791432,661,2.5,"2-opt, double-bridge"
12,A-n33-k5,879.3846077719078,661,2.83,"2-opt, double-bridge"
13,A-n33-k5,931.6640004157872,661,2.63,"2-opt, double-bridge"
14,A-n33-k5,914.1858832904147,661,2.7,"2-opt, double-bridge"
15,A-n33-k5,926.0393937471608,661,3.02,"2-opt, double-bridge"
16,A-n33-k5,888.6291217811831,661,2.56,"2-opt, double-bridge"
17,A-n33-k5,910.9177121555437,661,2.34,"2-opt, double-bridge"
18,A-n33-k5,949.2845726008264,661,2.6,"2-opt, double-bridge"
19,A-n33-k5,942.7774503480542,661,2.4,"2-opt, double-bridge"
20,A-n33-k5,933.1815619184136,661,2.36,"2-opt, double-bridge"
21,A-n33-k5,976.236189100768,661,2.27,"2-opt, double-bridge"
22,A-n33-k5,930.7746917719064,661,2.3,"2-opt, double-bridge"
23,A-n33-k5,955.05000391273,661,2.37,"2-opt, double-bridge"
24,A-n33-k5,874.1102937964337,661,2.43,"2-opt, double-bridge"
25,A-n33-k5,897.4373023976661,661,2.25,"2-opt, double-bridge"
26,A-n33-k5,951.0840283622473,661,2.58,"2-opt, double-bridge"
27,A-n33-k5,852.8694860386478,661,2.27,"2-opt, double-bridge"
28,A-n33-k5,871.8048324598982,661,2.37,"2-opt, double-bridge"
29,A-n33-k5,914.0951214339296,661,2.24,"2-opt, double-bridge"
30,A-n46-k7,1262.90417518569,914,2.7,"2-opt, double-bridge"
31,A-n46-k7,1150.4955095736725,914,2.62,"2-opt, double-bridge"
32,A-n46-k7,1300.1738808867692,914,3.02,"2-opt, double-bridge"
33,A-n46-k7,1344.5224036075595,914,2.75,"2-opt, double-bridge"
34,A-n46-k7,1258.8778847120834,914,2.73,"2-opt, double-bridge"
35,A-n46-k7,1630.9976384721124,914,2.39,"2-opt, double-bridge"
36,A-n46-k7,1209.0735304222535,914,2.82,"2-opt, double-bridge"
37,A-n46-k7,1255.6930279591734,914,2.67,"2-opt, double-bridge"
38,A-n46-k7,1266.7332744016687,914,2.78,"2-opt, double-bridge"
39,A-n46-k7,1242.5467773568953,914,2.8,"2-opt, double-bridge"
40,A-n46-k7,1188.4570500682246,914,2.67,"2-opt, double-bridge"
41,A-n46-k7,1346.524993145593,914,2.66,"2-opt, double-bridge"
42,A-n46-k7,1271.171325819811,914,2.75,"2-opt, double-bridge"
43,A-n46-k7,1185.434527394294,914,2.71,"2-opt, double-bridge"
44,A-n46-k7,1350.0540893412588,914,2.72,"2-opt, double-bridge"
45,A-n46-k7,1501.4427109072901,914,2.75,"2-opt, double-bridge"
46,A-n46-k7,1205.3220028318053,914,2.68,"2-opt, double-bridge"
47,A-n46-k7,1289.9213945439699,914,2.69,"2-opt, double-bridge"
48,A-n46-k7,1296.2341755840607,914,2.78,"2-opt, double-bridge"
49,A-n46-k7,1457.2003850208807,914,2.71,"2-opt, double-bridge"
50,A-n46-k7,1152.0375110425016,914,2.75,"2-opt, double-bridge"
51,A-n46-k7,1386.3361825177951,914,2.91,"2-opt, double-bridge"
52,A-n46-k7,1174.8534636007014,914,2.75,"2-opt, double-bridge"
53,A-n46-k7,1244.8682380034245,914,2.7,"2-opt, double-bridge"
54,A-n46-k7,1314.2541950693444,914,2.78,"2-opt, double-bridge"
55,A-n46-k7,1209.1536426541145,914,2.67,"2-opt, double-bridge"
56,A-n46-k7,1267.527902729238,914,2.73,"2-opt, double-bridge"
57,A-n46-k7,1276.5611484906028,914,3.06,"2-opt, double-bridge"
58,A-n46-k7,1240.334631975439,914,2.75,"2-opt, double-bridge"
59,A-n46-k7,1156.2244728549185,914,2.68,"2-opt, double-bridge"
60,A-n60-k9,1986.4184893081049,1408,3.09,"2-opt, double-bridge"
61,A-n60-k9,1829.4097788567624,1408,3.12,"2-opt, double-bridge"
62,A-n60-k9,1734.7966538063283,1408,3.3,"2-opt, double-bridge"
63,A-n60-k9,2103.920815040324,1408,3.31,"2-opt, double-bridge"
64,A-n60-k9,1918.7131620519726,1408,3.1,"2-opt, double-bridge"
65,A-n60-k9,1691.2566692329485,1408,3.33,"2-opt, double-bridge"
66,A-n60-k9,1824.3717287081424,1408,3.01,"2-opt, double-bridge"
67,A-n60-k9,1874.824546936697,1408,3.1,"2-opt, double-bridge"
68,A-n60-k9,1796.644196987921,1408,3.46,"2-opt, double-bridge"
69,A-n60-k9,1790.2781714740008,1408,3.01,"2-opt, double-bridge"
70,A-n60-k9,1815.7383639248408,1408,3.41,"2-opt, double-bridge"
71,A-n60-k9,2010.739907151761,1408,3.13,"2-opt, double-bridge"
72,A-n60-k9,1789.8405258481146,1408,3.17,"2-opt, double-bridge"
73,A-n60-k9,1956.9143259119614,1408,3.08,"2-opt, double-bridge"
74,A-n60-k9,1949.7416406135446,1408,3.3,"2-opt, double-bridge"
75,A-n60-k9,1835.2464733666088,1408,3.06,"2-opt, double-bridge"
76,A-n60-k9,1983.9906618688904,1408,2.95,"2-opt, double-bridge"
77,A-n60-k9,1772.9225771231588,1408,2.91,"2-opt, double-bridge"
78,A-n60-k9,1825.3379133010073,1408,3.05,"2-opt, double-bridge"
79,A-n60-k9,1769.8704229175007,1408,3.11,"2-opt, double-bridge"
80,A-n60-k9,1738.9439808759619,1408,3.04,"2-opt, double-bridge"
81,A-n60-k9,1881.4569479679972,1408,2.95,"2-opt, double-bridge"
82,A-n60-k9,1868.3340520528607,1408,2.97,"2-opt, double-bridge"
83,A-n60-k9,1762.3040175948975,1408,3.21,"2-opt, double-bridge"
84,A-n60-k9,1722.7533856912535,1408,3.03,"2-opt, double-bridge"
85,A-n60-k9,1892.3729128224186,1408,3.13,"2-opt, double-bridge"
86,A-n60-k9,1647.0907779774873,1408,3.29,"2-opt, double-bridge"
87,A-n60-k9,1783.1071230862406,1408,3.21,"2-opt, double-bridge"
88,A-n60-k9,1666.8128236426514,1408,3.24,"2-opt, double-bridge"
89,A-n60-k9,1802.0987351966394,1408,3.2,"2-opt, double-bridge"
90,B-n35-k5,1122.0280400516078,955,2.35,"2-opt, double-bridge"
91,B-n35-k5,1208.8468701321476,955,2.25,"2-opt, double-bridge"
92,B-n35-k5,1217.4615121127993,955,2.36,"2-opt, double-bridge"
93,B-n35-k5,1087.8755702889707,955,2.33,"2-opt, double-bridge"
94,B-n35-k5,1174.4594498719355,955,2.32,"2-opt, double-bridge"
95,B-n35-k5,1285.7114313564782,955,2.35,"2-opt, double-bridge"
96,B-n35-k5,1186.807563083582,955,2.33,"2-opt, double-bridge"
97,B-n35-k5,1308.2766291901985,955,2.33,"2-opt, double-bridge"
98,B-n35-k5,1187.1022909990318,955,2.42,"2-opt, double-bridge"
99,B-n35-k5,1151.2885475088956,955,2.34,"2-opt, double-bridge"
100,B-n35-k5,1162.093085394626,955,2.36,"2-opt, double-bridge"
101,B-n35-k5,1114.057880513802,955,2.37,"2-opt, double-bridge"
102,B-n35-k5,1234.5635874191953,955,2.36,"2-opt, double-bridge"
103,B-n35-k5,1161.8343432325792,955,2.24,"2-opt, double-bridge"
104,B-n35-k5,1096.0316261630178,955,2.4,"2-opt, double-bridge"
105,B-n35-k5,1290.5936139429555,955,2.23,"2-opt, double-bridge"
