,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,822.9809987000001,962.6796629,894.0883674,33.95385748,1.7180000000000002,"2-opt, shift-1, double-bridge"
1,A-n33-k5,661,684.7114497,805.4762197000001,745.5481528,32.69729767,1.739,"2-opt, shift-1, double-bridge"
2,A-n33-k6,742,751.7963237,914.5272777,818.6370452000001,35.45579557,1.850333333,"2-opt, shift-1, double-bridge"
3,A-n34-k5,778,823.7179672999999,1009.432798,883.8826221,42.51915461,1.7396666669999998,"2-opt, shift-1, double-bridge"
4,A-n36-k5,799,853.6425122000002,991.8039127000001,913.4323402999999,30.33524619,1.7556666669999998,"2-opt, shift-1, double-bridge"
5,A-n37-k5,669,728.361414,841.3983997000001,772.0415187000001,30.89833834,1.819333333,"2-opt, shift-1, double-bridge"
6,A-n37-k6,949,1019.970884,1206.567161,1118.555208,55.38652583,1.928333333,"2-opt, shift-1, double-bridge"
7,A-n38-k5,730,811.0814943,1162.5741859999998,930.4993327,101.9627322,1.8186666669999998,"2-opt, shift-1, double-bridge"
8,A-n39-k5,822,917.0505904999999,1105.379854,991.4658142000001,41.35241901,1.764,"2-opt, shift-1, double-bridge"
9,A-n39-k6,831,902.2020831,1035.233378,956.9457603,33.02540027,1.855666667,"2-opt, shift-1, double-bridge"
10,A-n44-k6,937,1039.830551,1297.584722,1153.3654980000001,69.66399828,2.032333333,"2-opt, shift-1, double-bridge"
11,A-n45-k6,944,1062.283835,1627.6052339999999,1129.831014,99.33799362,2.108,"2-opt, shift-1, double-bridge"
12,A-n45-k7,1146,1258.3901,1382.34997,1313.045665,36.18751248,2.136,"2-opt, shift-1, double-bridge"
13,A-n46-k7,914,990.6918454,1222.896142,1054.530398,45.56841914,2.242666667,"2-opt, shift-1, double-bridge"
14,A-n48-k7,1073,1190.5826949999998,1328.547126,1246.1936369999999,33.51089347,2.230333333,"2-opt, shift-1, double-bridge"
15,A-n53-k7,1010,1132.5874609999998,1403.782716,1236.485009,75.45984267,2.25,"2-opt, shift-1, double-bridge"
16,A-n54-k7,1167,1303.4894960000001,1545.59398,1436.3662769999999,56.42877375,2.2033333330000002,"2-opt, shift-1, double-bridge"
17,A-n55-k9,1073,1147.457963,1454.5716439999999,1274.22458,56.19389136,2.479333333,"2-opt, shift-1, double-bridge"
18,A-n60-k9,1408,1499.738899,1751.6060120000002,1579.366904,62.01521811,2.5053333330000003,"2-opt, shift-1, double-bridge"
19,A-n61-k9,1035,1166.532103,1369.894569,1222.439267,45.01841597,2.648666667,"2-opt, shift-1, double-bridge"
20,A-n62-k8,1290,1468.3486710000002,1686.3496719999998,1560.397533,51.61919647,2.383666667,"2-opt, shift-1, double-bridge"
21,A-n63-k10,1315,1471.946701,1658.944161,1549.127468,39.941515700000004,2.687333333,"2-opt, shift-1, double-bridge"
22,A-n63-k9,1634,1835.070084,2286.35037,1974.4369969999998,89.25223181,2.529666667,"2-opt, shift-1, double-bridge"
23,A-n64-k9,1402,1579.5082300000001,1846.836061,1689.5861260000001,58.57067116,2.529666667,"2-opt, shift-1, double-bridge"
24,A-n65-k9,1177,1338.933803,1554.075431,1418.9007060000001,46.43095216,2.661,"2-opt, shift-1, double-bridge"
25,A-n69-k9,1168,1313.558866,1534.713606,1400.2046369999998,49.12810744,2.613,"2-opt, shift-1, double-bridge"
26,A-n80-k10,1764,2042.3011010000002,2304.049954,2160.207863,57.33344466,2.827,"2-opt, shift-1, double-bridge"
27,B-n31-k5,672,688.0553596,832.9334236000001,712.613454,33.85176781,1.7703333330000002,"2-opt, shift-1, double-bridge"
28,B-n34-k5,788,807.4620022999999,909.5961462000001,848.8671847999999,27.78533561,1.757333333,"2-opt, shift-1, double-bridge"
29,B-n35-k5,955,997.3428275,1109.402962,1031.574778,29.06822537,1.760666667,"2-opt, shift-1, double-bridge"
30,B-n38-k6,805,827.5498522,903.7639773,859.633662,20.81642551,1.9369999999999998,"2-opt, shift-1, double-bridge"
31,B-n39-k5,549,578.9903697000001,714.4798027,630.9590354,30.99722523,1.8273333330000001,"2-opt, shift-1, double-bridge"
