,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,1725.9827035786102,1791.7459586929624,1758.8643311357862,32.88162755717599,0.0,"2-opt, exchange, swap-2-2"
1,A-n33-k5,661,1503.5646234816074,1615.2237508883359,1559.394187184972,55.82956370336422,0.005,"2-opt, exchange, swap-2-2"
2,A-n33-k6,742,1537.1393929177862,1617.773605615658,1577.4564992667222,40.3171063489359,0.0,"2-opt, exchange, swap-2-2"
3,A-n34-k5,778,1706.2209177575064,1711.8346528243853,1709.027785290946,2.806867533439572,0.0,"2-opt, exchange, swap-2-2"
4,A-n36-k5,799,1763.5332291927389,1813.3550076423776,1788.4441184175587,24.910889224819247,0.0,"2-opt, exchange, swap-2-2"
5,A-n37-k5,669,1636.7212683813464,1694.1555298406681,1665.4383991110074,28.71713072966077,0.0,"2-opt, exchange, swap-2-2"
6,A-n37-k6,949,1923.685975613504,1980.6080058297446,1952.1469907216242,28.461015108120364,0.0,"2-opt, exchange, swap-2-2"
7,A-n38-k5,730,1838.7230926761788,1885.4769387894007,1862.1000157327896,23.376923056610853,0.0,"2-opt, exchange, swap-2-2"
8,A-n39-k5,822,1879.124261930528,1933.6510510545688,1906.3876564925479,27.263394562020487,0.005,"2-opt, exchange, swap-2-2"
9,A-n39-k6,831,1963.0554509269477,2059.125466074323,2011.0904585006353,48.03500757368784,0.005,"2-opt, exchange, swap-2-2"
10,A-n44-k6,937,2143.6862756803907,2227.972877332164,2185.8295765062776,42.143300825886634,0.005,"2-opt, exchange, swap-2-2"
11,A-n45-k6,944,2325.816005746235,2329.7711900980216,2327.793597922129,1.9775921758932784,0.005,"2-opt, exchange, swap-2-2"
12,A-n45-k7,1146,2285.1601927172023,2373.8066563029074,2329.4834245100546,44.32323179285253,0.005,"2-opt, exchange, swap-2-2"
13,A-n46-k7,914,2225.827108827145,2291.2209756150683,2258.5240422211064,32.69693339396167,0.005,"2-opt, exchange, swap-2-2"
14,A-n48-k7,1073,2504.1519242081995,2614.967198875371,2559.559561541785,55.40763733358561,0.0,"2-opt, exchange, swap-2-2"
15,A-n53-k7,1010,2651.706454295639,2783.745489303737,2717.725971799688,66.01951750404896,0.01,"2-opt, exchange, swap-2-2"
16,A-n54-k7,1167,2769.3315498723578,2779.9642594753477,2774.647904673853,5.316354801495208,0.005,"2-opt, exchange, swap-2-2"
17,A-n55-k9,1073,2773.877328348835,2877.318119276911,2825.597723812873,51.72039546403789,0.005,"2-opt, exchange, swap-2-2"
18,A-n60-k9,1408,3172.523510653603,3386.8129987788197,3279.668254716211,107.1447440626082,0.01,"2-opt, exchange, swap-2-2"
19,A-n61-k9,1035,2749.4478083216536,2753.593640435146,2751.5207243784002,2.0729160567461804,0.01,"2-opt, exchange, swap-2-2"
20,A-n62-k8,1290,3263.4816343807593,3369.305484315005,3316.3935593478823,52.91192496712279,0.01,"2-opt, exchange, swap-2-2"
21,A-n63-k10,1315,3235.8025688461357,3261.343684653763,3248.5731267499496,12.77055790381337,0.01,"2-opt, exchange, swap-2-2"
22,A-n63-k9,1634,3877.6258434182814,3963.56760791714,3920.5967256677104,42.97088224942946,0.01,"2-opt, exchange, swap-2-2"
23,A-n64-k9,1402,3351.1539730878117,3410.3590627195113,3380.756517903661,29.602544815849573,0.01,"2-opt, exchange, swap-2-2"
24,A-n65-k9,1177,3412.1981891865144,3497.904594325449,3455.051391755981,42.85320256946761,0.01,"2-opt, exchange, swap-2-2"
25,A-n69-k9,1168,3335.664746400913,3547.187662726204,3441.4262045635583,105.76145816264534,0.01,"2-opt, exchange, swap-2-2"
26,A-n80-k10,1764,4394.834135706782,4570.338540621917,4482.5863381643485,87.75220245756736,0.01,"2-opt, exchange, swap-2-2"
27,B-n31-k5,672,1126.9418932179258,1140.4168145989495,1133.6793539084379,6.737460690511965,0.0,"2-opt, exchange, swap-2-2"
28,B-n34-k5,788,1533.8348587469186,1565.2573358820543,1549.5460973144864,15.711238567567987,0.0,"2-opt, exchange, swap-2-2"
29,B-n35-k5,955,2112.4037607972464,2217.030905915161,2164.717333356204,52.31357255895728,0.0,"2-opt, exchange, swap-2-2"
30,B-n38-k6,805,1695.9070575519645,1745.8221984772995,1720.864628014632,24.95757046266749,0.0,"2-opt, exchange, swap-2-2"
