,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,873.1539449999999,784,1.78,"2-opt, shift-1, double-bridge"
1,A-n32-k5,882.2437067,784,1.72,"2-opt, shift-1, double-bridge"
2,A-n32-k5,912.3056803999999,784,1.61,"2-opt, shift-1, double-bridge"
3,A-n32-k5,901.4298017000001,784,1.82,"2-opt, shift-1, double-bridge"
4,A-n32-k5,872.8158002,784,1.79,"2-opt, shift-1, double-bridge"
5,A-n32-k5,878.5405092,784,1.65,"2-opt, shift-1, double-bridge"
6,A-n32-k5,893.2036171,784,1.67,"2-opt, shift-1, double-bridge"
7,A-n32-k5,961.1526025000001,784,1.7,"2-opt, shift-1, double-bridge"
8,A-n32-k5,842.8302364,784,1.66,"2-opt, shift-1, double-bridge"
9,A-n32-k5,884.5263148,784,1.79,"2-opt, shift-1, double-bridge"
10,A-n32-k5,962.6796629,784,1.77,"2-opt, shift-1, double-bridge"
11,A-n32-k5,878.8050494999999,784,1.73,"2-opt, shift-1, double-bridge"
12,A-n32-k5,890.4772287000001,784,1.76,"2-opt, shift-1, double-bridge"
13,A-n32-k5,873.6767156999999,784,1.73,"2-opt, shift-1, double-bridge"
14,A-n32-k5,822.9809987000001,784,1.76,"2-opt, shift-1, double-bridge"
15,A-n32-k5,902.1657479,784,1.77,"2-opt, shift-1, double-bridge"
16,A-n32-k5,873.7835877999999,784,1.74,"2-opt, shift-1, double-bridge"
17,A-n32-k5,912.3859718,784,1.72,"2-opt, shift-1, double-bridge"
18,A-n32-k5,916.9926475,784,1.75,"2-opt, shift-1, double-bridge"
19,A-n32-k5,924.3647305,784,1.57,"2-opt, shift-1, double-bridge"
20,A-n32-k5,934.5622426000001,784,1.62,"2-opt, shift-1, double-bridge"
21,A-n32-k5,906.5702932,784,1.72,"2-opt, shift-1, double-bridge"
22,A-n32-k5,867.9400309,784,1.63,"2-opt, shift-1, double-bridge"
23,A-n32-k5,864.7681978,784,1.77,"2-opt, shift-1, double-bridge"
24,A-n32-k5,840.9811784,784,1.74,"2-opt, shift-1, double-bridge"
25,A-n32-k5,960.2796856000001,784,1.57,"2-opt, shift-1, double-bridge"
26,A-n32-k5,935.5291552000001,784,1.74,"2-opt, shift-1, double-bridge"
27,A-n32-k5,898.6453639,784,1.73,"2-opt, shift-1, double-bridge"
28,A-n32-k5,868.3205992999999,784,1.79,"2-opt, shift-1, double-bridge"
29,A-n32-k5,884.5397211000001,784,1.74,"2-opt, shift-1, double-bridge"
30,A-n33-k5,745.6318517000001,661,1.7,"2-opt, shift-1, double-bridge"
31,A-n33-k5,715.4922467,661,1.76,"2-opt, shift-1, double-bridge"
32,A-n33-k5,736.4126986,661,1.74,"2-opt, shift-1, double-bridge"
33,A-n33-k5,747.2530373,661,1.74,"2-opt, shift-1, double-bridge"
34,A-n33-k5,771.9950176,661,1.73,"2-opt, shift-1, double-bridge"
35,A-n33-k5,735.8128446000001,661,1.74,"2-opt, shift-1, double-bridge"
36,A-n33-k5,783.0203297,661,1.74,"2-opt, shift-1, double-bridge"
37,A-n33-k5,706.9992662000001,661,1.72,"2-opt, shift-1, double-bridge"
38,A-n33-k5,782.7582385,661,1.73,"2-opt, shift-1, double-bridge"
39,A-n33-k5,744.9125861,661,1.73,"2-opt, shift-1, double-bridge"
40,A-n33-k5,732.3657975,661,1.78,"2-opt, shift-1, double-bridge"
41,A-n33-k5,781.2191908,661,1.75,"2-opt, shift-1, double-bridge"
42,A-n33-k5,774.3780515,661,1.76,"2-opt, shift-1, double-bridge"
43,A-n33-k5,684.7114497,661,1.75,"2-opt, shift-1, double-bridge"
44,A-n33-k5,751.4633456,661,1.75,"2-opt, shift-1, double-bridge"
45,A-n33-k5,720.2791489,661,1.73,"2-opt, shift-1, double-bridge"
46,A-n33-k5,796.2608581000001,661,1.73,"2-opt, shift-1, double-bridge"
47,A-n33-k5,740.186156,661,1.78,"2-opt, shift-1, double-bridge"
48,A-n33-k5,717.6155635,661,1.78,"2-opt, shift-1, double-bridge"
49,A-n33-k5,796.0134588,661,1.73,"2-opt, shift-1, double-bridge"
50,A-n33-k5,724.7915744,661,1.74,"2-opt, shift-1, double-bridge"
51,A-n33-k5,805.4762197000001,661,1.71,"2-opt, shift-1, double-bridge"
52,A-n33-k5,713.8144003,661,1.72,"2-opt, shift-1, double-bridge"
53,A-n33-k5,723.5230034,661,1.71,"2-opt, shift-1, double-bridge"
54,A-n33-k5,803.7502453,661,1.73,"2-opt, shift-1, double-bridge"
55,A-n33-k5,741.2935665,661,1.75,"2-opt, shift-1, double-bridge"
56,A-n33-k5,720.8632140999999,661,1.73,"2-opt, shift-1, double-bridge"
57,A-n33-k5,757.0620024,661,1.71,"2-opt, shift-1, double-bridge"
58,A-n33-k5,722.4618415,661,1.76,"2-opt, shift-1, double-bridge"
59,A-n33-k5,688.6273774,661,1.74,"2-opt, shift-1, double-bridge"
60,A-n33-k6,809.9764062,742,1.84,"2-opt, shift-1, double-bridge"
61,A-n33-k6,840.2880311,742,1.89,"2-opt, shift-1, double-bridge"
62,A-n33-k6,782.2411561,742,1.84,"2-opt, shift-1, double-bridge"
63,A-n33-k6,825.1181207000001,742,1.83,"2-opt, shift-1, double-bridge"
64,A-n33-k6,772.68348,742,1.85,"2-opt, shift-1, double-bridge"
65,A-n33-k6,792.6430994,742,1.82,"2-opt, shift-1, double-bridge"
66,A-n33-k6,836.6836256,742,1.88,"2-opt, shift-1, double-bridge"
