,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,854.6012412631226,784,2.0,"2-opt, reinsertion, swap-2-2"
1,A-n32-k5,824.4065503094978,784,2.21,"2-opt, reinsertion, swap-2-2"
2,A-n32-k5,839.2235537413567,784,2.12,"2-opt, reinsertion, swap-2-2"
3,A-n32-k5,862.9860954355403,784,2.08,"2-opt, reinsertion, swap-2-2"
4,A-n32-k5,895.6378404916965,784,2.0,"2-opt, reinsertion, swap-2-2"
5,A-n32-k5,872.265240113,784,1.94,"2-opt, reinsertion, swap-2-2"
6,A-n32-k5,911.9409351441044,784,2.07,"2-opt, reinsertion, swap-2-2"
7,A-n32-k5,937.9124572999416,784,1.86,"2-opt, reinsertion, swap-2-2"
8,A-n32-k5,850.1903848097738,784,2.1,"2-opt, reinsertion, swap-2-2"
9,A-n32-k5,853.404355309033,784,1.85,"2-opt, reinsertion, swap-2-2"
10,A-n32-k5,905.5047445744945,784,2.07,"2-opt, reinsertion, swap-2-2"
11,A-n32-k5,959.4786165121511,784,1.82,"2-opt, reinsertion, swap-2-2"
12,A-n32-k5,815.2981624598074,784,1.8,"2-opt, reinsertion, swap-2-2"
13,A-n32-k5,944.7517431234653,784,1.85,"2-opt, reinsertion, swap-2-2"
14,A-n32-k5,947.2571290307487,784,1.88,"2-opt, reinsertion, swap-2-2"
15,A-n32-k5,857.6638802141507,784,1.86,"2-opt, reinsertion, swap-2-2"
16,A-n32-k5,855.937775897418,784,1.79,"2-opt, reinsertion, swap-2-2"
17,A-n32-k5,982.7755554955645,784,1.84,"2-opt, reinsertion, swap-2-2"
18,A-n32-k5,925.8249141262781,784,1.86,"2-opt, reinsertion, swap-2-2"
19,A-n32-k5,897.3106918108607,784,1.85,"2-opt, reinsertion, swap-2-2"
20,A-n32-k5,787.0818888551103,784,2.07,"2-opt, reinsertion, swap-2-2"
21,A-n32-k5,916.9246926616343,784,2.14,"2-opt, reinsertion, swap-2-2"
22,A-n32-k5,897.2759990804085,784,1.88,"2-opt, reinsertion, swap-2-2"
23,A-n32-k5,943.7753243603664,784,1.95,"2-opt, reinsertion, swap-2-2"
24,A-n32-k5,847.1947664811341,784,1.91,"2-opt, reinsertion, swap-2-2"
25,A-n32-k5,980.1499038266643,784,1.61,"2-opt, reinsertion, swap-2-2"
26,A-n32-k5,907.2015122159256,784,1.88,"2-opt, reinsertion, swap-2-2"
27,A-n32-k5,916.3014050375082,784,1.89,"2-opt, reinsertion, swap-2-2"
28,A-n32-k5,868.9928001703054,784,1.84,"2-opt, reinsertion, swap-2-2"
29,A-n32-k5,880.3226898177059,784,1.83,"2-opt, reinsertion, swap-2-2"
30,A-n33-k5,792.1928012034234,661,1.81,"2-opt, reinsertion, swap-2-2"
31,A-n33-k5,695.3800918912157,661,1.84,"2-opt, reinsertion, swap-2-2"
32,A-n33-k5,707.7042057948388,661,1.8,"2-opt, reinsertion, swap-2-2"
33,A-n33-k5,758.1304549192394,661,1.81,"2-opt, reinsertion, swap-2-2"
34,A-n33-k5,718.8089664262508,661,1.92,"2-opt, reinsertion, swap-2-2"
35,A-n33-k5,768.742174310523,661,1.83,"2-opt, reinsertion, swap-2-2"
36,A-n33-k5,766.030441227391,661,1.9,"2-opt, reinsertion, swap-2-2"
37,A-n33-k5,785.9658610797019,661,1.81,"2-opt, reinsertion, swap-2-2"
38,A-n33-k5,776.5195799810718,661,1.83,"2-opt, reinsertion, swap-2-2"
39,A-n33-k5,709.0256462987941,661,1.84,"2-opt, reinsertion, swap-2-2"
40,A-n33-k5,700.6005903301445,661,1.9,"2-opt, reinsertion, swap-2-2"
41,A-n33-k5,740.0567740706522,661,1.99,"2-opt, reinsertion, swap-2-2"
42,A-n33-k5,749.380005600455,661,1.98,"2-opt, reinsertion, swap-2-2"
43,A-n33-k5,739.3985380516899,661,2.09,"2-opt, reinsertion, swap-2-2"
44,A-n33-k5,743.6961977686236,661,2.11,"2-opt, reinsertion, swap-2-2"
45,A-n33-k5,734.402312952104,661,1.87,"2-opt, reinsertion, swap-2-2"
46,A-n33-k5,716.2839286592465,661,1.85,"2-opt, reinsertion, swap-2-2"
47,A-n33-k5,864.4130412451144,661,1.93,"2-opt, reinsertion, swap-2-2"
48,A-n33-k5,790.7468424552586,661,2.02,"2-opt, reinsertion, swap-2-2"
49,A-n33-k5,741.8431813310231,661,1.91,"2-opt, reinsertion, swap-2-2"
50,A-n33-k5,830.3526672893618,661,1.73,"2-opt, reinsertion, swap-2-2"
51,A-n33-k5,783.3240704209817,661,1.77,"2-opt, reinsertion, swap-2-2"
52,A-n33-k5,677.0695480425273,661,1.73,"2-opt, reinsertion, swap-2-2"
53,A-n33-k5,754.1716641190187,661,1.79,"2-opt, reinsertion, swap-2-2"
54,A-n33-k5,705.3631403114587,661,1.78,"2-opt, reinsertion, swap-2-2"
55,A-n33-k5,722.2357788167687,661,1.74,"2-opt, reinsertion, swap-2-2"
56,A-n33-k5,752.9736145858869,661,1.77,"2-opt, reinsertion, swap-2-2"
57,A-n33-k5,802.3604940535788,661,1.76,"2-opt, reinsertion, swap-2-2"
58,A-n33-k5,720.0272039623071,661,1.9,"2-opt, reinsertion, swap-2-2"
59,A-n33-k5,804.0188782946154,661,1.84,"2-opt, reinsertion, swap-2-2"
60,A-n33-k6,786.7209570651975,742,1.97,"2-opt, reinsertion, swap-2-2"
61,A-n33-k6,805.1356345453478,742,1.82,"2-opt, reinsertion, swap-2-2"
62,A-n33-k6,823.3477818512711,742,1.88,"2-opt, reinsertion, swap-2-2"
63,A-n33-k6,881.5557361304225,742,1.87,"2-opt, reinsertion, swap-2-2"
64,A-n33-k6,829.3447352904337,742,2.07,"2-opt, reinsertion, swap-2-2"
65,A-n33-k6,858.8676766557608,742,1.84,"2-opt, reinsertion, swap-2-2"
66,A-n33-k6,814.2757253181788,742,1.85,"2-opt, reinsertion, swap-2-2"
67,A-n33-k6,759.2661210385688,742,1.95,"2-opt, reinsertion, swap-2-2"
68,A-n33-k6,969.9940179251626,742,1.86,"2-opt, reinsertion, swap-2-2"
69,A-n33-k6,845.6534767221447,742,1.83,"2-opt, reinsertion, swap-2-2"
70,A-n33-k6,888.0278270466862,742,1.86,"2-opt, reinsertion, swap-2-2"
71,A-n33-k6,814.2746422658628,742,2.08,"2-opt, reinsertion, swap-2-2"
72,A-n33-k6,930.0030853727491,742,2.06,"2-opt, reinsertion, swap-2-2"
73,A-n33-k6,787.1917524960294,742,2.0,"2-opt, reinsertion, swap-2-2"
74,A-n33-k6,887.4244408911064,742,2.08,"2-opt, reinsertion, swap-2-2"
75,A-n33-k6,866.8575304979516,742,1.94,"2-opt, reinsertion, swap-2-2"
76,A-n33-k6,802.094722822934,742,2.01,"2-opt, reinsertion, swap-2-2"
77,A-n33-k6,904.3846168361247,742,1.99,"2-opt, reinsertion, swap-2-2"
78,A-n33-k6,868.7291988559343,742,1.87,"2-opt, reinsertion, swap-2-2"
79,A-n33-k6,799.9525986204566,742,1.87,"2-opt, reinsertion, swap-2-2"
80,A-n33-k6,838.7806657448193,742,1.83,"2-opt, reinsertion, swap-2-2"
81,A-n33-k6,852.0619882190083,742,1.78,"2-opt, reinsertion, swap-2-2"
82,A-n33-k6,855.0358657461535,742,1.88,"2-opt, reinsertion, swap-2-2"
83,A-n33-k6,866.9395282570797,742,1.89,"2-opt, reinsertion, swap-2-2"
84,A-n33-k6,907.9897907705448,742,2.02,"2-opt, reinsertion, swap-2-2"
85,A-n33-k6,836.8722016987152,742,1.91,"2-opt, reinsertion, swap-2-2"
86,A-n33-k6,857.6536582693791,742,1.88,"2-opt, reinsertion, swap-2-2"
87,A-n33-k6,782.343054368997,742,1.84,"2-opt, reinsertion, swap-2-2"
88,A-n33-k6,920.9820779145645,742,1.83,"2-opt, reinsertion, swap-2-2"
89,A-n33-k6,859.470011033199,742,1.87,"2-opt, reinsertion, swap-2-2"
90,A-n34-k5,949.7448496880883,778,1.79,"2-opt, reinsertion, swap-2-2"
91,A-n34-k5,820.1516528685709,778,1.78,"2-opt, reinsertion, swap-2-2"
92,A-n34-k5,809.454558871757,778,1.76,"2-opt, reinsertion, swap-2-2"
93,A-n34-k5,878.8080169574001,778,1.8,"2-opt, reinsertion, swap-2-2"
94,A-n34-k5,850.1649517611231,778,1.87,"2-opt, reinsertion, swap-2-2"
95,A-n34-k5,847.424683863123,778,1.77,"2-opt, reinsertion, swap-2-2"
96,A-n34-k5,902.8929480158247,778,1.91,"2-opt, reinsertion, swap-2-2"
97,A-n34-k5,854.0202631754903,778,1.76,"2-opt, reinsertion, swap-2-2"
98,A-n34-k5,863.9511252482821,778,1.82,"2-opt, reinsertion, swap-2-2"
99,A-n34-k5,912.5765266156197,778,1.77,"2-opt, reinsertion, swap-2-2"
100,A-n34-k5,886.310854430655,778,1.76,"2-opt, reinsertion, swap-2-2"
101,A-n34-k5,814.1714381445761,778,1.8,"2-opt, reinsertion, swap-2-2"
102,A-n34-k5,900.4630567808194,778,1.79,"2-opt, reinsertion, swap-2-2"
103,A-n34-k5,867.1662843579978,778,1.77,"2-opt, reinsertion, swap-2-2"
104,A-n34-k5,872.9916980549231,778,1.77,"2-opt, reinsertion, swap-2-2"
105,A-n34-k5,901.0142710487497,778,1.91,"2-opt, reinsertion, swap-2-2"
106,A-n34-k5,851.1290634638503,778,1.76,"2-opt, reinsertion, swap-2-2"
107,A-n34-k5,876.8856427331492,778,1.84,"2-opt, reinsertion, swap-2-2"
108,A-n34-k5,881.8835531443173,778,1.76,"2-opt, reinsertion, swap-2-2"
109,A-n34-k5,800.5103201097136,778,1.78,"2-opt, reinsertion, swap-2-2"
