,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,937.1306866405979,784,2.62,"swap-2-1, reinsertion, swap-2-2"
1,A-n32-k5,861.592332472148,784,2.51,"swap-2-1, reinsertion, swap-2-2"
2,A-n32-k5,954.1030480027358,784,2.52,"swap-2-1, reinsertion, swap-2-2"
3,A-n32-k5,904.2273509649385,784,2.67,"swap-2-1, reinsertion, swap-2-2"
4,A-n32-k5,864.6472240543148,784,2.61,"swap-2-1, reinsertion, swap-2-2"
5,A-n32-k5,876.3313222840659,784,2.62,"swap-2-1, reinsertion, swap-2-2"
6,A-n32-k5,953.6015415273766,784,2.53,"swap-2-1, reinsertion, swap-2-2"
7,A-n32-k5,939.7122706424257,784,2.47,"swap-2-1, reinsertion, swap-2-2"
8,A-n32-k5,976.5391040026918,784,2.6,"swap-2-1, reinsertion, swap-2-2"
9,A-n32-k5,914.6057988842194,784,2.55,"swap-2-1, reinsertion, swap-2-2"
10,A-n32-k5,917.962560667384,784,2.51,"swap-2-1, reinsertion, swap-2-2"
11,A-n32-k5,828.8403250138774,784,3.03,"swap-2-1, reinsertion, swap-2-2"
12,A-n32-k5,914.9714920508881,784,2.47,"swap-2-1, reinsertion, swap-2-2"
13,A-n32-k5,1008.036888630547,784,2.38,"swap-2-1, reinsertion, swap-2-2"
14,A-n32-k5,849.6951388717913,784,2.86,"swap-2-1, reinsertion, swap-2-2"
15,A-n32-k5,959.8872534232524,784,2.57,"swap-2-1, reinsertion, swap-2-2"
16,A-n32-k5,931.1895250405165,784,2.57,"swap-2-1, reinsertion, swap-2-2"
17,A-n32-k5,872.866243850874,784,2.75,"swap-2-1, reinsertion, swap-2-2"
18,A-n32-k5,948.7631499551214,784,2.51,"swap-2-1, reinsertion, swap-2-2"
19,A-n32-k5,888.2107379124483,784,2.46,"swap-2-1, reinsertion, swap-2-2"
20,A-n32-k5,839.0674005961198,784,2.89,"swap-2-1, reinsertion, swap-2-2"
21,A-n32-k5,889.6219050643098,784,2.53,"swap-2-1, reinsertion, swap-2-2"
22,A-n32-k5,871.4229636655664,784,2.49,"swap-2-1, reinsertion, swap-2-2"
23,A-n32-k5,902.16149292371,784,2.42,"swap-2-1, reinsertion, swap-2-2"
24,A-n32-k5,904.7753657594316,784,2.51,"swap-2-1, reinsertion, swap-2-2"
25,A-n32-k5,967.2158732434491,784,2.51,"swap-2-1, reinsertion, swap-2-2"
26,A-n32-k5,890.2188305757214,784,2.58,"swap-2-1, reinsertion, swap-2-2"
27,A-n32-k5,838.3714527570239,784,2.73,"swap-2-1, reinsertion, swap-2-2"
28,A-n32-k5,914.2899776596214,784,2.61,"swap-2-1, reinsertion, swap-2-2"
29,A-n32-k5,827.3756426685829,784,2.67,"swap-2-1, reinsertion, swap-2-2"
30,A-n33-k5,813.492397226443,661,2.84,"swap-2-1, reinsertion, swap-2-2"
31,A-n33-k5,703.7973637518288,661,2.52,"swap-2-1, reinsertion, swap-2-2"
32,A-n33-k5,727.0821541822288,661,2.51,"swap-2-1, reinsertion, swap-2-2"
33,A-n33-k5,722.0067323191079,661,2.86,"swap-2-1, reinsertion, swap-2-2"
34,A-n33-k5,715.4523123776554,661,2.45,"swap-2-1, reinsertion, swap-2-2"
35,A-n33-k5,720.4440391172618,661,2.46,"swap-2-1, reinsertion, swap-2-2"
36,A-n33-k5,756.3226138640042,661,2.57,"swap-2-1, reinsertion, swap-2-2"
37,A-n33-k5,749.6009096263342,661,2.49,"swap-2-1, reinsertion, swap-2-2"
38,A-n33-k5,728.2418411698218,661,2.5,"swap-2-1, reinsertion, swap-2-2"
39,A-n33-k5,783.9274603859483,661,2.45,"swap-2-1, reinsertion, swap-2-2"
40,A-n33-k5,770.3092595109221,661,2.51,"swap-2-1, reinsertion, swap-2-2"
41,A-n33-k5,781.1697201257318,661,2.6,"swap-2-1, reinsertion, swap-2-2"
42,A-n33-k5,820.7914739906047,661,2.54,"swap-2-1, reinsertion, swap-2-2"
43,A-n33-k5,729.9782941387534,661,2.79,"swap-2-1, reinsertion, swap-2-2"
44,A-n33-k5,786.3622201299029,661,2.58,"swap-2-1, reinsertion, swap-2-2"
45,A-n33-k5,674.1165350267484,661,2.47,"swap-2-1, reinsertion, swap-2-2"
46,A-n33-k5,802.0856829373848,661,2.8,"swap-2-1, reinsertion, swap-2-2"
47,A-n33-k5,790.7882721174385,661,2.52,"swap-2-1, reinsertion, swap-2-2"
48,A-n33-k5,791.9318736332639,661,2.52,"swap-2-1, reinsertion, swap-2-2"
49,A-n33-k5,798.6658413747808,661,2.6,"swap-2-1, reinsertion, swap-2-2"
50,A-n33-k5,792.9994983607838,661,2.46,"swap-2-1, reinsertion, swap-2-2"
51,A-n33-k5,789.4043129827751,661,2.42,"swap-2-1, reinsertion, swap-2-2"
52,A-n33-k5,696.6138101497854,661,2.44,"swap-2-1, reinsertion, swap-2-2"
53,A-n33-k5,757.4041934133143,661,2.45,"swap-2-1, reinsertion, swap-2-2"
54,A-n33-k5,773.145779691805,661,2.45,"swap-2-1, reinsertion, swap-2-2"
55,A-n33-k5,836.2741303596471,661,2.45,"swap-2-1, reinsertion, swap-2-2"
56,A-n33-k5,780.8871253257668,661,2.71,"swap-2-1, reinsertion, swap-2-2"
57,A-n33-k5,741.6634765283552,661,3.86,"swap-2-1, reinsertion, swap-2-2"
58,A-n33-k5,787.412299992799,661,3.01,"swap-2-1, reinsertion, swap-2-2"
59,A-n33-k5,738.2009706076677,661,3.21,"swap-2-1, reinsertion, swap-2-2"
60,A-n33-k6,863.4683143346623,742,2.73,"swap-2-1, reinsertion, swap-2-2"
61,A-n33-k6,838.3635922170951,742,3.33,"swap-2-1, reinsertion, swap-2-2"
62,A-n33-k6,815.2949311301905,742,2.73,"swap-2-1, reinsertion, swap-2-2"
63,A-n33-k6,960.7076834594261,742,2.83,"swap-2-1, reinsertion, swap-2-2"
64,A-n33-k6,887.0686175021365,742,2.94,"swap-2-1, reinsertion, swap-2-2"
65,A-n33-k6,829.9275324658339,742,2.75,"swap-2-1, reinsertion, swap-2-2"
66,A-n33-k6,873.572994825397,742,2.63,"swap-2-1, reinsertion, swap-2-2"
