,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n33-k5,717.3250434723628,661,3.29,"2-opt, shift-1"
1,A-n33-k5,734.7456615997012,661,3.65,"2-opt, shift-1"
2,A-n33-k5,762.3776402280032,661,3.67,"2-opt, shift-1"
3,A-n33-k5,774.9446163314107,661,3.38,"2-opt, shift-1"
4,A-n33-k5,716.6033198967989,661,3.05,"2-opt, shift-1"
5,A-n33-k5,724.3018702360779,661,3.11,"2-opt, shift-1"
6,A-n33-k5,728.3431626172061,661,3.17,"2-opt, shift-1"
7,A-n33-k5,780.8944268998213,661,3.02,"2-opt, shift-1"
8,A-n33-k5,721.6753858022463,661,3.62,"2-opt, shift-1"
9,A-n33-k5,780.6375925077887,661,2.99,"2-opt, shift-1"
10,A-n33-k5,770.1789834910758,661,3.24,"2-opt, shift-1"
11,A-n33-k5,740.1185154592469,661,3.05,"2-opt, shift-1"
12,A-n33-k5,714.3022803298775,661,3.15,"2-opt, shift-1"
13,A-n33-k5,751.8704230952792,661,3.6,"2-opt, shift-1"
14,A-n33-k5,673.8418822559349,661,3.26,"2-opt, shift-1"
15,A-n33-k5,741.978768241255,661,3.17,"2-opt, shift-1"
16,A-n33-k5,704.3023261952832,661,3.16,"2-opt, shift-1"
17,A-n33-k5,721.6166759081655,661,3.2,"2-opt, shift-1"
18,A-n33-k5,756.3128056695577,661,3.29,"2-opt, shift-1"
19,A-n33-k5,705.8515542480131,661,3.21,"2-opt, shift-1"
20,A-n33-k5,784.9303356434143,661,3.13,"2-opt, shift-1"
21,A-n33-k5,738.8703237336763,661,3.46,"2-opt, shift-1"
22,A-n33-k5,742.01032147509,661,3.08,"2-opt, shift-1"
23,A-n33-k5,748.8050751379708,661,3.1,"2-opt, shift-1"
24,A-n33-k5,814.0629059033553,661,3.11,"2-opt, shift-1"
25,A-n33-k5,726.3415665782795,661,3.06,"2-opt, shift-1"
26,A-n33-k5,719.5569224410109,661,3.54,"2-opt, shift-1"
27,A-n33-k5,715.8381532845023,661,3.12,"2-opt, shift-1"
28,A-n33-k5,760.3736167437456,661,3.09,"2-opt, shift-1"
29,A-n33-k5,825.983815247971,661,3.13,"2-opt, shift-1"
30,A-n46-k7,1089.7073919582656,914,3.75,"2-opt, shift-1"
31,A-n46-k7,1045.3575623244617,914,4.65,"2-opt, shift-1"
32,A-n46-k7,1152.5949216799236,914,3.76,"2-opt, shift-1"
33,A-n46-k7,1026.120899092222,914,4.19,"2-opt, shift-1"
34,A-n46-k7,1045.873522897956,914,3.79,"2-opt, shift-1"
35,A-n46-k7,1056.2607512714824,914,4.19,"2-opt, shift-1"
36,A-n46-k7,1067.2437354594888,914,3.75,"2-opt, shift-1"
37,A-n46-k7,1049.8904225346814,914,4.05,"2-opt, shift-1"
