,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,1791.7459586929624,784,0.0,"2-opt, exchange, swap-2-2"
1,A-n32-k5,1725.9827035786102,784,0.0,"2-opt, exchange, swap-2-2"
2,A-n33-k5,1615.2237508883359,661,0.0,"2-opt, exchange, swap-2-2"
3,A-n33-k5,1503.5646234816074,661,0.01,"2-opt, exchange, swap-2-2"
4,A-n33-k6,1537.1393929177862,742,0.0,"2-opt, exchange, swap-2-2"
5,A-n33-k6,1617.773605615658,742,0.0,"2-opt, exchange, swap-2-2"
6,A-n34-k5,1706.2209177575064,778,0.0,"2-opt, exchange, swap-2-2"
7,A-n34-k5,1711.8346528243853,778,0.0,"2-opt, exchange, swap-2-2"
8,A-n36-k5,1813.3550076423776,799,0.0,"2-opt, exchange, swap-2-2"
9,A-n36-k5,1763.5332291927389,799,0.0,"2-opt, exchange, swap-2-2"
10,A-n37-k5,1694.1555298406681,669,0.0,"2-opt, exchange, swap-2-2"
11,A-n37-k5,1636.7212683813464,669,0.0,"2-opt, exchange, swap-2-2"
12,A-n37-k6,1980.6080058297446,949,0.0,"2-opt, exchange, swap-2-2"
13,A-n37-k6,1923.685975613504,949,0.0,"2-opt, exchange, swap-2-2"
14,A-n38-k5,1838.7230926761788,730,0.0,"2-opt, exchange, swap-2-2"
15,A-n38-k5,1885.4769387894007,730,0.0,"2-opt, exchange, swap-2-2"
16,A-n39-k5,1879.124261930528,822,0.0,"2-opt, exchange, swap-2-2"
17,A-n39-k5,1933.6510510545688,822,0.01,"2-opt, exchange, swap-2-2"
18,A-n39-k6,1963.0554509269477,831,0.0,"2-opt, exchange, swap-2-2"
19,A-n39-k6,2059.125466074323,831,0.01,"2-opt, exchange, swap-2-2"
20,A-n44-k6,2143.6862756803907,937,0.0,"2-opt, exchange, swap-2-2"
21,A-n44-k6,2227.972877332164,937,0.01,"2-opt, exchange, swap-2-2"
22,A-n45-k6,2325.816005746235,944,0.01,"2-opt, exchange, swap-2-2"
23,A-n45-k6,2329.7711900980216,944,0.0,"2-opt, exchange, swap-2-2"
24,A-n45-k7,2285.1601927172023,1146,0.01,"2-opt, exchange, swap-2-2"
25,A-n45-k7,2373.8066563029074,1146,0.0,"2-opt, exchange, swap-2-2"
26,A-n46-k7,2291.2209756150683,914,0.0,"2-opt, exchange, swap-2-2"
27,A-n46-k7,2225.827108827145,914,0.01,"2-opt, exchange, swap-2-2"
28,A-n48-k7,2614.967198875371,1073,0.0,"2-opt, exchange, swap-2-2"
29,A-n48-k7,2504.1519242081995,1073,0.0,"2-opt, exchange, swap-2-2"
30,A-n53-k7,2651.706454295639,1010,0.01,"2-opt, exchange, swap-2-2"
31,A-n53-k7,2783.745489303737,1010,0.01,"2-opt, exchange, swap-2-2"
32,A-n54-k7,2769.3315498723578,1167,0.01,"2-opt, exchange, swap-2-2"
33,A-n54-k7,2779.9642594753477,1167,0.0,"2-opt, exchange, swap-2-2"
34,A-n55-k9,2773.877328348835,1073,0.01,"2-opt, exchange, swap-2-2"
35,A-n55-k9,2877.318119276911,1073,0.0,"2-opt, exchange, swap-2-2"
36,A-n60-k9,3172.523510653603,1408,0.01,"2-opt, exchange, swap-2-2"
37,A-n60-k9,3386.8129987788197,1408,0.01,"2-opt, exchange, swap-2-2"
38,A-n61-k9,2749.4478083216536,1035,0.01,"2-opt, exchange, swap-2-2"
39,A-n61-k9,2753.593640435146,1035,0.01,"2-opt, exchange, swap-2-2"
40,A-n62-k8,3369.305484315005,1290,0.01,"2-opt, exchange, swap-2-2"
41,A-n62-k8,3263.4816343807593,1290,0.01,"2-opt, exchange, swap-2-2"
42,A-n63-k10,3261.343684653763,1315,0.01,"2-opt, exchange, swap-2-2"
43,A-n63-k10,3235.8025688461357,1315,0.01,"2-opt, exchange, swap-2-2"
44,A-n63-k9,3877.6258434182814,1634,0.01,"2-opt, exchange, swap-2-2"
45,A-n63-k9,3963.56760791714,1634,0.01,"2-opt, exchange, swap-2-2"
46,A-n64-k9,3410.3590627195113,1402,0.01,"2-opt, exchange, swap-2-2"
47,A-n64-k9,3351.1539730878117,1402,0.01,"2-opt, exchange, swap-2-2"
48,A-n65-k9,3412.1981891865144,1177,0.01,"2-opt, exchange, swap-2-2"
49,A-n65-k9,3497.904594325449,1177,0.01,"2-opt, exchange, swap-2-2"
50,A-n69-k9,3547.187662726204,1168,0.01,"2-opt, exchange, swap-2-2"
51,A-n69-k9,3335.664746400913,1168,0.01,"2-opt, exchange, swap-2-2"
52,A-n80-k10,4570.338540621917,1764,0.01,"2-opt, exchange, swap-2-2"
53,A-n80-k10,4394.834135706782,1764,0.01,"2-opt, exchange, swap-2-2"
54,B-n31-k5,1140.4168145989495,672,0.0,"2-opt, exchange, swap-2-2"
55,B-n31-k5,1126.9418932179258,672,0.0,"2-opt, exchange, swap-2-2"
56,B-n34-k5,1533.8348587469186,788,0.0,"2-opt, exchange, swap-2-2"
57,B-n34-k5,1565.2573358820543,788,0.0,"2-opt, exchange, swap-2-2"
58,B-n35-k5,2217.030905915161,955,0.0,"2-opt, exchange, swap-2-2"
59,B-n35-k5,2112.4037607972464,955,0.0,"2-opt, exchange, swap-2-2"
60,B-n38-k6,1745.8221984772995,805,0.0,"2-opt, exchange, swap-2-2"
61,B-n38-k6,1695.9070575519645,805,0.0,"2-opt, exchange, swap-2-2"
62,B-n39-k5,1767.5654985764922,549,0.0,"2-opt, exchange, swap-2-2"
63,B-n39-k5,1598.076934363425,549,0.0,"2-opt, exchange, swap-2-2"
64,B-n41-k6,2080.6231795041253,829,0.0,"2-opt, exchange, swap-2-2"
65,B-n41-k6,2003.1027118258846,829,0.0,"2-opt, exchange, swap-2-2"
66,B-n43-k6,1757.9757996924905,742,0.0,"2-opt, exchange, swap-2-2"
67,B-n43-k6,1763.8551225196536,742,0.0,"2-opt, exchange, swap-2-2"
68,B-n44-k7,1983.4502829078974,909,0.01,"2-opt, exchange, swap-2-2"
69,B-n44-k7,2176.8480020169573,909,0.0,"2-opt, exchange, swap-2-2"
70,B-n45-k5,2262.249173954089,751,0.01,"2-opt, exchange, swap-2-2"
71,B-n45-k5,2057.7910266362114,751,0.0,"2-opt, exchange, swap-2-2"
72,B-n45-k6,1669.5914567143375,678,0.01,"2-opt, exchange, swap-2-2"
73,B-n45-k6,1562.1047443377404,678,0.0,"2-opt, exchange, swap-2-2"
74,B-n50-k7,2186.5056043238337,741,0.01,"2-opt, exchange, swap-2-2"
75,B-n50-k7,2309.230884255378,741,0.01,"2-opt, exchange, swap-2-2"
76,B-n50-k8,2526.5555504920985,1313,0.01,"2-opt, exchange, swap-2-2"
77,B-n50-k8,2410.023566272213,1313,0.01,"2-opt, exchange, swap-2-2"
78,B-n51-k7,2973.8478342113194,1032,0.0,"2-opt, exchange, swap-2-2"
79,B-n51-k7,3094.6161406449883,1032,0.01,"2-opt, exchange, swap-2-2"
80,B-n52-k7,2584.8065405789457,747,0.01,"2-opt, exchange, swap-2-2"
81,B-n52-k7,2566.8975971183245,747,0.01,"2-opt, exchange, swap-2-2"
82,B-n56-k7,2648.8487234176864,707,0.0,"2-opt, exchange, swap-2-2"
83,B-n56-k7,2480.5253454796025,707,0.0,"2-opt, exchange, swap-2-2"
84,B-n57-k7,3163.1475141732353,1153,0.01,"2-opt, exchange, swap-2-2"
85,B-n57-k7,3514.7055652547656,1153,0.0,"2-opt, exchange, swap-2-2"
86,B-n57-k9,3223.3179628679645,1598,0.01,"2-opt, exchange, swap-2-2"
87,B-n57-k9,3281.3856580575707,1598,0.0,"2-opt, exchange, swap-2-2"
88,B-n63-k10,3384.866558770251,1537,0.01,"2-opt, exchange, swap-2-2"
89,B-n63-k10,3729.891755487512,1537,0.01,"2-opt, exchange, swap-2-2"
90,B-n64-k9,2880.055254523753,861,0.01,"2-opt, exchange, swap-2-2"
91,B-n64-k9,2605.9735484476714,861,0.01,"2-opt, exchange, swap-2-2"
92,B-n66-k9,3498.24929913115,1374,0.01,"2-opt, exchange, swap-2-2"
93,B-n66-k9,3440.957417111384,1374,0.01,"2-opt, exchange, swap-2-2"
94,B-n67-k10,2994.93413048736,1033,0.01,"2-opt, exchange, swap-2-2"
95,B-n67-k10,3118.30740085445,1033,0.01,"2-opt, exchange, swap-2-2"
96,B-n68-k9,3659.073102775841,1304,0.01,"2-opt, exchange, swap-2-2"
97,B-n68-k9,3347.1507803273107,1304,0.01,"2-opt, exchange, swap-2-2"
98,B-n78-k10,4001.8923552058695,1266,0.01,"2-opt, exchange, swap-2-2"
99,B-n78-k10,3920.4128309302578,1266,0.01,"2-opt, exchange, swap-2-2"
100,P-n101-k4,3183.2009590769603,681,0.01,"2-opt, exchange, swap-2-2"
101,P-n101-k4,3151.181278347063,681,0.0,"2-opt, exchange, swap-2-2"
102,P-n16-k8,549.9312385877346,435,0.0,"2-opt, exchange, swap-2-2"
103,P-n16-k8,526.4926752638172,435,0.0,"2-opt, exchange, swap-2-2"
