,Name,Optimal Value,Minimum Solution Cost,Max Solution Cost,Avg Solution Cost,Std of Solution Cost,Avg Run Time,Implementation
0,A-n32-k5,784,787.0818888551103,982.7755554955645,891.3197616556256,48.19287304020063,1.9283333333333335,"2-opt, reinsertion, swap-2-2"
1,A-n33-k5,661,677.0695480425273,864.4130412451144,751.7072898497757,41.996194995129265,1.861666666666667,"2-opt, reinsertion, swap-2-2"
2,A-n33-k6,742,759.2661210385688,969.9940179251626,850.0410373423595,47.87384117480776,1.9143333333333332,"2-opt, reinsertion, swap-2-2"
3,A-n34-k5,778,800.5103201097136,949.7448496880883,870.150129195254,39.68616531911707,1.818,"2-opt, reinsertion, swap-2-2"
4,A-n36-k5,799,839.7202013868736,995.4603362771696,901.8259442311792,35.32828890225701,1.8653333333333333,"2-opt, reinsertion, swap-2-2"
5,A-n37-k5,669,717.5691045271519,935.6776308095195,780.0326432965355,44.191772941224684,1.8823333333333339,"2-opt, reinsertion, swap-2-2"
6,A-n37-k6,949,1011.3520354107319,1227.6473877836338,1085.3536198153602,47.45906175048837,2.057666666666666,"2-opt, reinsertion, swap-2-2"
7,A-n38-k5,730,794.3812830142845,1028.186169322968,876.8018510490008,61.79769122316986,1.9276666666666664,"2-opt, reinsertion, swap-2-2"
8,A-n39-k5,822,891.6770538976003,1086.1124061158987,975.9806005833634,49.43894901318835,1.8673333333333335,"2-opt, reinsertion, swap-2-2"
9,A-n39-k6,831,874.5154929744742,1108.5553961725693,965.2039426441439,53.54408807741068,2.0156666666666667,"2-opt, reinsertion, swap-2-2"
10,A-n44-k6,937,1010.9935056911468,1226.6599416976892,1117.7943529674578,51.27899376975125,2.1260000000000003,"2-opt, reinsertion, swap-2-2"
11,A-n45-k6,944,1012.8119877327645,1296.5675104594043,1116.9819938375556,69.3465852390687,2.1816666666666666,"2-opt, reinsertion, swap-2-2"
12,A-n45-k7,1146,1237.5629367565239,1414.9998453005687,1308.1986001427258,41.014049015303925,2.1623333333333337,"2-opt, reinsertion, swap-2-2"
13,A-n46-k7,914,1003.1061961714731,1259.0880284761035,1072.3361795182232,53.41764000912222,2.1820000000000004,"2-opt, reinsertion, swap-2-2"
14,A-n48-k7,1073,1166.4009887635543,1360.363076443452,1250.7579636991572,47.394567081638705,2.199666666666667,"2-opt, reinsertion, swap-2-2"
15,A-n53-k7,1010,1094.616415881541,1422.4372995532515,1205.7455534190233,68.31918663387853,2.3666666666666667,"2-opt, reinsertion, swap-2-2"
16,A-n54-k7,1167,1266.2326680731758,1487.6795015460104,1384.7825001258884,60.05763818368659,2.376666666666667,"2-opt, reinsertion, swap-2-2"
17,A-n55-k9,1073,1197.846967102741,1408.2993079251419,1293.8892308265079,59.08484638999971,2.5980000000000003,"2-opt, reinsertion, swap-2-2"
18,A-n60-k9,1408,1492.2929037519705,1822.766735294442,1600.2057572691326,66.59828522541827,2.6363333333333325,"2-opt, reinsertion, swap-2-2"
19,A-n61-k9,1035,1156.705963826997,1347.5385452488104,1257.8637383182893,45.329663809628585,2.735333333333334,"2-opt, reinsertion, swap-2-2"
20,A-n62-k8,1290,1445.1400858412794,1679.630082422084,1552.1395214651222,59.091628619871244,2.499666666666667,"2-opt, reinsertion, swap-2-2"
21,A-n63-k10,1315,1442.3513937313944,1678.6379561894992,1566.0079320581676,49.7573433230758,2.8216666666666663,"2-opt, reinsertion, swap-2-2"
22,A-n63-k9,1634,1771.1366235193789,2007.9289445855666,1891.9272031254638,49.78127839462931,2.7350000000000003,"2-opt, reinsertion, swap-2-2"
23,A-n64-k9,1402,1500.4317100825724,1761.8204123989456,1652.9729918033981,61.93711529532999,2.718666666666666,"2-opt, reinsertion, swap-2-2"
24,A-n65-k9,1177,1318.0541998728224,1689.0308795915707,1446.5860898324331,87.13558353832285,2.809333333333334,"2-opt, reinsertion, swap-2-2"
25,A-n69-k9,1168,1284.1365086558726,1560.5196257174982,1418.282632345284,66.62808239164606,2.807333333333333,"2-opt, reinsertion, swap-2-2"
26,A-n80-k10,1764,2044.1939238129025,2369.0443505181292,2158.936243159013,68.90226935836294,3.0010000000000003,"2-opt, reinsertion, swap-2-2"
27,B-n31-k5,672,682.0855156782836,845.0437995851422,725.7267401004385,42.54445695629573,1.8110000000000002,"2-opt, reinsertion, swap-2-2"
28,B-n34-k5,788,798.3089401314367,966.6435664690665,888.914375208742,50.47326921312887,1.8603333333333332,"2-opt, reinsertion, swap-2-2"
29,B-n35-k5,955,961.2149558868375,1149.3599596224258,1028.7858678925782,42.46842068412363,1.8396666666666668,"2-opt, reinsertion, swap-2-2"
30,B-n38-k6,805,825.8839332704127,989.6089500867332,878.0323452510378,31.040329593280894,1.9920000000000002,"2-opt, reinsertion, swap-2-2"
31,B-n39-k5,549,564.7184210871685,706.8029335548566,634.8576464555211,37.793742072532716,1.8863333333333336,"2-opt, reinsertion, swap-2-2"
32,B-n41-k6,829,868.6820895434804,1123.1898378128676,980.9732714077647,63.38022107101958,2.050666666666667,"2-opt, reinsertion, swap-2-2"
33,B-n43-k6,742,751.3214577952215,893.6244395921897,821.5833960295143,31.083083679164645,2.063,"2-opt, reinsertion, swap-2-2"
34,B-n44-k7,909,937.4869490190389,1239.8281966899062,1054.6852534702175,57.789039177806586,2.215666666666666,"2-opt, reinsertion, swap-2-2"
35,B-n45-k5,751,783.1020822401362,1010.8663160518186,878.3989709028469,60.899662306174356,2.05,"2-opt, reinsertion, swap-2-2"
36,B-n45-k6,678,732.8589803199224,983.7882399660065,793.4349685181573,46.78865895451861,2.2150000000000003,"2-opt, reinsertion, swap-2-2"
37,B-n50-k7,741,760.1443046571909,1025.1715089863253,869.7905973946888,65.1478340363425,2.2796666666666665,"2-opt, reinsertion, swap-2-2"
38,B-n50-k8,1313,1359.949558293134,1652.9572751080934,1436.3281856800206,64.13289202911152,2.3773333333333335,"2-opt, reinsertion, swap-2-2"
39,B-n51-k7,1032,1067.440913333887,1457.5044786060423,1226.6153644861365,80.47055116951509,2.4210000000000003,"2-opt, reinsertion, swap-2-2"
40,B-n52-k7,747,757.973780718597,1036.7139867372075,864.7711151599045,64.29799508717993,2.3120000000000003,"2-opt, reinsertion, swap-2-2"
41,B-n56-k7,707,754.2946270313429,955.6179227664657,815.8139346097282,57.204324277977214,2.330333333333333,"2-opt, reinsertion, swap-2-2"
42,B-n57-k7,1153,1198.87080459518,1682.3454872163272,1369.971408262357,96.13765134808393,2.4633333333333334,"2-opt, reinsertion, swap-2-2"
43,B-n57-k9,1598,1691.4534084217637,1891.9598600329048,1772.1720446993406,48.02455360321935,2.5646666666666667,"2-opt, reinsertion, swap-2-2"
44,B-n63-k10,1537,1641.795149690743,1940.0200236865135,1787.9053153221328,76.14429536150793,2.810333333333333,"2-opt, reinsertion, swap-2-2"
45,B-n64-k9,861,921.0052836608719,1155.6422782483198,1041.6133133393002,64.64720863566454,2.8129999999999997,"2-opt, reinsertion, swap-2-2"
46,B-n66-k9,1374,1409.925035285386,1735.374309903855,1547.9984467617528,83.08069270329167,2.8019999999999996,"2-opt, reinsertion, swap-2-2"
47,B-n67-k10,1033,1131.986285025302,1414.202074847604,1255.8697613015106,90.63658306326049,2.869333333333334,"2-opt, reinsertion, swap-2-2"
48,B-n68-k9,1304,1412.7847384243582,1655.030551404824,1501.5393922843646,52.86856305557997,2.7460000000000004,"2-opt, reinsertion, swap-2-2"
49,B-n78-k10,1266,1411.6294902938728,1710.6480534877624,1521.3256941476177,76.95236420713691,3.048333333333333,"2-opt, reinsertion, swap-2-2"
50,P-n101-k4,681,878.6444159664069,1025.6092411549641,958.998370288435,34.95564678914261,2.656333333333334,"2-opt, reinsertion, swap-2-2"
51,P-n16-k8,435,451.33508020861797,479.18780459916917,459.9249465037461,7.0431169422546525,1.812666666666667,"2-opt, reinsertion, swap-2-2"
52,P-n19-k2,212,212.6569041858923,271.0220959518897,243.536095160012,14.537760135476084,1.29,"2-opt, reinsertion, swap-2-2"
53, P-n20-k2,220,217.41558334616656,268.7839578079651,233.19869346551485,12.541561690634559,1.315,"2-opt, reinsertion, swap-2-2"
54,P-n21-k2,211,212.71153970290385,260.5244403326519,228.43058722058143,14.688711281871354,1.3773333333333335,"2-opt, reinsertion, swap-2-2"
55,P-n22-k2,216,217.85215074022966,292.72889449894177,236.6528419522025,18.930801039847033,1.341,"2-opt, reinsertion, swap-2-2"
56,P-n22-k8,603,614.0358235309862,689.4339038537823,646.7408764930559,20.824596596391494,2.0879999999999996,"2-opt, reinsertion, swap-2-2"
57,P-n23-k8,554,544.0443782262441,626.5473310278499,581.7766681382074,23.718717117393087,2.1516666666666664,"2-opt, reinsertion, swap-2-2"
58,P-n40-k5.vrp,458,479.89817629802457,599.0927829122714,536.2342474290155,27.328308430002288,1.9129999999999998,"2-opt, reinsertion, swap-2-2"
59,P-n45-k5,510,542.2948766025984,669.5816664568399,595.0523628495938,32.2040551501778,1.9353333333333333,"2-opt, reinsertion, swap-2-2"
60,P-n50-k10,696,762.6371268345216,846.3331439927545,801.2113481257394,21.031542537098307,2.701333333333333,"2-opt, reinsertion, swap-2-2"
61, P-n50-k7,554,592.3259121000938,756.6264495749788,641.3329685914798,30.553916217848723,2.240333333333334,"2-opt, reinsertion, swap-2-2"
62,P-n50-k8,649,666.5043366138577,788.4569761081594,715.1438286407672,27.63562751858089,2.489666666666667,"2-opt, reinsertion, swap-2-2"
63,P-n51-k10,745,809.4790466052015,942.478760911181,863.1342773546738,29.350662694028923,2.7676666666666674,"2-opt, reinsertion, swap-2-2"
64,P-n55-k10,669,740.1766465528608,887.544791331223,802.5315251944356,32.756070328126945,2.6710000000000003,"2-opt, reinsertion, swap-2-2"
65,P-n55-k15,856,998.3166109756747,1116.335833814044,1054.624177178389,26.64947236985677,3.667333333333333,"2-opt, reinsertion, swap-2-2"
