,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,885.5533336712358,784,2.38,"2-opt, shift-1, swap-2-2"
1,A-n32-k5,866.8102535180127,784,2.25,"2-opt, shift-1, swap-2-2"
2,A-n32-k5,901.5281791016946,784,2.38,"2-opt, shift-1, swap-2-2"
3,A-n32-k5,855.7838526640271,784,2.39,"2-opt, shift-1, swap-2-2"
4,A-n32-k5,903.9277350580134,784,2.47,"2-opt, shift-1, swap-2-2"
5,A-n32-k5,915.8957194293539,784,2.41,"2-opt, shift-1, swap-2-2"
6,A-n32-k5,946.1450795235723,784,2.39,"2-opt, shift-1, swap-2-2"
7,A-n32-k5,863.5559632161103,784,2.41,"2-opt, shift-1, swap-2-2"
8,A-n32-k5,920.068844987405,784,2.41,"2-opt, shift-1, swap-2-2"
9,A-n32-k5,850.8833098616002,784,2.22,"2-opt, shift-1, swap-2-2"
10,A-n32-k5,897.8534745923779,784,2.41,"2-opt, shift-1, swap-2-2"
11,A-n32-k5,910.8760537466484,784,2.38,"2-opt, shift-1, swap-2-2"
12,A-n32-k5,895.1577902693471,784,2.42,"2-opt, shift-1, swap-2-2"
13,A-n32-k5,963.2643133761343,784,2.42,"2-opt, shift-1, swap-2-2"
14,A-n32-k5,858.0699028361869,784,2.34,"2-opt, shift-1, swap-2-2"
15,A-n32-k5,928.0991887719326,784,2.21,"2-opt, shift-1, swap-2-2"
16,A-n32-k5,860.9663204002112,784,2.19,"2-opt, shift-1, swap-2-2"
17,A-n32-k5,857.0751298891121,784,2.26,"2-opt, shift-1, swap-2-2"
18,A-n32-k5,884.5259213452075,784,2.51,"2-opt, shift-1, swap-2-2"
19,A-n32-k5,953.8376306485594,784,2.4,"2-opt, shift-1, swap-2-2"
20,A-n32-k5,936.7743531809157,784,2.43,"2-opt, shift-1, swap-2-2"
21,A-n32-k5,936.933803564294,784,2.4,"2-opt, shift-1, swap-2-2"
22,A-n32-k5,900.7048621411243,784,2.4,"2-opt, shift-1, swap-2-2"
23,A-n32-k5,870.2240165343158,784,2.41,"2-opt, shift-1, swap-2-2"
24,A-n32-k5,891.7399817957498,784,2.43,"2-opt, shift-1, swap-2-2"
25,A-n32-k5,860.1169070014903,784,2.23,"2-opt, shift-1, swap-2-2"
26,A-n32-k5,899.8716298850586,784,2.4,"2-opt, shift-1, swap-2-2"
27,A-n32-k5,903.6116062701954,784,2.41,"2-opt, shift-1, swap-2-2"
28,A-n32-k5,920.7597757601724,784,2.16,"2-opt, shift-1, swap-2-2"
29,A-n32-k5,946.1578898973069,784,2.18,"2-opt, shift-1, swap-2-2"
30,A-n33-k5,757.9518762437697,661,2.37,"2-opt, shift-1, swap-2-2"
31,A-n33-k5,680.4052703480678,661,2.37,"2-opt, shift-1, swap-2-2"
32,A-n33-k5,753.0361539478994,661,2.38,"2-opt, shift-1, swap-2-2"
33,A-n33-k5,790.7283025251013,661,2.37,"2-opt, shift-1, swap-2-2"
34,A-n33-k5,733.1560110854164,661,2.39,"2-opt, shift-1, swap-2-2"
35,A-n33-k5,765.8863028962606,661,2.41,"2-opt, shift-1, swap-2-2"
36,A-n33-k5,752.0385895952812,661,2.38,"2-opt, shift-1, swap-2-2"
37,A-n33-k5,796.5482099586867,661,2.39,"2-opt, shift-1, swap-2-2"
38,A-n33-k5,767.4627365938452,661,2.37,"2-opt, shift-1, swap-2-2"
39,A-n33-k5,710.9746540279024,661,2.4,"2-opt, shift-1, swap-2-2"
40,A-n33-k5,706.2143904249997,661,2.37,"2-opt, shift-1, swap-2-2"
41,A-n33-k5,731.568595579334,661,2.38,"2-opt, shift-1, swap-2-2"
42,A-n33-k5,790.7520011396971,661,2.35,"2-opt, shift-1, swap-2-2"
43,A-n33-k5,712.3380612025427,661,2.37,"2-opt, shift-1, swap-2-2"
44,A-n33-k5,743.0565096529092,661,2.36,"2-opt, shift-1, swap-2-2"
45,A-n33-k5,770.5531912458682,661,2.38,"2-opt, shift-1, swap-2-2"
46,A-n33-k5,729.3675899473192,661,2.39,"2-opt, shift-1, swap-2-2"
47,A-n33-k5,710.7779361445654,661,2.37,"2-opt, shift-1, swap-2-2"
48,A-n33-k5,811.3497249166278,661,2.39,"2-opt, shift-1, swap-2-2"
49,A-n33-k5,723.0045441829103,661,2.37,"2-opt, shift-1, swap-2-2"
50,A-n33-k5,759.0084457982766,661,2.37,"2-opt, shift-1, swap-2-2"
51,A-n33-k5,814.9596930583957,661,2.35,"2-opt, shift-1, swap-2-2"
52,A-n33-k5,740.0282394836212,661,2.37,"2-opt, shift-1, swap-2-2"
53,A-n33-k5,713.6952898278334,661,2.4,"2-opt, shift-1, swap-2-2"
54,A-n33-k5,729.3429587237172,661,2.4,"2-opt, shift-1, swap-2-2"
55,A-n33-k5,704.4592597645143,661,2.38,"2-opt, shift-1, swap-2-2"
56,A-n33-k5,746.1874752265583,661,2.39,"2-opt, shift-1, swap-2-2"
57,A-n33-k5,712.644595864133,661,2.35,"2-opt, shift-1, swap-2-2"
58,A-n33-k5,757.7858127360664,661,2.38,"2-opt, shift-1, swap-2-2"
59,A-n33-k5,717.3191030204933,661,2.35,"2-opt, shift-1, swap-2-2"
60,A-n33-k6,849.8478214877155,742,2.53,"2-opt, shift-1, swap-2-2"
61,A-n33-k6,875.5532420931853,742,2.51,"2-opt, shift-1, swap-2-2"
62,A-n33-k6,786.6264918538483,742,2.51,"2-opt, shift-1, swap-2-2"
63,A-n33-k6,810.0290763368637,742,2.73,"2-opt, shift-1, swap-2-2"
64,A-n33-k6,883.3665525144929,742,2.51,"2-opt, shift-1, swap-2-2"
65,A-n33-k6,831.8695694943733,742,2.5,"2-opt, shift-1, swap-2-2"
66,A-n33-k6,835.3791135358531,742,2.78,"2-opt, shift-1, swap-2-2"
67,A-n33-k6,805.4166703395442,742,2.51,"2-opt, shift-1, swap-2-2"
68,A-n33-k6,931.5057972427323,742,2.47,"2-opt, shift-1, swap-2-2"
69,A-n33-k6,814.8343076887975,742,2.5,"2-opt, shift-1, swap-2-2"
70,A-n33-k6,812.5723232127211,742,2.57,"2-opt, shift-1, swap-2-2"
71,A-n33-k6,785.534150898185,742,2.54,"2-opt, shift-1, swap-2-2"
72,A-n33-k6,848.9792562850125,742,2.52,"2-opt, shift-1, swap-2-2"
73,A-n33-k6,842.7855381196034,742,2.52,"2-opt, shift-1, swap-2-2"
74,A-n33-k6,854.215632154549,742,2.53,"2-opt, shift-1, swap-2-2"
75,A-n33-k6,844.9277470425778,742,2.52,"2-opt, shift-1, swap-2-2"
76,A-n33-k6,886.5524910179947,742,2.5,"2-opt, shift-1, swap-2-2"
77,A-n33-k6,900.7786664505772,742,2.49,"2-opt, shift-1, swap-2-2"
78,A-n33-k6,801.9924394996978,742,2.52,"2-opt, shift-1, swap-2-2"
79,A-n33-k6,822.2580111567987,742,2.49,"2-opt, shift-1, swap-2-2"
80,A-n33-k6,774.7728484973896,742,2.52,"2-opt, shift-1, swap-2-2"
81,A-n33-k6,866.6404060725412,742,2.47,"2-opt, shift-1, swap-2-2"
82,A-n33-k6,852.8312923223433,742,2.49,"2-opt, shift-1, swap-2-2"
83,A-n33-k6,857.6262657046263,742,2.48,"2-opt, shift-1, swap-2-2"
84,A-n33-k6,816.8552780430365,742,2.5,"2-opt, shift-1, swap-2-2"
85,A-n33-k6,780.2513018623148,742,2.5,"2-opt, shift-1, swap-2-2"
86,A-n33-k6,798.4535811907608,742,2.5,"2-opt, shift-1, swap-2-2"
87,A-n33-k6,851.9194942008337,742,2.49,"2-opt, shift-1, swap-2-2"
88,A-n33-k6,777.1615466184785,742,2.5,"2-opt, shift-1, swap-2-2"
89,A-n33-k6,799.3997835096629,742,2.5,"2-opt, shift-1, swap-2-2"
90,A-n34-k5,917.7016455171812,778,2.36,"2-opt, shift-1, swap-2-2"
91,A-n34-k5,904.6001484880393,778,2.35,"2-opt, shift-1, swap-2-2"
92,A-n34-k5,846.2409496130313,778,2.42,"2-opt, shift-1, swap-2-2"
93,A-n34-k5,815.0748368291286,778,2.39,"2-opt, shift-1, swap-2-2"
94,A-n34-k5,860.1218490980142,778,2.38,"2-opt, shift-1, swap-2-2"
95,A-n34-k5,836.0367601122642,778,2.39,"2-opt, shift-1, swap-2-2"
96,A-n34-k5,947.4070526593628,778,2.35,"2-opt, shift-1, swap-2-2"
97,A-n34-k5,902.7886953752707,778,2.45,"2-opt, shift-1, swap-2-2"
98,A-n34-k5,937.2379793627977,778,2.42,"2-opt, shift-1, swap-2-2"
99,A-n34-k5,811.3764915008577,778,2.39,"2-opt, shift-1, swap-2-2"
100,A-n34-k5,870.6343959851898,778,2.37,"2-opt, shift-1, swap-2-2"
101,A-n34-k5,890.2778930903571,778,2.42,"2-opt, shift-1, swap-2-2"
102,A-n34-k5,844.6677365136586,778,2.44,"2-opt, shift-1, swap-2-2"
