,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,1083.8908042174014,784,2.59,"2-opt, double-bridge"
1,A-n32-k5,972.3398703358307,784,2.79,"2-opt, double-bridge"
2,A-n32-k5,1089.7694177275982,784,2.37,"2-opt, double-bridge"
3,A-n32-k5,1084.3560974651407,784,2.36,"2-opt, double-bridge"
4,A-n32-k5,1052.3659550857235,784,2.62,"2-opt, double-bridge"
5,A-n32-k5,1564.23929291961,784,2.78,"2-opt, double-bridge"
6,A-n32-k5,983.5712260450026,784,2.66,"2-opt, double-bridge"
7,A-n32-k5,921.8535033830304,784,2.71,"2-opt, double-bridge"
8,A-n32-k5,980.9856668163416,784,2.91,"2-opt, double-bridge"
9,A-n32-k5,1134.4486977122428,784,2.48,"2-opt, double-bridge"
10,A-n32-k5,1081.7848126271963,784,2.4,"2-opt, double-bridge"
11,A-n32-k5,1073.9232058258433,784,2.62,"2-opt, double-bridge"
12,A-n32-k5,1106.8962226322265,784,2.79,"2-opt, double-bridge"
13,A-n32-k5,1072.9459445541222,784,2.63,"2-opt, double-bridge"
14,A-n32-k5,1069.3587273934547,784,2.61,"2-opt, double-bridge"
15,A-n32-k5,1015.0148661973668,784,2.87,"2-opt, double-bridge"
16,A-n32-k5,1117.849572341613,784,2.36,"2-opt, double-bridge"
17,A-n32-k5,1043.0145287172838,784,2.51,"2-opt, double-bridge"
18,A-n32-k5,1005.0081101292224,784,2.6,"2-opt, double-bridge"
19,A-n32-k5,982.0989109164141,784,2.63,"2-opt, double-bridge"
20,A-n32-k5,1148.9545088242944,784,2.74,"2-opt, double-bridge"
21,A-n32-k5,1077.8542336253654,784,2.54,"2-opt, double-bridge"
22,A-n32-k5,1091.2594189562728,784,2.69,"2-opt, double-bridge"
23,A-n32-k5,1018.7734156236777,784,2.77,"2-opt, double-bridge"
24,A-n32-k5,1473.0273906743066,784,2.09,"2-opt, double-bridge"
25,A-n32-k5,1172.7966263837673,784,2.49,"2-opt, double-bridge"
26,A-n32-k5,1082.1830169568157,784,2.38,"2-opt, double-bridge"
27,A-n32-k5,1080.0747292783085,784,2.69,"2-opt, double-bridge"
28,A-n32-k5,971.7328235098836,784,2.5,"2-opt, double-bridge"
29,A-n32-k5,1022.465697444792,784,2.68,"2-opt, double-bridge"
30,A-n33-k5,904.1229694266216,661,2.4,"2-opt, double-bridge"
31,A-n33-k5,1065.4957220783926,661,2.74,"2-opt, double-bridge"
32,A-n33-k5,925.8335984344696,661,2.43,"2-opt, double-bridge"
33,A-n33-k5,948.7562067675856,661,2.86,"2-opt, double-bridge"
34,A-n33-k5,931.9564510966104,661,2.51,"2-opt, double-bridge"
35,A-n33-k5,985.3037662090177,661,2.88,"2-opt, double-bridge"
36,A-n33-k5,1011.6368936639017,661,2.5,"2-opt, double-bridge"
37,A-n33-k5,906.650915552224,661,2.48,"2-opt, double-bridge"
38,A-n33-k5,945.6631605085347,661,2.71,"2-opt, double-bridge"
39,A-n33-k5,895.0320108744259,661,2.42,"2-opt, double-bridge"
40,A-n33-k5,913.3459239600293,661,2.56,"2-opt, double-bridge"
41,A-n33-k5,944.627363258104,661,2.59,"2-opt, double-bridge"
42,A-n33-k5,860.071230339823,661,2.38,"2-opt, double-bridge"
43,A-n33-k5,908.313554422179,661,2.36,"2-opt, double-bridge"
44,A-n33-k5,908.6223929653661,661,2.37,"2-opt, double-bridge"
45,A-n33-k5,933.6661273058156,661,2.66,"2-opt, double-bridge"
46,A-n33-k5,936.9799365648012,661,2.42,"2-opt, double-bridge"
47,A-n33-k5,895.605622497414,661,2.47,"2-opt, double-bridge"
48,A-n33-k5,1005.6539953834452,661,2.37,"2-opt, double-bridge"
