,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,879.5860614013179,784,2.62,"2-opt, shift-1, double-bridge"
1,A-n32-k5,928.5111322740838,784,2.38,"2-opt, shift-1, double-bridge"
2,A-n32-k5,873.8438277016594,784,2.4,"2-opt, shift-1, double-bridge"
3,A-n32-k5,885.2615542279209,784,2.71,"2-opt, shift-1, double-bridge"
4,A-n32-k5,830.044994847779,784,2.37,"2-opt, shift-1, double-bridge"
5,A-n32-k5,856.2268770781361,784,2.4,"2-opt, shift-1, double-bridge"
6,A-n32-k5,882.8484242261524,784,2.7,"2-opt, shift-1, double-bridge"
7,A-n32-k5,916.766449551729,784,2.2,"2-opt, shift-1, double-bridge"
8,A-n32-k5,871.5985215742032,784,2.41,"2-opt, shift-1, double-bridge"
9,A-n32-k5,932.0484133036525,784,2.26,"2-opt, shift-1, double-bridge"
10,A-n32-k5,970.5457774648164,784,2.58,"2-opt, shift-1, double-bridge"
11,A-n32-k5,848.9237594362551,784,2.38,"2-opt, shift-1, double-bridge"
12,A-n32-k5,873.6807004740307,784,2.48,"2-opt, shift-1, double-bridge"
13,A-n32-k5,898.9741338472098,784,2.91,"2-opt, shift-1, double-bridge"
14,A-n32-k5,901.9768202530765,784,2.44,"2-opt, shift-1, double-bridge"
15,A-n32-k5,855.1917659269728,784,2.48,"2-opt, shift-1, double-bridge"
16,A-n32-k5,886.2656237518363,784,2.56,"2-opt, shift-1, double-bridge"
17,A-n32-k5,878.5279933233103,784,2.44,"2-opt, shift-1, double-bridge"
18,A-n32-k5,916.0841655191405,784,2.47,"2-opt, shift-1, double-bridge"
19,A-n32-k5,899.1639996354314,784,2.45,"2-opt, shift-1, double-bridge"
20,A-n32-k5,896.0630865650522,784,2.36,"2-opt, shift-1, double-bridge"
21,A-n32-k5,866.7455007623159,784,2.47,"2-opt, shift-1, double-bridge"
22,A-n32-k5,948.4320518591139,784,2.23,"2-opt, shift-1, double-bridge"
23,A-n32-k5,912.0526941781783,784,2.9,"2-opt, shift-1, double-bridge"
24,A-n32-k5,886.2252535325757,784,2.47,"2-opt, shift-1, double-bridge"
25,A-n32-k5,883.0344394983733,784,2.47,"2-opt, shift-1, double-bridge"
26,A-n32-k5,907.1085669296052,784,2.6,"2-opt, shift-1, double-bridge"
27,A-n32-k5,908.9489830270588,784,2.39,"2-opt, shift-1, double-bridge"
28,A-n32-k5,842.3677438433526,784,2.53,"2-opt, shift-1, double-bridge"
29,A-n32-k5,918.6546896481447,784,2.42,"2-opt, shift-1, double-bridge"
30,A-n33-k5,775.8526233594946,661,2.45,"2-opt, shift-1, double-bridge"
31,A-n33-k5,850.804304474009,661,2.41,"2-opt, shift-1, double-bridge"
32,A-n33-k5,695.7167182810841,661,2.39,"2-opt, shift-1, double-bridge"
33,A-n33-k5,739.6832182423298,661,2.86,"2-opt, shift-1, double-bridge"
34,A-n33-k5,759.4567027743801,661,2.43,"2-opt, shift-1, double-bridge"
35,A-n33-k5,766.3908012248835,661,2.43,"2-opt, shift-1, double-bridge"
36,A-n33-k5,695.7981204653125,661,2.7,"2-opt, shift-1, double-bridge"
37,A-n33-k5,742.4380038481546,661,2.44,"2-opt, shift-1, double-bridge"
38,A-n33-k5,711.5031808890897,661,2.43,"2-opt, shift-1, double-bridge"
39,A-n33-k5,705.611166510011,661,2.41,"2-opt, shift-1, double-bridge"
40,A-n33-k5,740.9202287446064,661,2.43,"2-opt, shift-1, double-bridge"
