,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,A-n32-k5,784,"2-opt, shift-1, swap-2-2",850.8833099,899.5590941,32.06256322,2.356666667,"swap-2-1, shift-1, swap-2-2",826.6012225,886.0118619,41.2161076,2.177,0.089717838
1,A-n33-k5,661,"2-opt, shift-1, swap-2-2",680.4052703,744.4200508,33.26483759,2.376666667,"swap-2-1, shift-1, swap-2-2",704.4647817,738.1834815,28.44677853,2.190333333,0.557742686
2,A-n33-k6,742,"2-opt, shift-1, swap-2-2",774.7728485,833.3645565,38.56699662,2.523333333,"swap-2-1, shift-1, swap-2-2",750.5915862,820.6779365,35.71391279,2.272333333,0.221021575
3,A-n34-k5,778,"2-opt, shift-1, swap-2-2",806.1775899,870.4239751,37.58660752,2.398,"swap-2-1, shift-1, swap-2-2",794.9385722,849.8386103,29.06504112,2.138,0.068713631
4,A-n36-k5,799,"2-opt, shift-1, swap-2-2",873.9810925,920.4828571,29.17028714,2.480666667,"swap-2-1, shift-1, swap-2-2",854.7738958,910.6544556,27.96495201,2.221,0.191522107
5,A-n37-k5,669,"2-opt, shift-1, swap-2-2",713.532525,779.6820561,28.65116688,2.506,"swap-2-1, shift-1, swap-2-2",720.7185735,789.6770706,42.14124488,2.299,0.404834722
6,A-n37-k6,949,"2-opt, shift-1, swap-2-2",1020.38356,1103.086469,44.67628285,2.656,"swap-2-1, shift-1, swap-2-2",1037.101922,1108.719546,41.22540842,2.365666667,0.658330524
7,A-n38-k5,730,"2-opt, shift-1, swap-2-2",792.0055232,890.6520717,90.13621203,2.634333333,"swap-2-1, shift-1, swap-2-2",804.6097929,860.800262,43.07342668,2.367666667,0.360038829
8,A-n39-k5,822,"2-opt, shift-1, swap-2-2",887.7911,989.9539432,59.89102692,2.5,"swap-2-1, shift-1, swap-2-2",881.8265588,963.1742464,31.78200459,2.251,0.07190333
9,A-n39-k6,831,"2-opt, shift-1, swap-2-2",867.6092262,954.8935459,37.57627468,2.556,"swap-2-1, shift-1, swap-2-2",881.2974131,951.3864043,34.77896525,2.424333333,0.829013032
10,A-n44-k6,937,"2-opt, shift-1, swap-2-2",1052.615185,1165.925498,68.58939556,2.690666667,"swap-2-1, shift-1, swap-2-2",1053.321819,1113.616719,42.31480463,2.525333333,0.003378854
11,A-n45-k6,944,"2-opt, shift-1, swap-2-2",1035.125433,1104.694553,39.65590969,2.906333333,"swap-2-1, shift-1, swap-2-2",1019.78544,1093.18062,29.03278122,2.742,0.191522107
12,A-n45-k7,1146,"2-opt, shift-1, swap-2-2",1223.094031,1298.412546,39.88332513,2.829666667,"swap-2-1, shift-1, swap-2-2",1230.827393,1286.141819,40.37557495,2.636333333,0.141389511
13,A-n46-k7,914,"2-opt, shift-1, swap-2-2",966.0767558,1061.176975,49.34477964,2.870333333,"swap-2-1, shift-1, swap-2-2",986.9691796,1055.078359,42.46714676,2.714333333,0.643516595
14,A-n48-k7,1073,"2-opt, shift-1, swap-2-2",1178.591535,1241.85336,39.3491167,2.902,"swap-2-1, shift-1, swap-2-2",1193.447838,1245.567689,34.51229407,2.727,0.658330524
15,A-n53-k7,1010,"2-opt, shift-1, swap-2-2",1111.938343,1241.957088,80.34828309,3.075,"swap-2-1, shift-1, swap-2-2",1141.900719,1230.711327,54.34758012,2.852333333,0.530440091
16,A-n54-k7,1167,"2-opt, shift-1, swap-2-2",1279.806005,1422.95839,67.27469471,3.027333333,"swap-2-1, shift-1, swap-2-2",1284.104172,1394.307517,51.23152353,2.81,0.07864666
17,A-n55-k9,1073,"2-opt, shift-1, swap-2-2",1169.23782,1280.666381,69.55599191,3.424,"swap-2-1, shift-1, swap-2-2",1193.724241,1269.177794,49.99588586,3.137333333,0.440521591
18,A-n60-k9,1408,"2-opt, shift-1, swap-2-2",1489.293142,1572.984448,43.89649337,3.467,"swap-2-1, shift-1, swap-2-2",1506.814026,1568.899679,37.38443248,3.189333333,0.78126371
19,A-n61-k9,1035,"2-opt, shift-1, swap-2-2",1160.317027,1237.570402,43.18934174,3.588333333,"swap-2-1, shift-1, swap-2-2",1168.306464,1221.930965,31.60420896,3.357,0.102010695
20,A-n62-k8,1290,"2-opt, shift-1, swap-2-2",1471.034264,1555.959338,50.39357261,3.311666667,"swap-2-1, shift-1, swap-2-2",1476.573199,1560.300371,49.28968648,3.043666667,0.658330524
21,A-n63-k10,1315,"2-opt, shift-1, swap-2-2",1427.278119,1547.858882,59.53096538,3.709333333,"swap-2-1, shift-1, swap-2-2",1369.869168,1529.004822,50.97354935,3.414,0.289477072
22,A-n63-k9,1634,"2-opt, shift-1, swap-2-2",1836.868664,1950.491278,88.92088298,3.547666667,"swap-2-1, shift-1, swap-2-2",1793.257793,1937.981962,55.3029369,3.321,0.749871156
23,A-n64-k9,1402,"2-opt, shift-1, swap-2-2",1614.683154,1688.140206,52.38865201,3.507,"swap-2-1, shift-1, swap-2-2",1572.146901,1654.771444,38.54876618,3.267666667,0.035008957
24,A-n65-k9,1177,"2-opt, shift-1, swap-2-2",1348.862222,1439.079216,55.80128124,3.691666667,"swap-2-1, shift-1, swap-2-2",1370.069122,1433.776597,41.4481437,3.432,0.673279807
25,A-n69-k9,1168,"2-opt, shift-1, swap-2-2",1359.18487,1427.008888,45.64063514,3.646666667,"swap-2-1, shift-1, swap-2-2",1317.611169,1427.031877,60.13184588,3.392666667,0.893644387
26,A-n80-k10,1764,"2-opt, shift-1, swap-2-2",2039.149743,2171.016277,62.36541197,3.909,"swap-2-1, shift-1, swap-2-2",2057.732273,2141.57218,36.8336462,3.679,0.065641143
27,B-n31-k5,672,"2-opt, shift-1, swap-2-2",690.4165868,711.4701313,24.84538863,2.416333333,"swap-2-1, shift-1, swap-2-2",686.8716506,705.008766,20.75870221,2.217,0.051930665
28,B-n34-k5,788,"2-opt, shift-1, swap-2-2",802.3157093,848.0845402,28.19123321,2.383333333,"swap-2-1, shift-1, swap-2-2",800.1173329,824.2891953,18.48015331,2.143333333,0.00024118
29,B-n35-k5,955,"2-opt, shift-1, swap-2-2",986.5179087,1033.458758,33.91584673,2.419333333,"swap-2-1, shift-1, swap-2-2",988.2010247,1020.562546,17.38002024,2.174,0.082206466
30,B-n38-k6,805,"2-opt, shift-1, swap-2-2",836.2079679,866.5778874,21.92452746,2.653666667,"swap-2-1, shift-1, swap-2-2",827.0366698,855.1993771,19.36332108,2.402,0.059835601
31,B-n39-k5,549,"2-opt, shift-1, swap-2-2",578.4973772,627.9476483,40.63453722,2.511333333,"swap-2-1, shift-1, swap-2-2",588.0991241,647.0866445,35.86941675,2.257333333,0.059835601
32,B-n41-k6,829,"2-opt, shift-1, swap-2-2",889.2351788,1013.937052,103.0078375,2.677,"swap-2-1, shift-1, swap-2-2",872.326579,947.7423108,51.24670561,2.403,0.008729668
33,B-n43-k6,742,"2-opt, shift-1, swap-2-2",785.4421185,830.067843,35.96230234,2.725333333,"swap-2-1, shift-1, swap-2-2",779.9681585,813.3504879,21.72384236,2.478333333,0.001483928
34,B-n44-k7,909,"2-opt, shift-1, swap-2-2",965.8069629,1045.74123,41.09966438,2.845666667,"swap-2-1, shift-1, swap-2-2",956.3913813,1012.410581,35.98853005,2.569666667,0.001286631
35,B-n45-k5,751,"2-opt, shift-1, swap-2-2",783.4360307,864.6527763,79.33567762,2.718666667,"swap-2-1, shift-1, swap-2-2",786.5061356,866.6594838,73.21128802,2.464333333,0.975387164
36,B-n45-k6,678,"2-opt, shift-1, swap-2-2",744.4409899,774.0877006,32.1090129,2.891,"swap-2-1, shift-1, swap-2-2",742.4180678,777.9896444,23.05977034,2.650333333,0.253644098
37,B-n50-k7,741,"2-opt, shift-1, swap-2-2",788.1488956,835.624282,41.02159069,2.95,"swap-2-1, shift-1, swap-2-2",788.6609634,863.2719033,40.91449804,2.701666667,0.00210526
