,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,A-n32-k5,784,"2-opt, shift-1, swap-2-2",850.88,899.56,32.06,2.36,"swap-2-1, shift-1, swap-2-2",826.60,886.01,41.22,2.18,0.09
1,A-n33-k5,661,"2-opt, shift-1, swap-2-2",680.41,744.42,33.26,2.38,"swap-2-1, shift-1, swap-2-2",704.46,738.18,28.45,2.19,0.56
2,A-n33-k6,742,"2-opt, shift-1, swap-2-2",774.77,833.36,38.57,2.52,"swap-2-1, shift-1, swap-2-2",750.59,820.68,35.71,2.27,0.22
3,A-n34-k5,778,"2-opt, shift-1, swap-2-2",806.18,870.42,37.59,2.40,"swap-2-1, shift-1, swap-2-2",794.94,849.84,29.07,2.14,0.07
4,A-n36-k5,799,"2-opt, shift-1, swap-2-2",873.98,920.48,29.17,2.48,"swap-2-1, shift-1, swap-2-2",854.77,910.65,27.96,2.22,0.19
5,A-n37-k5,669,"2-opt, shift-1, swap-2-2",713.53,779.68,28.65,2.51,"swap-2-1, shift-1, swap-2-2",720.72,789.68,42.14,2.30,0.40
6,A-n37-k6,949,"2-opt, shift-1, swap-2-2",1020.38,1103.09,44.68,2.66,"swap-2-1, shift-1, swap-2-2",1037.10,1108.72,41.23,2.37,0.66
7,A-n38-k5,730,"2-opt, shift-1, swap-2-2",792.01,890.65,90.14,2.63,"swap-2-1, shift-1, swap-2-2",804.61,860.80,43.07,2.37,0.36
8,A-n39-k5,822,"2-opt, shift-1, swap-2-2",887.79,989.95,59.89,2.50,"swap-2-1, shift-1, swap-2-2",881.83,963.17,31.78,2.25,0.07
9,A-n39-k6,831,"2-opt, shift-1, swap-2-2",867.61,954.89,37.58,2.56,"swap-2-1, shift-1, swap-2-2",881.30,951.39,34.78,2.42,0.83
10,A-n44-k6,937,"2-opt, shift-1, swap-2-2",1052.62,1165.93,68.59,2.69,"swap-2-1, shift-1, swap-2-2",1053.32,1113.62,42.31,2.53,0.00
11,A-n45-k6,944,"2-opt, shift-1, swap-2-2",1035.13,1104.69,39.66,2.91,"swap-2-1, shift-1, swap-2-2",1019.79,1093.18,29.03,2.74,0.19
12,A-n45-k7,1146,"2-opt, shift-1, swap-2-2",1223.09,1298.41,39.88,2.83,"swap-2-1, shift-1, swap-2-2",1230.83,1286.14,40.38,2.64,0.14
13,A-n46-k7,914,"2-opt, shift-1, swap-2-2",966.08,1061.18,49.34,2.87,"swap-2-1, shift-1, swap-2-2",986.97,1055.08,42.47,2.71,0.64
14,A-n48-k7,1073,"2-opt, shift-1, swap-2-2",1178.59,1241.85,39.35,2.90,"swap-2-1, shift-1, swap-2-2",1193.45,1245.57,34.51,2.73,0.66
15,A-n53-k7,1010,"2-opt, shift-1, swap-2-2",1111.94,1241.96,80.35,3.08,"swap-2-1, shift-1, swap-2-2",1141.90,1230.71,54.35,2.85,0.53
16,A-n54-k7,1167,"2-opt, shift-1, swap-2-2",1279.81,1422.96,67.27,3.03,"swap-2-1, shift-1, swap-2-2",1284.10,1394.31,51.23,2.81,0.08
17,A-n55-k9,1073,"2-opt, shift-1, swap-2-2",1169.24,1280.67,69.56,3.42,"swap-2-1, shift-1, swap-2-2",1193.72,1269.18,50.00,3.14,0.44
18,A-n60-k9,1408,"2-opt, shift-1, swap-2-2",1489.29,1572.98,43.90,3.47,"swap-2-1, shift-1, swap-2-2",1506.81,1568.90,37.38,3.19,0.78
19,A-n61-k9,1035,"2-opt, shift-1, swap-2-2",1160.32,1237.57,43.19,3.59,"swap-2-1, shift-1, swap-2-2",1168.31,1221.93,31.60,3.36,0.10
20,A-n62-k8,1290,"2-opt, shift-1, swap-2-2",1471.03,1555.96,50.39,3.31,"swap-2-1, shift-1, swap-2-2",1476.57,1560.30,49.29,3.04,0.66
21,A-n63-k10,1315,"2-opt, shift-1, swap-2-2",1427.28,1547.86,59.53,3.71,"swap-2-1, shift-1, swap-2-2",1369.87,1529.00,50.97,3.41,0.29
22,A-n63-k9,1634,"2-opt, shift-1, swap-2-2",1836.87,1950.49,88.92,3.55,"swap-2-1, shift-1, swap-2-2",1793.26,1937.98,55.30,3.32,0.75
23,A-n64-k9,1402,"2-opt, shift-1, swap-2-2",1614.68,1688.14,52.39,3.51,"swap-2-1, shift-1, swap-2-2",1572.15,1654.77,38.55,3.27,0.04
24,A-n65-k9,1177,"2-opt, shift-1, swap-2-2",1348.86,1439.08,55.80,3.69,"swap-2-1, shift-1, swap-2-2",1370.07,1433.78,41.45,3.43,0.67
25,A-n69-k9,1168,"2-opt, shift-1, swap-2-2",1359.18,1427.01,45.64,3.65,"swap-2-1, shift-1, swap-2-2",1317.61,1427.03,60.13,3.39,0.89
26,A-n80-k10,1764,"2-opt, shift-1, swap-2-2",2039.15,2171.02,62.37,3.91,"swap-2-1, shift-1, swap-2-2",2057.73,2141.57,36.83,3.68,0.07
27,B-n31-k5,672,"2-opt, shift-1, swap-2-2",690.42,711.47,24.85,2.42,"swap-2-1, shift-1, swap-2-2",686.87,705.01,20.76,2.22,0.05
28,B-n34-k5,788,"2-opt, shift-1, swap-2-2",802.32,848.08,28.19,2.38,"swap-2-1, shift-1, swap-2-2",800.12,824.29,18.48,2.14,0.00
29,B-n35-k5,955,"2-opt, shift-1, swap-2-2",986.52,1033.46,33.92,2.42,"swap-2-1, shift-1, swap-2-2",988.20,1020.56,17.38,2.17,0.08
30,B-n38-k6,805,"2-opt, shift-1, swap-2-2",836.21,866.58,21.92,2.65,"swap-2-1, shift-1, swap-2-2",827.04,855.20,19.36,2.40,0.06
31,B-n39-k5,549,"2-opt, shift-1, swap-2-2",578.50,627.95,40.63,2.51,"swap-2-1, shift-1, swap-2-2",588.10,647.09,35.87,2.26,0.06
32,B-n41-k6,829,"2-opt, shift-1, swap-2-2",889.24,1013.94,103.01,2.68,"swap-2-1, shift-1, swap-2-2",872.33,947.74,51.25,2.40,0.01
33,B-n43-k6,742,"2-opt, shift-1, swap-2-2",785.44,830.07,35.96,2.73,"swap-2-1, shift-1, swap-2-2",779.97,813.35,21.72,2.48,0.00
34,B-n44-k7,909,"2-opt, shift-1, swap-2-2",965.81,1045.74,41.10,2.85,"swap-2-1, shift-1, swap-2-2",956.39,1012.41,35.99,2.57,0.00
35,B-n45-k5,751,"2-opt, shift-1, swap-2-2",783.44,864.65,79.34,2.72,"swap-2-1, shift-1, swap-2-2",786.51,866.66,73.21,2.46,0.98
36,B-n45-k6,678,"2-opt, shift-1, swap-2-2",744.44,774.09,32.11,2.89,"swap-2-1, shift-1, swap-2-2",742.42,777.99,23.06,2.65,0.25
37,B-n50-k7,741,"2-opt, shift-1, swap-2-2",788.15,835.62,41.02,2.95,"swap-2-1, shift-1, swap-2-2",788.66,863.27,40.91,2.70,0.00
38,B-n50-k8,1313,"2-opt, shift-1, swap-2-2",1374.88,1444.63,37.06,3.08,"swap-2-1, shift-1, swap-2-2",1348.86,1401.69,36.54,2.82,0.00
39,B-n51-k7,1032,"2-opt, shift-1, swap-2-2",1056.45,1173.06,149.82,3.10,"swap-2-1, shift-1, swap-2-2",1056.19,1170.99,54.26,2.87,0.16
40,B-n52-k7,747,"2-opt, shift-1, swap-2-2",790.65,844.67,35.58,3.02,"swap-2-1, shift-1, swap-2-2",799.53,847.95,34.16,2.75,0.83
41,B-n56-k7,707,"2-opt, shift-1, swap-2-2",777.29,825.66,43.29,3.05,"swap-2-1, shift-1, swap-2-2",763.57,817.31,39.44,2.79,0.38
