,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"swap-2-1, shift-1, swap-2-2",1147.903157,1223.784282,40.7852833,2.77582716,9.94E-05
1,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"swap-2-1, shift-1, swap-2-2",1026.053023,1091.094807,41.54638823,2.773521739,0.041569752
2,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"swap-2-1, shift-1, swap-2-2",659.4625238,704.5794346,24.85027509,2.731347222,0.005110261
3,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"swap-1-1, shift-1, swap-2-2",1142.094781,1222.882078,41.91513476,2.745530864,0.003939076
4,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"swap-1-1, shift-1, swap-2-2",1026.822027,1105.037782,47.02685325,2.800072464,0.273543661
5,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"swap-1-1, shift-1, swap-2-2",660.8442776,705.015466,25.54628572,2.790805556,0.015158439
6,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"2-opt, reinsertion, double-bridge",1141.523418,1245.611885,62.11929031,2.982185185,0.112818742
7,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"2-opt, reinsertion, double-bridge",1030.680958,1140.778147,65.46329266,3.026855072,7.69E-05
8,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"2-opt, reinsertion, double-bridge",643.4971984,698.3424747,33.01875881,2.970486111,0.731705935
9,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"2-opt, exchange, double-bridge",1151.079406,1261.175065,63.22921839,2.951296296,9.94E-05
10,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"2-opt, exchange, double-bridge",1038.903149,1150.658429,69.2325247,2.99757971,2.70E-05
11,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"2-opt, exchange, double-bridge",648.469857,711.4741128,34.30946997,2.936875,0.647568368
12,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"2-opt, double-bridge",1302.471886,1472.63698,103.2928677,2.765209877,5.61E-06
13,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"2-opt, double-bridge",1135.96307,1294.397176,97.39772687,3.03626087,2.70E-05
14,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"2-opt, double-bridge",752.3150677,855.8134161,52.09100553,2.701208333,1.82E-05
15,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"2-opt, shift-1",1150.517142,1237.782767,50.03123599,2.646703704,0.682961695
16,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"2-opt, shift-1",1025.803873,1094.869417,44.98140029,2.608797101,0.260439365
17,Set P,576,"2-opt, shift-1, swap-2-2",654.9695269,712.2760592,32.12673961,2.955055556,"2-opt, shift-1",654.5036711,709.0002902,32.00178759,2.5755,0.048674876
18,Set A,1045,"2-opt, shift-1, swap-2-2",1149.285124,1236.824902,51.39670327,3.003382716,"2-opt, or-opt-2, double-bridge",1178.020915,1279.867562,62.49816357,2.47708642,6.28E-06
19,Set B,971,"2-opt, shift-1, swap-2-2",1029.220652,1099.69795,51.33910061,3.027811594,"2-opt, or-opt-2, double-bridge",1045.890192,1153.323889,64.81053233,2.522188406,3.09E-05
