,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
0,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,2.87683320902385e-07
1,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,0.017132495803648024
2,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,0.0028652629895433864
3,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, exchange, double-bridge",953.2053104513514,1048.5439099510809,55.7157330250709,2.961004504504505,1.353794095345212e-07
4,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, double-bridge",1072.2899074297297,1217.1872363123423,84.85458486500899,2.828698198198198,7.732733053009578e-14
5,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, shift-1",950.8856757054053,1021.8667331815316,42.61430379236138,2.6118288288288287,0.2223856799083357
6,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, or-opt-2, double-bridge",969.2948577513514,1057.6848298327027,53.32412691186002,2.4946846846846844,1.7776512551965262e-08
7,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, shift-1, double-bridge",954.2445715418919,1024.7339975157659,43.90486261495869,3.138004504504504,0.696111700178303
8,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, or-opt-3, double-bridge",976.7207473635133,1067.8426981232883,53.064317960665264,2.1983873873873874,1.6377764911443155e-10
9,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"2-opt, reinsertion, swap-2-2",936.7456827581083,1019.3599574213063,47.84980207727524,2.3226081081081085,0.9248894148315613
10,,631,"2-opt, shift-1, swap-2-2",951.6492161675676,1024.0804138012613,45.12908179932439,2.995301801801802,"swap-2-1, reinsertion, swap-2-2",963.2777900999998,1047.7880658958109,46.154445356380684,3.4799909909909914,5.8053015170314576e-06
11,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,0.06270323291908808
12,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,3.7470316350135237e-06
13,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, exchange, double-bridge",953.2053104513514,1048.5439099510809,55.7157330250709,2.961004504504505,7.017577690675939e-10
14,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, double-bridge",1072.2899074297297,1217.1872363123423,84.85458486500899,2.828698198198198,7.732733053009578e-14
15,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, shift-1",950.8856757054053,1021.8667331815316,42.61430379236138,2.6118288288288287,0.0003657243923363511
16,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, or-opt-2, double-bridge",969.2948577513514,1057.6848298327027,53.32412691186002,2.4946846846846844,1.1497115523172226e-10
17,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, shift-1, double-bridge",954.2445715418919,1024.7339975157659,43.90486261495869,3.138004504504504,3.121593160232461e-06
18,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, or-opt-3, double-bridge",976.7207473635133,1067.8426981232883,53.064317960665264,2.1983873873873874,4.188253918722253e-12
19,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"2-opt, reinsertion, swap-2-2",936.7456827581083,1019.3599574213063,47.84980207727524,2.3226081081081085,0.004640381231557476
20,,631,"swap-2-1, shift-1, swap-2-2",951.6176397878379,1014.1521974328829,35.853732170496066,2.760684684684685,"swap-2-1, reinsertion, swap-2-2",963.2777900999998,1047.7880658958109,46.154445356380684,3.4799909909909914,1.8005455712369333e-09
21,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,5.274448219878363e-05
22,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, exchange, double-bridge",953.2053104513514,1048.5439099510809,55.7157330250709,2.961004504504505,3.839992016581096e-09
23,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, double-bridge",1072.2899074297297,1217.1872363123423,84.85458486500899,2.828698198198198,7.732733053009578e-14
24,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, shift-1",950.8856757054053,1021.8667331815316,42.61430379236138,2.6118288288288287,0.13213587255867432
25,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, or-opt-2, double-bridge",969.2948577513514,1057.6848298327027,53.32412691186002,2.4946846846846844,4.496888114853699e-10
26,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, shift-1, double-bridge",954.2445715418919,1024.7339975157659,43.90486261495869,3.138004504504504,0.0331178380555834
27,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, or-opt-3, double-bridge",976.7207473635133,1067.8426981232883,53.064317960665264,2.1983873873873874,9.981251625936419e-12
28,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"2-opt, reinsertion, swap-2-2",936.7456827581083,1019.3599574213063,47.84980207727524,2.3226081081081085,0.09652033727270529
29,,631,"swap-1-1, shift-1, swap-2-2",950.1855187027028,1018.2980578336935,38.19509622028634,2.777166666666666,"swap-2-1, reinsertion, swap-2-2",963.2777900999998,1047.7880658958109,46.154445356380684,3.4799909909909914,1.568437415437298e-08
30,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, exchange, double-bridge",953.2053104513514,1048.5439099510809,55.7157330250709,2.961004504504505,1.0624090764889267e-05
31,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, double-bridge",1072.2899074297297,1217.1872363123423,84.85458486500899,2.828698198198198,7.732733053009578e-14
32,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, shift-1",950.8856757054053,1021.8667331815316,42.61430379236138,2.6118288288288287,0.0009679444016031046
33,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, or-opt-2, double-bridge",969.2948577513514,1057.6848298327027,53.32412691186002,2.4946846846846844,1.7572751364725133e-10
34,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, shift-1, double-bridge",954.2445715418919,1024.7339975157659,43.90486261495869,3.138004504504504,0.007972937737557296
35,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, or-opt-3, double-bridge",976.7207473635133,1067.8426981232883,53.064317960665264,2.1983873873873874,6.35661946078365e-12
36,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"2-opt, reinsertion, swap-2-2",936.7456827581083,1019.3599574213063,47.84980207727524,2.3226081081081085,6.488694602168485e-11
37,,631,"2-opt, reinsertion, double-bridge",945.5503659527027,1035.535643890901,53.72063217375631,2.992274774774775,"swap-2-1, reinsertion, swap-2-2",963.2777900999998,1047.7880658958109,46.154445356380684,3.4799909909909914,0.0023997208383362907
38,,631,"2-opt, exchange, double-bridge",953.2053104513514,1048.5439099510809,55.7157330250709,2.961004504504505,"2-opt, double-bridge",1072.2899074297297,1217.1872363123423,84.85458486500899,2.828698198198198,7.732733053009578e-14
